,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2021년08월_계_총인구수,"514,050","21,787","26,921","30,144","36,937","38,993","26,800","22,224","24,216","27,046","20,142","34,689","38,431","20,101","26,455","24,118","32,947","22,698","20,681","18,720"
2021년08월_계_연령구간인구수,"514,050","21,787","26,921","30,144","36,937","38,993","26,800","22,224","24,216","27,046","20,142","34,689","38,431","20,101","26,455","24,118","32,947","22,698","20,681","18,720"
2021년08월_계_0~9세,"31,284","1,130","1,648","2,148","1,972","2,753","1,082","1,432","1,479","1,914","1,093","1,911","2,197",934,"1,342","1,038","2,312","2,316","1,280","1,303"
2021년08월_계_10~19세,"51,121","1,627","2,048","2,076","2,596","4,206","2,990","2,715","4,421","5,605","2,188","3,082","3,297","1,778","2,017","1,988","2,943","1,945","1,998","1,601"
2021년08월_계_20~29세,"71,052","3,733","3,118","3,499","6,547","6,592","4,411","2,979","3,117","2,908","2,522","4,180","5,167","3,207","3,181","3,358","4,466","2,734","2,709","2,624"
2021년08월_계_30~39세,"63,385","2,596","3,127","4,508","5,228","5,107","2,702","2,498","1,813","1,987","1,902","4,157","4,790","2,303","2,840","2,589","4,854","4,727","2,754","2,903"
2021년08월_계_40~49세,"82,946","3,320","4,166","4,533","5,309","6,310","4,023","3,902","4,863","6,365","3,375","5,594","5,566","2,917","3,785","3,511","5,330","3,803","3,351","2,923"
2021년08월_계_50~59세,"87,006","3,439","4,550","4,749","5,692","6,000","4,945","3,876","4,549","4,547","3,573","5,647","6,894","3,877","4,704","4,454","5,653","3,041","3,566","3,250"
2021년08월_계_60~69세,"70,189","3,148","4,484","4,707","5,563","4,653","3,695","2,644","2,298","2,176","2,682","4,960","6,135","2,973","4,463","3,801","4,158","2,316","2,859","2,474"
2021년08월_계_70~79세,"37,310","1,920","2,517","2,606","2,788","2,240","1,830","1,365","1,050",960,"1,887","3,281","2,902","1,412","2,728","2,252","2,006","1,170","1,369","1,027"
2021년08월_계_80~89세,"17,129",756,"1,074","1,173","1,079",990,984,713,554,509,789,"1,646","1,276",601,"1,235",964,"1,025",557,675,529
2021년08월_계_90~99세,"2,499",108,182,139,158,138,132,99,68,69,127,222,196,92,136,154,193,85,116,85
