카테고리,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2021년12월_계_총인구수,"339,996","23,138","19,591","15,496","21,428","16,135","28,577","11,301","34,665","22,285","24,632","28,073","17,957","21,542","26,522","28,654"
2021년12월_계_연령구간인구수,"339,996","23,138","19,591","15,496","21,428","16,135","28,577","11,301","34,665","22,285","24,632","28,073","17,957","21,542","26,522","28,654"
2021년12월_계_0~9세,"17,744",349,813,701,"1,051",686,"1,286",504,"2,954",873,"1,480","2,189",674,757,"1,664","1,763"
2021년12월_계_10~19세,"24,774",702,960,716,"1,319",869,"1,816",526,"5,449","1,480","1,760","2,540",850,"1,088","2,263","2,436"
2021년12월_계_20~29세,"61,616","10,131","4,483","2,804","3,717","2,583","4,301","2,297","3,985","4,207","3,651","3,775","2,895","4,662","3,637","4,488"
2021년12월_계_30~39세,"54,715","4,542","3,605","2,965","3,868","2,672","4,189","2,553","3,552","3,704","3,703","4,057","2,781","4,244","3,751","4,529"
2021년12월_계_40~49세,"50,470","2,126","2,508","2,080","2,974","2,200","3,930","1,600","7,368","3,305","3,828","4,465","2,390","3,083","4,227","4,386"
2021년12월_계_50~59세,"53,801","2,068","2,795","2,455","3,458","2,821","5,221","1,453","5,695","3,554","4,096","4,686","3,007","3,102","4,573","4,817"
2021년12월_계_60~69세,"44,152","1,732","2,495","2,180","2,965","2,456","4,609","1,293","3,211","2,920","3,729","3,686","3,070","2,545","3,612","3,649"
2021년12월_계_70~79세,"21,933",995,"1,309","1,113","1,453","1,264","2,277",718,"1,440","1,510","1,649","1,628","1,581","1,385","1,914","1,697"
2021년12월_계_80~89세,"9,495",432,562,435,550,512,841,317,862,656,640,900,633,604,779,772
2021년12월_계_90~99세,"1,246",58,59,45,72,69,99,38,143,76,92,144,74,66,98,113
2021년12월_계_100세 이상,50,3,2,2,1,3,8,2,6,0,4,3,2,6,4,4
2021년12월_남_총인구수,"164,058","11,037","9,689","7,510","10,105","7,995","13,991","5,211","16,787","10,822","11,937","13,418","8,942","10,254","12,797","13,563"
2021년12월_남_연령구간인구수,"164,058","11,037","9,689","7,510","10,105","7,995","13,991","5,211","16,787","10,822","11,937","13,418","8,942","10,254","12,797","13,563"
2021년12월_남_0~9세,"9,116",175,424,365,532,377,671,266,"1,533",437,743,"1,099",346,389,866,893
2021년12월_남_10~19세,"12,568",327,504,372,658,441,974,268,"2,803",783,933,"1,228",404,533,"1,145","1,195"
2021년12월_남_20~29세,"28,844","4,371","2,141","1,218","1,639","1,274","2,145",981,"1,988","2,009","1,786","1,890","1,418","2,112","1,794","2,078"
2021년12월_남_30~39세,"27,157","2,365","1,840","1,495","1,879","1,400","2,138","1,168","1,554","1,897","1,820","1,892","1,508","2,129","1,873","2,199"
2021년12월_남_40~49세,"24,860","1,195","1,312","1,090","1,472","1,129","1,997",813,"3,335","1,656","1,881","2,118","1,243","1,538","2,055","2,026"
2021년12월_남_50~59세,"26,363","1,115","1,425","1,248","1,619","1,389","2,458",666,"2,914","1,751","1,936","2,232","1,581","1,504","2,221","2,304"
2021년12월_남_60~69세,"20,992",828,"1,212","1,010","1,383","1,203","2,190",580,"1,594","1,358","1,796","1,811","1,469","1,175","1,633","1,750"
2021년12월_남_70~79세,"10,029",459,606,513,678,572,"1,065",323,668,639,759,746,711,621,882,787
2021년12월_남_80~89세,"3,780",185,217,190,234,191,326,130,351,270,256,351,245,235,307,292
2021년12월_남_90~99세,337,17,8,8,10,18,24,16,45,22,26,50,16,18,21,38
2021년12월_남_100세 이상,12,0,0,1,1,1,3,0,2,0,1,1,1,0,0,1
2021년12월_여_총인구수,"175,938","12,101","9,902","7,986","11,323","8,140","14,586","6,090","17,878","11,463","12,695","14,655","9,015","11,288","13,725","15,091"
2021년12월_여_연령구간인구수,"175,938","12,101","9,902","7,986","11,323","8,140","14,586","6,090","17,878","11,463","12,695","14,655","9,015","11,288","13,725","15,091"
2021년12월_여_0~9세,"8,628",174,389,336,519,309,615,238,"1,421",436,737,"1,090",328,368,798,870
2021년12월_여_10~19세,"12,206",375,456,344,661,428,842,258,"2,646",697,827,"1,312",446,555,"1,118","1,241"
2021년12월_여_20~29세,"32,772","5,760","2,342","1,586","2,078","1,309","2,156","1,316","1,997","2,198","1,865","1,885","1,477","2,550","1,843","2,410"
