카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2020년02월_계_총인구수,"254,853","5,595","25,708","9,640","18,834","4,415","6,311","4,842","3,283","3,295","21,806","6,481","5,626","5,501","6,805","14,410","5,050","15,141","6,021","21,620","29,513","23,314","9,809","1,833"
2020년02월_계_연령구간인구수,"254,853","5,595","25,708","9,640","18,834","4,415","6,311","4,842","3,283","3,295","21,806","6,481","5,626","5,501","6,805","14,410","5,050","15,141","6,021","21,620","29,513","23,314","9,809","1,833"
2020년02월_계_0~9세,"16,775",163,"1,312",376,"1,028",245,303,102,58,69,"2,416",201,240,224,195,501,108,"1,259",379,"2,680","2,781","1,393",671,71
2020년02월_계_10~19세,"21,799",222,"2,196",518,"1,102",208,348,223,88,137,"2,521",376,366,334,376,937,222,"1,812",350,"2,462","3,898","2,409",595,99
2020년02월_계_20~29세,"27,647",404,"2,595",803,"1,867",465,619,309,161,206,"2,400",537,548,597,696,"2,104",394,"1,914",515,"2,466","3,822","3,168",889,168
2020년02월_계_30~39세,"26,302",358,"1,969",726,"2,064",512,518,275,148,175,"3,103",435,543,555,575,"1,393",336,"1,598",564,"3,112","3,447","2,509","1,238",149
2020년02월_계_40~49세,"37,746",652,"3,564","1,092","2,592",415,762,449,210,343,"3,854",785,704,694,813,"1,925",550,"2,671",784,"3,884","5,550","3,928","1,296",229
2020년02월_계_50~59세,"47,046","1,047","5,181","1,758","3,853",678,"1,336",946,628,589,"3,469","1,312","1,070",961,"1,246","2,497",915,"2,740","1,064","3,662","5,390","4,564","1,800",340
2020년02월_계_60~69세,"39,192","1,228","4,276","2,012","3,289",797,"1,238","1,104",914,745,"2,228","1,294","1,016","1,047","1,442","2,636","1,097","1,702","1,114","1,996","2,801","3,180","1,656",380
2020년02월_계_70~79세,"24,002",947,"2,873","1,433","1,833",610,736,812,648,646,"1,132",895,720,731,977,"1,715",860,909,778,866,"1,141","1,462","1,016",262
2020년02월_계_80~89세,"12,641",499,"1,569",811,"1,062",422,380,558,368,352,603,567,372,320,422,624,501,474,417,422,595,634,558,111
2020년02월_계_90~99세,"1,612",73,162,103,138,61,70,61,57,31,78,77,45,30,53,76,59,60,55,65,85,66,85,22
2020년02월_계_100세 이상,91,2,11,8,6,2,1,3,3,2,2,2,2,8,10,2,8,2,1,5,3,1,5,2
