,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2021년06월_계_총인구수,"81,462","2,618","2,452","2,490","3,511","3,753","1,315","2,516","1,750","1,792","2,596","4,997","2,218","1,886","4,549","1,341","11,133","12,737","11,314","6,494"
2021년06월_계_연령구간인구수,"81,462","2,618","2,452","2,490","3,511","3,753","1,315","2,516","1,750","1,792","2,596","4,997","2,218","1,886","4,549","1,341","11,133","12,737","11,314","6,494"
2021년06월_계_0~9세,"4,107",81,60,67,88,124,42,74,50,49,36,193,71,45,128,42,735,849,940,433
2021년06월_계_10~19세,"6,080",120,97,114,155,194,60,123,74,78,99,301,87,71,191,58,"1,024","1,399","1,336",499
2021년06월_계_20~29세,"7,052",156,121,145,257,257,81,185,85,100,127,412,121,148,311,77,"1,279","1,333","1,284",573
2021년06월_계_30~39세,"6,399",156,123,157,198,265,90,160,96,98,129,323,119,94,266,78,"1,112","1,188","1,138",609
2021년06월_계_40~49세,"9,731",241,210,235,319,369,102,204,165,181,231,544,182,169,414,133,"1,585","1,889","1,802",756
2021년06월_계_50~59세,"13,315",411,340,423,557,642,190,428,270,269,379,931,313,334,835,205,"1,782","2,122","1,842","1,042"
2021년06월_계_60~69세,"14,921",652,598,549,785,768,290,576,386,399,578,"1,021",498,400,"1,016",281,"1,740","1,813","1,466","1,105"
2021년06월_계_70~79세,"11,350",426,491,478,645,649,244,405,330,341,569,768,430,338,774,278,"1,136","1,275",916,857
2021년06월_계_80~89세,"7,240",318,356,273,419,410,187,304,246,228,381,438,349,253,513,160,617,771,486,531
2021년06월_계_90~99세,"1,226",57,55,45,86,74,29,54,47,47,66,64,45,32,94,29,119,98,103,82
2021년06월_계_100세 이상,41,0,1,4,2,1,0,3,1,2,1,2,3,2,7,0,4,0,1,7
2021년06월_남_총인구수,"40,449","1,320","1,213","1,332","1,786","1,832",623,"1,293",874,906,"1,252","2,550","1,091",960,"2,296",690,"5,500","6,184","5,495","3,252"
2021년06월_남_연령구간인구수,"40,449","1,320","1,213","1,332","1,786","1,832",623,"1,293",874,906,"1,252","2,550","1,091",960,"2,296",690,"5,500","6,184","5,495","3,252"
2021년06월_남_0~9세,"2,137",50,33,39,45,64,21,38,30,22,20,99,42,23,59,21,383,437,477,234
2021년06월_남_10~19세,"3,102",71,56,63,85,87,35,62,41,45,48,157,44,39,105,28,500,708,677,251
2021년06월_남_20~29세,"3,945",95,78,90,142,135,49,111,52,63,77,228,75,87,187,47,695,723,688,323
2021년06월_남_30~39세,"3,420",91,72,104,117,148,49,91,56,59,78,184,73,61,155,47,563,598,570,304
2021년06월_남_40~49세,"5,470",147,138,156,217,223,65,133,105,116,151,335,126,111,259,99,825,959,878,427
2021년06월_남_50~59세,"7,313",227,200,277,312,351,102,252,154,161,224,513,177,194,474,118,942,"1,080",973,582
2021년06월_남_60~69세,"7,542",336,301,289,428,393,142,310,189,219,293,537,254,220,530,142,827,869,700,563
2021년06월_남_70~79세,"4,973",200,228,218,292,287,99,189,147,142,228,338,179,143,340,122,524,541,372,384
2021년06월_남_80~89세,"2,273",92,99,87,123,121,55,90,90,69,121,142,114,74,160,56,212,245,147,176
2021년06월_남_90~99세,268,11,7,9,24,22,6,17,10,10,11,17,7,8,27,10,27,24,13,8
2021년06월_남_100세 이상,6,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0
2021년06월_여_총인구수,"41,013","1,298","1,239","1,158","1,725","1,921",692,"1,223",876,886,"1,344","2,447","1,127",926,"2,253",651,"5,633","6,553","5,819","3,242"
2021년06월_여_연령구간인구수,"41,013","1,298","1,239","1,158","1,725","1,921",692,"1,223",876,886,"1,344","2,447","1,127",926,"2,253",651,"5,633","6,553","5,819","3,242"
2021년06월_여_0~9세,"1,970",31,27,28,43,60,21,36,20,27,16,94,29,22,69,21,352,412,463,199
2021년06월_여_10~19세,"2,978",49,41,51,70,107,25,61,33,33,51,144,43,32,86,30,524,691,659,248
2021년06월_여_20~29세,"3,107",61,43,55,115,122,32,74,33,37,50,184,46,61,124,30,584,610,596,250
2021년06월_여_30~39세,"2,979",65,51,53,81,117,41,69,40,39,51,139,46,33,111,31,549,590,568,305
2021년06월_여_40~49세,"4,261",94,72,79,102,146,37,71,60,65,80,209,56,58,155,34,760,930,924,329
2021년06월_여_50~59세,"6,002",184,140,146,245,291,88,176,116,108,155,418,136,140,361,87,840,"1,042",869,460
2021년06월_여_60~69세,"7,379",316,297,260,357,375,148,266,197,180,285,484,244,180,486,139,913,944,766,542
2021년06월_여_70~79세,"6,377",226,263,260,353,362,145,216,183,199,341,430,251,195,434,156,612,734,544,473
2021년06월_여_80~89세,"4,967",226,257,186,296,289,132,214,156,159,260,296,235,179,353,104,405,526,339,355
2021년06월_여_90~99세,958,46,48,36,62,52,23,37,37,37,55,47,38,24,67,19,92,74,90,74
2021년06월_여_100세 이상,35,0,0,4,1,0,0,3,1,2,0,2,3,2,7,0,2,0,1,7
