,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2020년10월_계_총인구수,"38,712","21,114","1,095","1,480","1,743","2,164","2,275","1,270","1,754","3,795","2,022"
2020년10월_계_연령구간인구수,"38,712","21,114","1,095","1,480","1,743","2,164","2,275","1,270","1,754","3,795","2,022"
2020년10월_계_0~9세,"1,701","1,315",21,25,27,39,49,39,46,96,44
2020년10월_계_10~19세,"2,922","2,153",30,55,79,84,98,53,73,213,84
2020년10월_계_20~29세,"3,312","2,354",43,69,92,133,120,104,101,219,77
2020년10월_계_30~39세,"2,790","1,886",55,63,60,106,121,87,115,199,98
2020년10월_계_40~49세,"4,659","2,999",103,116,167,205,226,138,181,337,187
2020년10월_계_50~59세,"7,386","3,768",224,349,409,454,440,272,330,742,398
2020년10월_계_60~69세,"7,996","3,315",275,379,478,559,632,309,425,"1,002",622
2020년10월_계_70~79세,"4,874","2,110",204,263,261,344,344,160,290,551,347
2020년10월_계_80~89세,"2,667","1,050",124,143,147,210,210,96,164,382,141
2020년10월_계_90~99세,353,144,14,17,20,23,30,11,28,44,22
2020년10월_계_100세 이상,52,20,2,1,3,7,5,1,1,10,2
2020년10월_남_총인구수,"20,002","10,799",570,769,897,"1,132","1,197",712,947,"1,948","1,031"
2020년10월_남_연령구간인구수,"20,002","10,799",570,769,897,"1,132","1,197",712,947,"1,948","1,031"
2020년10월_남_0~9세,907,710,14,12,15,19,20,21,26,48,22
2020년10월_남_10~19세,"1,563","1,165",17,22,40,36,56,28,32,125,42
2020년10월_남_20~29세,"1,910","1,337",26,45,56,82,74,69,58,121,42
2020년10월_남_30~39세,"1,531",986,30,41,31,59,81,49,84,119,51
2020년10월_남_40~49세,"2,555","1,538",67,76,90,132,141,82,120,193,116
2020년10월_남_50~59세,"4,091","2,065",135,193,220,265,248,170,196,395,204
2020년10월_남_60~69세,"4,159","1,669",140,215,255,301,342,169,224,533,311
2020년10월_남_70~79세,"2,211",914,92,110,134,151,162,84,133,257,174
2020년10월_남_80~89세,965,377,45,49,51,79,63,37,63,140,61
2020년10월_남_90~99세,94,32,3,5,5,5,8,3,11,14,8
2020년10월_남_100세 이상,16,6,1,1,0,3,2,0,0,3,0
2020년10월_여_총인구수,"18,710","10,315",525,711,846,"1,032","1,078",558,807,"1,847",991
2020년10월_여_연령구간인구수,"18,710","10,315",525,711,846,"1,032","1,078",558,807,"1,847",991
2020년10월_여_0~9세,794,605,7,13,12,20,29,18,20,48,22
2020년10월_여_10~19세,"1,359",988,13,33,39,48,42,25,41,88,42
2020년10월_여_20~29세,"1,402","1,017",17,24,36,51,46,35,43,98,35
2020년10월_여_30~39세,"1,259",900,25,22,29,47,40,38,31,80,47
2020년10월_여_40~49세,"2,104","1,461",36,40,77,73,85,56,61,144,71
2020년10월_여_50~59세,"3,295","1,703",89,156,189,189,192,102,134,347,194
2020년10월_여_60~69세,"3,837","1,646",135,164,223,258,290,140,201,469,311
2020년10월_여_70~79세,"2,663","1,196",112,153,127,193,182,76,157,294,173
2020년10월_여_80~89세,"1,702",673,79,94,96,131,147,59,101,242,80
2020년10월_여_90~99세,259,112,11,12,15,18,22,8,17,30,14
2020년10월_여_100세 이상,36,14,1,0,3,4,3,1,1,7,2
