카테고리,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2021년10월_계_총인구수,"1,122,566","213,579","314,706","154,501","217,750","222,030"
2021년10월_계_연령구간인구수,"1,122,566","213,579","314,706","154,501","217,750","222,030"
2021년10월_계_0~9세,"92,945","15,474","22,724","13,902","24,164","16,681"
2021년10월_계_10~19세,"110,168","19,580","29,261","15,655","23,663","22,009"
2021년10월_계_20~29세,"138,484","25,470","43,791","16,910","26,237","26,076"
2021년10월_계_30~39세,"145,773","25,359","41,091","21,548","32,829","24,946"
2021년10월_계_40~49세,"183,982","33,200","49,797","26,120","38,729","36,136"
2021년10월_계_50~59세,"206,954","40,286","60,781","24,864","38,677","42,346"
2021년10월_계_60~69세,"154,649","33,426","43,563","23,758","22,000","31,902"
2021년10월_계_70~79세,"62,473","14,732","17,043","8,758","7,790","14,150"
2021년10월_계_80~89세,"23,845","5,396","5,934","2,620","3,180","6,715"
2021년10월_계_90~99세,"3,205",639,701,357,461,"1,047"
2021년10월_계_100세 이상,88,17,20,9,20,22
2021년10월_남_총인구수,"576,723","108,103","160,481","80,618","112,783","114,738"
2021년10월_남_연령구간인구수,"576,723","108,103","160,481","80,618","112,783","114,738"
2021년10월_남_0~9세,"47,768","7,973","11,677","7,088","12,459","8,571"
2021년10월_남_10~19세,"57,850","10,407","15,456","8,299","12,253","11,435"
2021년10월_남_20~29세,"78,125","14,256","24,420","9,465","15,054","14,930"
2021년10월_남_30~39세,"77,521","13,319","21,964","11,824","17,088","13,326"
2021년10월_남_40~49세,"94,080","16,953","24,534","14,209","19,851","18,533"
2021년10월_남_50~59세,"105,071","20,065","30,384","12,515","19,789","22,318"
2021년10월_남_60~69세,"77,844","16,276","21,682","11,799","11,570","16,517"
2021년10월_남_70~79세,"29,827","6,836","8,125","4,466","3,671","6,729"
2021년10월_남_80~89세,"8,081","1,911","2,117",897,972,"2,184"
2021년10월_남_90~99세,545,105,121,54,72,193
2021년10월_남_100세 이상,11,2,1,2,4,2
2021년10월_여_총인구수,"545,843","105,476","154,225","73,883","104,967","107,292"
2021년10월_여_연령구간인구수,"545,843","105,476","154,225","73,883","104,967","107,292"
2021년10월_여_0~9세,"45,177","7,501","11,047","6,814","11,705","8,110"
2021년10월_여_10~19세,"52,318","9,173","13,805","7,356","11,410","10,574"
2021년10월_여_20~29세,"60,359","11,214","19,371","7,445","11,183","11,146"
2021년10월_여_30~39세,"68,252","12,040","19,127","9,724","15,741","11,620"
2021년10월_여_40~49세,"89,902","16,247","25,263","11,911","18,878","17,603"
2021년10월_여_50~59세,"101,883","20,221","30,397","12,349","18,888","20,028"
2021년10월_여_60~69세,"76,805","17,150","21,881","11,959","10,430","15,385"
2021년10월_여_70~79세,"32,646","7,896","8,918","4,292","4,119","7,421"
2021년10월_여_80~89세,"15,764","3,485","3,817","1,723","2,208","4,531"
2021년10월_여_90~99세,"2,660",534,580,303,389,854
2021년10월_여_100세 이상,77,15,19,7,16,20
