,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2021년09월_계_총인구수,"36,388","34,536","1,852"
2021년09월_계_연령구간인구수,"36,388","34,536","1,852"
2021년09월_계_0~9세,"2,994","2,947",47
2021년09월_계_10~19세,"3,369","3,293",76
2021년09월_계_20~29세,"4,405","4,280",125
2021년09월_계_30~39세,"4,421","4,322",99
2021년09월_계_40~49세,"5,470","5,291",179
2021년09월_계_50~59세,"6,018","5,693",325
2021년09월_계_60~69세,"5,306","4,830",476
2021년09월_계_70~79세,"2,673","2,397",276
2021년09월_계_80~89세,"1,546","1,324",222
2021년09월_계_90~99세,182,155,27
2021년09월_계_100세 이상,4,4,0
2021년09월_남_총인구수,"18,973","18,000",973
2021년09월_남_연령구간인구수,"18,973","18,000",973
2021년09월_남_0~9세,"1,566","1,539",27
2021년09월_남_10~19세,"1,762","1,723",39
2021년09월_남_20~29세,"2,612","2,533",79
2021년09월_남_30~39세,"2,451","2,393",58
2021년09월_남_40~49세,"2,944","2,833",111
2021년09월_남_50~59세,"3,188","3,010",178
2021년09월_남_60~69세,"2,661","2,399",262
2021년09월_남_70~79세,"1,214","1,077",137
2021년09월_남_80~89세,529,454,75
2021년09월_남_90~99세,44,37,7
2021년09월_남_100세 이상,2,2,0
2021년09월_여_총인구수,"17,415","16,536",879
2021년09월_여_연령구간인구수,"17,415","16,536",879
2021년09월_여_0~9세,"1,428","1,408",20
2021년09월_여_10~19세,"1,607","1,570",37
2021년09월_여_20~29세,"1,793","1,747",46
2021년09월_여_30~39세,"1,970","1,929",41
2021년09월_여_40~49세,"2,526","2,458",68
2021년09월_여_50~59세,"2,830","2,683",147
2021년09월_여_60~69세,"2,645","2,431",214
2021년09월_여_70~79세,"1,459","1,320",139
2021년09월_여_80~89세,"1,017",870,147
2021년09월_여_90~99세,138,118,20
2021년09월_여_100세 이상,2,2,0
