카테고리,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2020년05월_계_총인구수,"37,566","10,055","2,043","1,892","2,310","3,110","2,162","5,063","3,398","2,743","2,060","2,730"
2020년05월_계_연령구간인구수,"37,566","10,055","2,043","1,892","2,310","3,110","2,162","5,063","3,398","2,743","2,060","2,730"
2020년05월_계_0~9세,"1,296",649,49,32,35,90,54,124,84,64,48,67
2020년05월_계_10~19세,"2,086",952,124,50,92,149,98,210,121,117,62,111
2020년05월_계_20~29세,"2,963","1,292",124,108,133,216,139,275,203,210,121,142
2020년05월_계_30~39세,"2,490","1,036",102,91,98,192,112,242,188,167,121,141
2020년05월_계_40~49세,"3,914","1,495",188,162,193,315,193,406,291,275,173,223
2020년05월_계_50~59세,"7,403","1,652",411,435,461,700,458,"1,105",704,529,405,543
2020년05월_계_60~69세,"8,263","1,450",497,483,617,668,507,"1,304",872,623,555,687
2020년05월_계_70~79세,"5,437",974,301,294,395,480,339,865,517,450,341,481
2020년05월_계_80~89세,"3,250",501,213,208,247,272,226,453,363,278,194,295
2020년05월_계_90~99세,436,50,33,28,35,26,36,74,51,29,37,37
2020년05월_계_100세 이상,28,4,1,1,4,2,0,5,4,1,3,3
2020년05월_남_총인구수,"19,207","5,139","1,069",964,"1,194","1,550","1,080","2,602","1,733","1,411","1,060","1,405"
2020년05월_남_연령구간인구수,"19,207","5,139","1,069",964,"1,194","1,550","1,080","2,602","1,733","1,411","1,060","1,405"
2020년05월_남_0~9세,658,338,25,16,17,36,25,58,41,38,24,40
2020년05월_남_10~19세,"1,063",480,64,25,53,74,43,111,65,53,32,63
2020년05월_남_20~29세,"1,752",742,74,67,80,109,88,169,134,126,74,89
2020년05월_남_30~39세,"1,409",547,64,54,64,114,62,140,106,99,79,80
2020년05월_남_40~49세,"2,249",799,120,97,114,186,107,237,178,163,111,137
2020년05월_남_50~59세,"4,002",898,228,238,249,379,240,607,378,292,205,288
2020년05월_남_60~69세,"4,318",715,264,260,330,360,263,680,457,334,298,357
2020년05월_남_70~79세,"2,517",417,138,131,184,215,176,422,248,201,165,220
2020년05월_남_80~89세,"1,135",190,83,72,93,71,68,162,112,97,65,122
2020년05월_남_90~99세,97,12,9,4,9,6,8,15,13,7,7,7
2020년05월_남_100세 이상,7,1,0,0,1,0,0,1,1,1,0,2
2020년05월_여_총인구수,"18,359","4,916",974,928,"1,116","1,560","1,082","2,461","1,665","1,332","1,000","1,325"
2020년05월_여_연령구간인구수,"18,359","4,916",974,928,"1,116","1,560","1,082","2,461","1,665","1,332","1,000","1,325"
2020년05월_여_0~9세,638,311,24,16,18,54,29,66,43,26,24,27
2020년05월_여_10~19세,"1,023",472,60,25,39,75,55,99,56,64,30,48
2020년05월_여_20~29세,"1,211",550,50,41,53,107,51,106,69,84,47,53
2020년05월_여_30~39세,"1,081",489,38,37,34,78,50,102,82,68,42,61
2020년05월_여_40~49세,"1,665",696,68,65,79,129,86,169,113,112,62,86
2020년05월_여_50~59세,"3,401",754,183,197,212,321,218,498,326,237,200,255
2020년05월_여_60~69세,"3,945",735,233,223,287,308,244,624,415,289,257,330
2020년05월_여_70~79세,"2,920",557,163,163,211,265,163,443,269,249,176,261
2020년05월_여_80~89세,"2,115",311,130,136,154,201,158,291,251,181,129,173
2020년05월_여_90~99세,339,38,24,24,26,20,28,59,38,22,30,30
2020년05월_여_100세 이상,21,3,1,1,3,2,0,4,3,0,3,1
