카테고리,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2020년01월_계_총인구수,"26,214","11,113","1,326","1,549","2,570","2,779","2,328","1,526","3,023"
2020년01월_계_연령구간인구수,"26,214","11,113","1,326","1,549","2,570","2,779","2,328","1,526","3,023"
2020년01월_계_0~9세,"1,219",715,43,55,57,123,71,59,96
2020년01월_계_10~19세,"1,968","1,128",76,77,158,200,114,68,147
2020년01월_계_20~29세,"2,165","1,135",89,91,168,211,129,113,229
2020년01월_계_30~39세,"1,850",974,58,79,134,193,144,109,159
2020년01월_계_40~49세,"3,147","1,533",160,166,247,349,199,179,314
2020년01월_계_50~59세,"4,762","1,953",257,284,591,468,390,236,583
2020년01월_계_60~69세,"4,420","1,631",260,279,501,487,435,260,567
2020년01월_계_70~79세,"3,909","1,252",208,313,383,416,476,299,562
2020년01월_계_80~89세,"2,422",686,151,181,283,289,325,177,330
2020년01월_계_90~99세,335,101,24,22,45,40,43,26,34
2020년01월_계_100세 이상,17,5,0,2,3,3,2,0,2
2020년01월_남_총인구수,"12,751","5,390",660,762,"1,263","1,381","1,092",746,"1,457"
2020년01월_남_연령구간인구수,"12,751","5,390",660,762,"1,263","1,381","1,092",746,"1,457"
2020년01월_남_0~9세,606,341,21,30,32,65,36,32,49
2020년01월_남_10~19세,"1,038",603,42,34,80,109,61,37,72
2020년01월_남_20~29세,"1,152",595,48,46,98,114,61,64,126
2020년01월_남_30~39세,991,487,30,40,82,114,82,66,90
2020년01월_남_40~49세,"1,747",785,91,110,144,196,119,107,195
2020년01월_남_50~59세,"2,615","1,008",154,176,327,269,225,132,324
2020년01월_남_60~69세,"2,145",785,133,136,245,238,208,126,274
2020년01월_남_70~79세,"1,584",529,84,122,147,172,192,117,221
2020년01월_남_80~89세,803,234,54,62,96,96,100,61,100
2020년01월_남_90~99세,67,22,3,6,12,7,8,4,5
2020년01월_남_100세 이상,3,1,0,0,0,1,0,0,1
2020년01월_여_총인구수,"13,463","5,723",666,787,"1,307","1,398","1,236",780,"1,566"
2020년01월_여_연령구간인구수,"13,463","5,723",666,787,"1,307","1,398","1,236",780,"1,566"
2020년01월_여_0~9세,613,374,22,25,25,58,35,27,47
2020년01월_여_10~19세,930,525,34,43,78,91,53,31,75
2020년01월_여_20~29세,"1,013",540,41,45,70,97,68,49,103
2020년01월_여_30~39세,859,487,28,39,52,79,62,43,69
2020년01월_여_40~49세,"1,400",748,69,56,103,153,80,72,119
2020년01월_여_50~59세,"2,147",945,103,108,264,199,165,104,259
2020년01월_여_60~69세,"2,275",846,127,143,256,249,227,134,293
2020년01월_여_70~79세,"2,325",723,124,191,236,244,284,182,341
2020년01월_여_80~89세,"1,619",452,97,119,187,193,225,116,230
2020년01월_여_90~99세,268,79,21,16,33,33,35,22,29
2020년01월_여_100세 이상,14,4,0,2,3,2,2,0,1
