카테고리,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2021년07월_계_총인구수,"41,060","8,454","1,640",866,"1,676","5,195","5,731","3,050","8,567","5,881"
2021년07월_계_연령구간인구수,"41,060","8,454","1,640",866,"1,676","5,195","5,731","3,050","8,567","5,881"
2021년07월_계_0~9세,"1,777",393,33,17,54,206,281,106,404,283
2021년07월_계_10~19세,"2,789",700,69,42,72,308,431,193,619,355
2021년07월_계_20~29세,"3,259",746,106,51,85,387,388,213,713,570
2021년07월_계_30~39세,"2,917",643,59,38,89,308,436,149,581,614
2021년07월_계_40~49세,"5,153","1,059",170,73,152,608,783,357,"1,078",873
2021년07월_계_50~59세,"7,807","1,559",347,165,332,963,"1,123",661,"1,585","1,072"
2021년07월_계_60~69세,"9,243","1,769",449,247,501,"1,255","1,308",730,"1,861","1,123"
2021년07월_계_70~79세,"4,911",924,249,137,243,665,613,358,"1,084",638
2021년07월_계_80~89세,"2,817",569,131,86,123,434,338,258,558,320
2021년07월_계_90~99세,369,87,26,9,25,59,27,25,80,31
2021년07월_계_100세 이상,18,5,1,1,0,2,3,0,4,2
2021년07월_남_총인구수,"21,075","4,298",861,449,875,"2,656","3,004","1,532","4,314","3,086"
2021년07월_남_연령구간인구수,"21,075","4,298",861,449,875,"2,656","3,004","1,532","4,314","3,086"
2021년07월_남_0~9세,884,200,15,13,24,92,132,49,216,143
2021년07월_남_10~19세,"1,458",348,37,22,37,158,235,101,314,206
2021년07월_남_20~29세,"1,927",441,63,34,45,228,233,125,413,345
2021년07월_남_30~39세,"1,582",344,37,20,48,168,240,70,297,358
2021년07월_남_40~49세,"2,810",554,103,38,84,344,420,198,570,499
2021년07월_남_50~59세,"4,196",830,198,84,178,517,606,356,847,580
2021년07월_남_60~69세,"4,837",920,247,138,283,675,693,374,950,557
2021년07월_남_70~79세,"2,293",444,118,59,128,299,310,162,503,270
2021년07월_남_80~89세,"1,014",202,41,40,45,162,129,88,189,118
2021년07월_남_90~99세,70,14,2,0,3,13,6,9,13,10
2021년07월_남_100세 이상,4,1,0,1,0,0,0,0,2,0
2021년07월_여_총인구수,"19,985","4,156",779,417,801,"2,539","2,727","1,518","4,253","2,795"
2021년07월_여_연령구간인구수,"19,985","4,156",779,417,801,"2,539","2,727","1,518","4,253","2,795"
2021년07월_여_0~9세,893,193,18,4,30,114,149,57,188,140
2021년07월_여_10~19세,"1,331",352,32,20,35,150,196,92,305,149
2021년07월_여_20~29세,"1,332",305,43,17,40,159,155,88,300,225
2021년07월_여_30~39세,"1,335",299,22,18,41,140,196,79,284,256
2021년07월_여_40~49세,"2,343",505,67,35,68,264,363,159,508,374
2021년07월_여_50~59세,"3,611",729,149,81,154,446,517,305,738,492
2021년07월_여_60~69세,"4,406",849,202,109,218,580,615,356,911,566
2021년07월_여_70~79세,"2,618",480,131,78,115,366,303,196,581,368
2021년07월_여_80~89세,"1,803",367,90,46,78,272,209,170,369,202
2021년07월_여_90~99세,299,73,24,9,22,46,21,16,67,21
2021년07월_여_100세 이상,14,4,1,0,0,2,3,0,2,2
