,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 남면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2020년04월_계_총인구수,"22,375","14,322","3,345","2,056","1,327","1,325"
2020년04월_계_연령구간인구수,"22,375","14,322","3,345","2,056","1,327","1,325"
2020년04월_계_0~9세,"1,793","1,506",119,74,54,40
2020년04월_계_10~19세,"2,129","1,675",197,102,67,88
2020년04월_계_20~29세,"3,071","1,836",389,466,268,112
2020년04월_계_30~39세,"2,583","2,002",253,133,107,88
2020년04월_계_40~49세,"2,620","1,909",316,167,82,146
2020년04월_계_50~59세,"3,641","2,081",672,356,223,309
2020년04월_계_60~69세,"3,206","1,721",654,329,255,247
2020년04월_계_70~79세,"2,064",976,457,279,163,189
2020년04월_계_80~89세,"1,106",538,248,128,99,93
2020년04월_계_90~99세,147,66,37,22,9,13
2020년04월_계_100세 이상,15,12,3,0,0,0
2020년04월_남_총인구수,"11,801","7,311","1,815","1,185",775,715
2020년04월_남_연령구간인구수,"11,801","7,311","1,815","1,185",775,715
2020년04월_남_0~9세,893,743,62,38,25,25
2020년04월_남_10~19세,"1,081",831,108,50,39,53
2020년04월_남_20~29세,"2,040","1,097",285,362,227,69
2020년04월_남_30~39세,"1,428","1,070",158,86,64,50
2020년04월_남_40~49세,"1,422","1,008",185,95,47,87
2020년04월_남_50~59세,"1,930","1,063",377,191,129,170
2020년04월_남_60~69세,"1,694",887,349,186,137,135
2020년04월_남_70~79세,899,413,199,123,71,93
2020년04월_남_80~89세,368,174,81,48,34,31
2020년04월_남_90~99세,40,20,10,6,2,2
2020년04월_남_100세 이상,6,5,1,0,0,0
2020년04월_여_총인구수,"10,574","7,011","1,530",871,552,610
2020년04월_여_연령구간인구수,"10,574","7,011","1,530",871,552,610
2020년04월_여_0~9세,900,763,57,36,29,15
2020년04월_여_10~19세,"1,048",844,89,52,28,35
2020년04월_여_20~29세,"1,031",739,104,104,41,43
2020년04월_여_30~39세,"1,155",932,95,47,43,38
2020년04월_여_40~49세,"1,198",901,131,72,35,59
2020년04월_여_50~59세,"1,711","1,018",295,165,94,139
2020년04월_여_60~69세,"1,512",834,305,143,118,112
2020년04월_여_70~79세,"1,165",563,258,156,92,96
2020년04월_여_80~89세,738,364,167,80,65,62
2020년04월_여_90~99세,107,46,27,16,7,11
2020년04월_여_100세 이상,9,7,2,0,0,0
