카테고리,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2021년07월_계_총인구수,"390,638","19,541","20,549","17,277","19,670","21,279","16,374","24,909","25,549","18,450","18,731","37,948","36,832","48,984","25,187","39,358"
2021년07월_계_연령구간인구수,"390,638","19,541","20,549","17,277","19,670","21,279","16,374","24,909","25,549","18,450","18,731","37,948","36,832","48,984","25,187","39,358"
2021년07월_계_0~9세,"38,092","1,327","1,439",881,884,"1,344",920,"1,204","2,314","1,342","1,494","3,104","4,843","6,822","3,753","6,421"
2021년07월_계_10~19세,"43,057","1,874","2,188","1,061","1,532","1,641","1,213","1,690","2,662","1,934","2,841","5,533","6,361","6,011","2,942","3,574"
2021년07월_계_20~29세,"51,601","2,598","2,900","2,410","3,066","3,316","2,193","3,411","3,395","2,585","2,503","6,480","3,640","6,163","2,807","4,134"
2021년07월_계_30~39세,"57,526","2,283","2,426","2,247","2,497","3,189","2,177","3,036","3,726","2,611","1,773","4,371","4,367","9,213","4,638","8,972"
2021년07월_계_40~49세,"69,064","3,074","3,268","2,352","3,191","3,014","2,159","3,553","4,190","2,876","3,343","6,609","8,558","9,983","5,241","7,653"
2021년07월_계_50~59세,"64,856","3,708","3,919","3,293","3,974","3,837","3,030","5,180","4,661","3,464","3,383","6,364","5,552","6,160","3,407","4,924"
2021년07월_계_60~69세,"41,698","2,600","2,588","3,103","2,773","2,955","2,619","4,066","3,107","2,324","2,050","3,627","2,325","3,135","1,700","2,726"
2021년07월_계_70~79세,"15,826","1,356","1,166","1,248","1,164","1,174","1,207","1,750",945,806,851,"1,193",767,"1,032",495,672
2021년07월_계_80~89세,"7,499",629,554,581,503,674,699,877,442,446,405,541,351,395,179,223
2021년07월_계_90~99세,"1,367",92,97,95,81,131,146,136,103,60,88,124,65,68,23,58
2021년07월_계_100세 이상,52,0,4,6,5,4,11,6,4,2,0,2,3,2,2,1
2021년07월_남_총인구수,"194,088","9,684","10,166","8,950","10,763","10,457","7,781","12,949","12,526","8,965","9,121","18,671","18,068","24,005","12,482","19,500"
2021년07월_남_연령구간인구수,"194,088","9,684","10,166","8,950","10,763","10,457","7,781","12,949","12,526","8,965","9,121","18,671","18,068","24,005","12,482","19,500"
2021년07월_남_0~9세,"19,440",693,718,472,453,704,477,605,"1,183",685,738,"1,596","2,453","3,443","1,925","3,295"
2021년07월_남_10~19세,"22,098",964,"1,144",543,840,823,621,861,"1,330","1,000","1,463","2,839","3,255","3,075","1,483","1,857"
2021년07월_남_20~29세,"26,788","1,420","1,543","1,367","1,728","1,777","1,102","1,944","1,755","1,319","1,311","3,256","1,865","2,985","1,412","2,004"
2021년07월_남_30~39세,"28,304","1,193","1,190","1,280","1,496","1,671","1,152","1,749","1,800","1,321",781,"2,093","1,817","4,286","2,158","4,317"
2021년07월_남_40~49세,"34,030","1,498","1,623","1,307","1,850","1,462","1,029","1,908","2,042","1,353","1,507","3,025","3,994","4,900","2,612","3,920"
2021년07월_남_50~59세,"31,960","1,813","1,867","1,577","2,155","1,809","1,360","2,660","2,159","1,600","1,673","3,184","2,950","3,100","1,716","2,337"
2021년07월_남_60~69세,"21,377","1,270","1,321","1,600","1,505","1,492","1,308","2,099","1,623","1,166","1,080","1,877","1,251","1,584",851,"1,350"
2021년07월_남_70~79세,"7,318",585,556,581,546,510,514,790,467,368,393,582,342,482,255,347
2021년07월_남_80~89세,"2,483",226,183,206,173,183,195,303,138,138,151,194,130,133,67,63
2021년07월_남_90~99세,280,22,21,17,17,24,20,27,29,15,24,25,11,15,3,10
2021년07월_남_100세 이상,10,0,0,0,0,2,3,3,0,0,0,0,0,2,0,0
2021년07월_여_총인구수,"196,550","9,857","10,383","8,327","8,907","10,822","8,593","11,960","13,023","9,485","9,610","19,277","18,764","24,979","12,705","19,858"
