카테고리,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2020년10월_계_총인구수,"34,724","13,774","4,324","2,318","1,160","2,532","1,807","2,804","1,865","1,671",655,"1,814"
2020년10월_계_연령구간인구수,"34,724","13,774","4,324","2,318","1,160","2,532","1,807","2,804","1,865","1,671",655,"1,814"
2020년10월_계_0~9세,"1,801","1,029",236,69,29,57,78,110,50,49,18,76
2020년10월_계_10~19세,"2,541","1,371",334,121,42,140,98,131,78,89,48,89
2020년10월_계_20~29세,"2,895","1,551",360,142,70,131,85,173,113,98,33,139
2020년10월_계_30~39세,"2,490","1,330",316,110,52,116,85,167,99,73,25,117
2020년10월_계_40~49세,"3,796","1,891",469,190,109,205,166,246,130,148,55,187
2020년10월_계_50~59세,"5,694","2,253",714,399,182,373,301,437,322,272,110,331
2020년10월_계_60~69세,"6,156","2,021",738,468,259,556,388,593,350,328,108,347
2020년10월_계_70~79세,"5,237","1,419",600,451,248,517,317,522,384,318,134,327
2020년10월_계_80~89세,"3,574",792,487,325,140,373,260,365,296,249,105,182
2020년10월_계_90~99세,511,107,68,41,28,58,28,57,41,45,19,19
2020년10월_계_100세 이상,29,10,2,2,1,6,1,3,2,2,0,0
2020년10월_남_총인구수,"16,783","6,647","2,093","1,125",548,"1,224",858,"1,371",905,794,319,899
2020년10월_남_연령구간인구수,"16,783","6,647","2,093","1,125",548,"1,224",858,"1,371",905,794,319,899
2020년10월_남_0~9세,896,530,111,41,10,24,30,54,29,20,10,37
2020년10월_남_10~19세,"1,308",681,190,55,22,76,48,63,41,54,27,51
2020년10월_남_20~29세,"1,631",847,214,81,41,82,48,108,65,58,18,69
2020년10월_남_30~39세,"1,273",657,168,62,29,63,35,86,56,41,10,66
2020년10월_남_40~49세,"2,115",949,248,113,68,128,108,149,92,97,40,123
2020년10월_남_50~59세,"3,065","1,134",381,225,101,216,168,246,192,149,68,185
2020년10월_남_60~69세,"3,070",979,395,242,120,283,187,302,173,166,55,168
2020년10월_남_70~79세,"2,235",617,235,196,114,224,146,224,154,122,63,140
2020년10월_남_80~89세,"1,088",231,137,105,39,113,85,126,95,78,22,57
2020년10월_남_90~99세,98,21,14,5,4,14,3,12,7,9,6,3
2020년10월_남_100세 이상,4,1,0,0,0,1,0,1,1,0,0,0
2020년10월_여_총인구수,"17,941","7,127","2,231","1,193",612,"1,308",949,"1,433",960,877,336,915
2020년10월_여_연령구간인구수,"17,941","7,127","2,231","1,193",612,"1,308",949,"1,433",960,877,336,915
2020년10월_여_0~9세,905,499,125,28,19,33,48,56,21,29,8,39
2020년10월_여_10~19세,"1,233",690,144,66,20,64,50,68,37,35,21,38
2020년10월_여_20~29세,"1,264",704,146,61,29,49,37,65,48,40,15,70
2020년10월_여_30~39세,"1,217",673,148,48,23,53,50,81,43,32,15,51
2020년10월_여_40~49세,"1,681",942,221,77,41,77,58,97,38,51,15,64
2020년10월_여_50~59세,"2,629","1,119",333,174,81,157,133,191,130,123,42,146
2020년10월_여_60~69세,"3,086","1,042",343,226,139,273,201,291,177,162,53,179
2020년10월_여_70~79세,"3,002",802,365,255,134,293,171,298,230,196,71,187
2020년10월_여_80~89세,"2,486",561,350,220,101,260,175,239,201,171,83,125
2020년10월_여_90~99세,413,86,54,36,24,44,25,45,34,36,13,16
2020년10월_여_100세 이상,25,9,2,2,1,5,1,2,1,2,0,0
