카테고리,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 국토정중앙면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2021년09월_계_총인구수,"21,924","13,936","3,366","2,048","1,294","1,280"
2021년09월_계_연령구간인구수,"21,924","13,936","3,366","2,048","1,294","1,280"
2021년09월_계_0~9세,"1,688","1,417",106,95,44,26
2021년09월_계_10~19세,"1,998","1,594",181,84,56,83
2021년09월_계_20~29세,"2,874","1,665",434,406,262,107
2021년09월_계_30~39세,"2,513","1,912",256,168,96,81
2021년09월_계_40~49세,"2,451","1,821",276,141,82,131
2021년09월_계_50~59세,"3,406","2,001",604,339,196,266
2021년09월_계_60~69세,"3,629","1,909",752,377,290,301
2021년09월_계_70~79세,"1,968",942,443,262,145,176
2021년09월_계_80~89세,"1,205",590,264,146,109,96
2021년09월_계_90~99세,177,74,46,30,14,13
2021년09월_계_100세 이상,15,11,4,0,0,0
2021년09월_남_총인구수,"11,554","7,079","1,886","1,145",751,693
2021년09월_남_연령구간인구수,"11,554","7,079","1,886","1,145",751,693
2021년09월_남_0~9세,847,700,57,53,20,17
2021년09월_남_10~19세,998,778,100,42,32,46
2021년09월_남_20~29세,"1,899",986,346,284,219,64
2021년09월_남_30~39세,"1,398","1,011",165,113,63,46
2021년09월_남_40~49세,"1,316",944,167,81,44,80
2021년09월_남_50~59세,"1,817","1,041",345,181,105,145
2021년09월_남_60~69세,"1,948",993,404,215,163,173
2021년09월_남_70~79세,861,406,195,113,62,85
2021년09월_남_80~89세,422,195,97,56,39,35
2021년09월_남_90~99세,42,20,9,7,4,2
2021년09월_남_100세 이상,6,5,1,0,0,0
2021년09월_여_총인구수,"10,370","6,857","1,480",903,543,587
2021년09월_여_연령구간인구수,"10,370","6,857","1,480",903,543,587
2021년09월_여_0~9세,841,717,49,42,24,9
2021년09월_여_10~19세,"1,000",816,81,42,24,37
2021년09월_여_20~29세,975,679,88,122,43,43
2021년09월_여_30~39세,"1,115",901,91,55,33,35
2021년09월_여_40~49세,"1,135",877,109,60,38,51
2021년09월_여_50~59세,"1,589",960,259,158,91,121
2021년09월_여_60~69세,"1,681",916,348,162,127,128
2021년09월_여_70~79세,"1,107",536,248,149,83,91
2021년09월_여_80~89세,783,395,167,90,70,61
2021년09월_여_90~99세,135,54,37,23,10,11
2021년09월_여_100세 이상,9,6,3,0,0,0
