카테고리,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2020년02월_계_총인구수,"347,417","8,491","4,205","6,901","2,307","1,991","2,680","1,640","1,530","1,499","3,355","21,677","4,844","1,653","4,174","1,127","2,255","28,453","11,010","11,737","14,738","20,694","25,819","12,181","27,176","28,486","12,231","12,629","21,992","24,866","25,076"
2020년02월_계_연령구간인구수,"347,417","8,491","4,205","6,901","2,307","1,991","2,680","1,640","1,530","1,499","3,355","21,677","4,844","1,653","4,174","1,127","2,255","28,453","11,010","11,737","14,738","20,694","25,819","12,181","27,176","28,486","12,231","12,629","21,992","24,866","25,076"
2020년02월_계_0~9세,"29,395",665,404,784,48,47,107,29,36,39,80,"2,378",284,20,163,28,58,"1,732",528,411,701,"1,208","1,570",836,"3,563","2,297",721,787,"2,767","2,304","4,800"
2020년02월_계_10~19세,"36,047",712,475,423,122,69,195,52,48,78,168,"2,923",426,66,221,57,108,"2,690",791,713,"1,163","1,783","2,784","1,162","4,072","3,795","1,201","1,369","3,028","2,643","2,710"
2020년02월_계_20~29세,"44,716",887,406,868,166,150,228,77,88,110,238,"2,325",450,86,379,115,146,"4,299","1,426","1,184","1,941","3,012","3,962","1,583","3,361","4,183","1,744","1,704","2,411","4,453","2,734"
2020년02월_계_30~39세,"42,451",983,449,"1,292",148,135,205,80,79,78,192,"2,636",417,65,272,56,113,"2,875","1,350",962,"1,439","2,332","2,815","1,503","3,947","3,136","1,275","1,185","2,902","3,732","5,798"
2020년02월_계_40~49세,"55,098","1,119",698,928,192,168,323,120,160,158,323,"4,015",691,133,452,109,243,"4,250","1,638","1,491","2,058","3,047","4,038","1,880","5,319","5,034","1,696","1,904","4,203","4,025","4,683"
2020년02월_계_50~59세,"57,888","1,478",682,"1,087",414,375,500,307,231,256,598,"3,368",892,308,801,211,430,"4,694","1,858","2,132","2,790","3,837","5,188","2,189","3,935","5,244","2,202","2,468","3,247","3,659","2,507"
2020년02월_계_60~69세,"43,162","1,329",563,817,456,459,479,378,340,291,650,"2,246",779,352,938,227,460,"3,891","1,802","2,391","2,391","3,038","3,342","1,768","1,790","2,625","1,890","1,808","2,025","2,381","1,256"
2020년02월_계_70~79세,"25,122",797,325,430,425,301,370,325,312,263,621,"1,127",541,338,575,171,389,"2,709","1,078","1,701","1,524","1,751","1,454",910,785,"1,374",989,971,969,"1,182",415
2020년02월_계_80~89세,"11,798",444,179,225,287,252,243,239,214,185,417,579,314,250,323,125,280,"1,139",466,648,653,622,586,300,359,703,447,363,389,424,143
2020년02월_계_90~99세,"1,654",74,21,43,49,33,29,33,22,40,66,78,49,34,48,26,27,158,67,89,76,63,76,48,40,95,65,66,49,61,29
2020년02월_계_100세 이상,86,3,3,4,0,2,1,0,0,1,2,2,1,1,2,2,1,16,6,15,2,1,4,2,5,0,1,4,2,2,1
2020년02월_남_총인구수,"171,942","4,289","2,103","3,525","1,095",968,"1,306",821,760,751,"1,668","10,879","2,412",804,"2,079",537,"1,095","14,009","5,421","5,709","7,241","10,257","12,956","6,190","13,784","13,702","5,830","6,249","10,541","12,494","12,467"
2020년02월_남_연령구간인구수,"171,942","4,289","2,103","3,525","1,095",968,"1,306",821,760,751,"1,668","10,879","2,412",804,"2,079",537,"1,095","14,009","5,421","5,709","7,241","10,257","12,956","6,190","13,784","13,702","5,830","6,249","10,541","12,494","12,467"
2020년02월_남_0~9세,"15,323",359,217,398,25,21,53,20,17,16,46,"1,244",141,9,81,11,34,903,284,229,402,627,838,397,"1,930","1,172",384,425,"1,416","1,197","2,427"
2020년02월_남_10~19세,"19,000",376,236,230,64,35,102,35,27,38,95,"1,550",224,40,120,30,59,"1,492",416,390,612,926,"1,466",572,"2,278","1,979",622,756,"1,468","1,354","1,408"
2020년02월_남_20~29세,"24,632",505,215,486,99,82,140,51,53,70,153,"1,350",251,50,202,64,71,"2,362",753,678,"1,017","1,652","2,224",898,"1,880","2,223",909,990,"1,280","2,574","1,350"
2020년02월_남_30~39세,"21,547",510,215,683,90,78,98,49,46,50,107,"1,284",214,41,158,27,60,"1,511",728,553,768,"1,233","1,559",800,"1,830","1,525",647,593,"1,319","1,972","2,799"
2020년02월_남_40~49세,"27,475",596,348,501,121,103,190,79,117,105,209,"1,982",378,84,250,64,162,"2,112",862,831,"1,092","1,543","1,911",999,"2,496","2,216",804,890,"2,013","1,962","2,455"
2020년02월_남_50~59세,"28,496",778,363,524,224,205,260,181,128,147,336,"1,673",486,176,422,112,245,"2,285",888,"1,055","1,357","1,800","2,455","1,098","2,006","2,533","1,005","1,190","1,607","1,750","1,207"
2020년02월_남_60~69세,"20,679",700,298,443,227,231,248,204,172,144,320,"1,087",401,194,484,124,237,"1,734",817,"1,055","1,104","1,409","1,657",873,906,"1,278",849,853,941,"1,092",597
2020년02월_남_70~79세,"10,898",332,157,196,155,129,151,129,137,131,269,514,216,141,253,71,146,"1,192",495,703,664,817,663,425,347,533,443,440,387,468,194
2020년02월_남_80~89세,"3,556",120,50,58,83,77,57,66,60,44,117,182,94,62,99,29,74,375,164,190,214,236,167,116,99,224,153,97,104,117,28
2020년02월_남_90~99세,315,13,3,6,7,7,6,7,3,6,15,13,7,7,9,5,7,37,13,23,11,14,14,12,9,19,13,14,6,7,2
2020년02월_남_100세 이상,21,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,1,2,0,0,2,0,3,0,1,1,0,1,0
2020년02월_여_총인구수,"175,475","4,202","2,102","3,376","1,212","1,023","1,374",819,770,748,"1,687","10,798","2,432",849,"2,095",590,"1,160","14,444","5,589","6,028","7,497","10,437","12,863","5,991","13,392","14,784","6,401","6,380","11,451","12,372","12,609"
2020년02월_여_연령구간인구수,"175,475","4,202","2,102","3,376","1,212","1,023","1,374",819,770,748,"1,687","10,798","2,432",849,"2,095",590,"1,160","14,444","5,589","6,028","7,497","10,437","12,863","5,991","13,392","14,784","6,401","6,380","11,451","12,372","12,609"
2020년02월_여_0~9세,"14,072",306,187,386,23,26,54,9,19,23,34,"1,134",143,11,82,17,24,829,244,182,299,581,732,439,"1,633","1,125",337,362,"1,351","1,107","2,373"
2020년02월_여_10~19세,"17,047",336,239,193,58,34,93,17,21,40,73,"1,373",202,26,101,27,49,"1,198",375,323,551,857,"1,318",590,"1,794","1,816",579,613,"1,560","1,289","1,302"
2020년02월_여_20~29세,"20,084",382,191,382,67,68,88,26,35,40,85,975,199,36,177,51,75,"1,937",673,506,924,"1,360","1,738",685,"1,481","1,960",835,714,"1,131","1,879","1,384"
2020년02월_여_30~39세,"20,904",473,234,609,58,57,107,31,33,28,85,"1,352",203,24,114,29,53,"1,364",622,409,671,"1,099","1,256",703,"2,117","1,611",628,592,"1,583","1,760","2,999"
2020년02월_여_40~49세,"27,623",523,350,427,71,65,133,41,43,53,114,"2,033",313,49,202,45,81,"2,138",776,660,966,"1,504","2,127",881,"2,823","2,818",892,"1,014","2,190","2,063","2,228"
2020년02월_여_50~59세,"29,392",700,319,563,190,170,240,126,103,109,262,"1,695",406,132,379,99,185,"2,409",970,"1,077","1,433","2,037","2,733","1,091","1,929","2,711","1,197","1,278","1,640","1,909","1,300"
2020년02월_여_60~69세,"22,483",629,265,374,229,228,231,174,168,147,330,"1,159",378,158,454,103,223,"2,157",985,"1,336","1,287","1,629","1,685",895,884,"1,347","1,041",955,"1,084","1,289",659
2020년02월_여_70~79세,"14,224",465,168,234,270,172,219,196,175,132,352,613,325,197,322,100,243,"1,517",583,998,860,934,791,485,438,841,546,531,582,714,221
2020년02월_여_80~89세,"8,242",324,129,167,204,175,186,173,154,141,300,397,220,188,224,96,206,764,302,458,439,386,419,184,260,479,294,266,285,307,115
2020년02월_여_90~99세,"1,339",61,18,37,42,26,23,26,19,34,51,65,42,27,39,21,20,121,54,66,65,49,62,36,31,76,52,52,43,54,27
2020년02월_여_100세 이상,65,3,2,4,0,2,0,0,0,1,1,2,1,1,1,2,1,10,5,13,2,1,2,2,2,0,0,3,2,1,1
