카테고리,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2021년05월_계_총인구수,"38,724","4,225",241,"5,756",232,224,"1,457",317,"3,213","2,283","3,520","2,496",217,"2,227",448,214,479,320,"1,737","1,532","1,557","2,712",286,986,"2,045"
2021년05월_계_연령구간인구수,"38,724","4,225",241,"5,756",232,224,"1,457",317,"3,213","2,283","3,520","2,496",217,"2,227",448,214,479,320,"1,737","1,532","1,557","2,712",286,986,"2,045"
2021년05월_계_0~9세,"1,521",143,5,211,8,15,39,11,165,74,141,108,8,76,11,12,21,10,69,70,80,110,16,24,94
2021년05월_계_10~19세,"2,016",228,6,293,4,5,44,10,231,104,201,206,6,111,21,17,26,21,103,104,65,97,8,32,73
2021년05월_계_20~29세,"2,689",270,12,472,9,7,95,19,228,138,213,166,8,191,53,16,46,30,114,131,76,201,22,49,123
2021년05월_계_30~39세,"2,628",255,15,418,17,14,87,17,214,133,225,167,14,184,53,16,52,25,116,119,102,174,30,63,118
2021년05월_계_40~49세,"4,248",440,18,620,20,21,177,36,409,222,396,265,28,298,79,26,86,42,192,207,157,219,26,84,180
2021년05월_계_50~59세,"6,956",756,47,"1,093",34,31,293,65,586,430,620,379,61,426,99,41,104,63,312,269,238,451,44,145,369
2021년05월_계_60~69세,"7,784",887,57,"1,259",61,49,250,70,602,484,712,462,44,376,70,42,73,63,321,285,334,563,65,216,439
2021년05월_계_70~79세,"6,264",714,39,821,52,52,274,59,507,401,608,400,31,318,37,23,38,40,287,207,283,473,45,210,345
