카테고리,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 완산구 중앙동,전라북도 전주시 완산구 풍남동,전라북도 전주시 완산구 노송동,전라북도 전주시 완산구 완산동,전라북도 전주시 완산구 동서학동,전라북도 전주시 완산구 서서학동,전라북도 전주시 완산구 중화산1동,전라북도 전주시 완산구 중화산2동,전라북도 전주시 완산구 서신동,전라북도 전주시 완산구 평화1동,전라북도 전주시 완산구 평화2동,전라북도 전주시 완산구 삼천1동,전라북도 전주시 완산구 삼천2동,전라북도 전주시 완산구 삼천3동,전라북도 전주시 완산구 효자1동,전라북도 전주시 완산구 효자2동,전라북도 전주시 완산구 효자3동,전라북도 전주시 완산구 효자4동,전라북도 전주시 완산구 효자5동,전라북도 전주시 덕진구,전라북도 전주시 덕진구 진북동,전라북도 전주시 덕진구 인후1동,전라북도 전주시 덕진구 인후2동,전라북도 전주시 덕진구 인후3동,전라북도 전주시 덕진구 덕진동,전라북도 전주시 덕진구 금암1동,전라북도 전주시 덕진구 금암2동,전라북도 전주시 덕진구 팔복동,전라북도 전주시 덕진구 우아1동,전라북도 전주시 덕진구 우아2동,전라북도 전주시 덕진구 호성동,전라북도 전주시 덕진구 송천1동,전라북도 전주시 덕진구 송천2동,전라북도 전주시 덕진구 조촌동,전라북도 전주시 덕진구 여의동,전라북도 전주시 덕진구 혁신동,전라북도 전주시효자출장소
2020년12월_계_총인구수,"657,432","339,718","7,597","4,243","12,535","4,914","6,446","8,765","14,675","19,608","41,431","12,903","46,396","11,783","13,529","22,337","11,089","10,295","14,850","39,796","36,526","317,714","14,373","18,551","11,459","32,411","20,230","7,654","9,982","7,691","9,743","14,573","20,644","60,980","26,746","12,524","30,597","19,556",0
2020년12월_계_연령구간인구수,"657,432","339,718","7,597","4,243","12,535","4,914","6,446","8,765","14,675","19,608","41,431","12,903","46,396","11,783","13,529","22,337","11,089","10,295","14,850","39,796","36,526","317,714","14,373","18,551","11,459","32,411","20,230","7,654","9,982","7,691","9,743","14,573","20,644","60,980","26,746","12,524","30,597","19,556",0
2020년12월_계_0~9세,"54,217","24,846",322,96,622,184,305,345,964,"1,418","3,368",582,"4,075",687,681,"1,567",627,541,985,"4,482","2,995","29,371",633,"1,477",559,"2,690","2,018",210,444,307,659,843,"1,545","8,020","2,165",851,"3,806","3,144",0
2020년12월_계_10~19세,"71,736","36,192",452,186,815,355,455,658,"1,304","2,657","5,052",846,"5,417","1,126","1,248","2,526",943,904,"1,542","5,031","4,675","35,544","1,108","2,360",752,"4,188","1,594",330,653,511,782,"1,274","2,569","8,657","3,135",997,"3,096","3,538",0
2020년12월_계_20~29세,"92,971","49,504",926,387,"1,435",510,689,"1,009","2,327","3,202","6,416","1,376","5,941","1,714","2,033","3,119","1,433","1,494","2,106","6,254","7,133","43,467","1,706","2,337","1,566","4,704","3,292","2,261","1,561",847,"1,323","2,049","2,759","7,823","4,009","1,580","3,842","1,808",0
2020년12월_계_30~39세,"81,910","39,993",768,387,"1,318",445,573,781,"1,668","2,336","5,193","1,334","5,318","1,197","1,310","2,189","1,113","1,062","1,645","5,392","5,964","41,917","1,316","1,921","1,318","4,076","3,425",934,"1,019",740,"1,274","1,957","2,039","9,244","2,999","1,712","5,247","2,696",0
2020년12월_계_40~49세,"107,117","53,471",915,537,"1,708",664,804,"1,184","1,921","3,494","7,093","1,720","7,582","1,649","1,744","3,513","1,554","1,420","2,126","6,999","6,844","53,646","1,829","3,117","1,484","6,148","3,028",854,"1,281","1,110","1,435","2,467","3,213","11,811","4,194","1,867","5,175","4,633",0
2020년12월_계_50~59세,"105,997","57,050","1,284",681,"1,995",804,"1,058","1,541","2,537","3,240","7,038","2,318","7,715","2,252","2,619","4,284","1,814","1,792","2,531","6,061","5,486","48,947","2,352","2,859","1,887","5,161","2,724","1,090","1,592","1,459","1,652","2,587","3,629","8,398","4,658","2,162","4,472","2,265",0
2020년12월_계_60~69세,"76,853","42,407","1,418",879,"2,185",855,"1,273","1,624","2,174","1,926","3,966","2,263","5,905","1,754","2,284","2,820","1,820","1,664","2,116","3,461","2,020","34,446","2,342","2,259","1,897","2,817","2,149",960,"1,617","1,374","1,462","1,878","2,788","4,242","3,114","1,763","2,857",927,0
2020년12월_계_70~79세,"44,098","23,936",985,712,"1,563",700,835,"1,111","1,172",879,"2,165","1,602","2,950",934,"1,136","1,452","1,215","1,008","1,171","1,416",930,"20,162","1,962","1,551","1,370","1,778","1,333",667,"1,275",934,768,971,"1,348","1,848","1,637",967,"1,400",353,0
2020년12월_계_80~89세,"19,593","10,652",459,312,772,345,393,452,539,386,"1,016",744,"1,300",399,422,734,496,352,539,578,414,"8,941",995,589,566,748,565,304,493,361,340,473,666,794,721,551,617,158,0
2020년12월_계_90~99세,"2,779","1,585",59,61,107,52,59,54,66,67,120,116,184,67,51,130,71,55,88,119,59,"1,194",121,73,54,97,83,43,46,43,47,72,84,140,111,68,78,34,0
2020년12월_계_100세 이상,161,82,9,5,15,0,2,6,3,3,4,2,9,4,1,3,3,3,1,3,6,79,9,8,6,4,19,1,1,5,1,2,4,3,3,6,7,0,0
2020년12월_남_총인구수,"323,542","165,413","3,811","2,105","6,112","2,421","3,194","4,301","7,064","9,781","20,080","6,214","22,411","5,716","6,508","10,838","5,335","4,904","6,999","19,348","18,271","158,129","7,050","8,958","5,737","15,866","10,245","4,069","4,901","4,191","4,911","7,547","9,923","30,238","13,088","6,445","15,437","9,523",0
2020년12월_남_연령구간인구수,"323,542","165,413","3,811","2,105","6,112","2,421","3,194","4,301","7,064","9,781","20,080","6,214","22,411","5,716","6,508","10,838","5,335","4,904","6,999","19,348","18,271","158,129","7,050","8,958","5,737","15,866","10,245","4,069","4,901","4,191","4,911","7,547","9,923","30,238","13,088","6,445","15,437","9,523",0
2020년12월_남_0~9세,"27,783","12,785",180,53,324,100,155,194,509,728,"1,736",323,"2,064",352,346,781,337,278,517,"2,286","1,522","14,998",338,723,289,"1,337","1,034",98,235,165,323,422,765,"4,122","1,111",441,"1,993","1,602",0
2020년12월_남_10~19세,"37,108","18,847",227,104,443,191,238,343,710,"1,376","2,573",444,"2,801",588,621,"1,350",513,454,776,"2,665","2,430","18,261",615,"1,214",386,"2,140",844,161,336,264,382,639,"1,285","4,470","1,622",537,"1,580","1,786",0
2020년12월_남_20~29세,"48,769","25,620",507,196,753,265,362,542,"1,138","1,648","3,254",731,"3,125",921,"1,083","1,699",769,783,"1,114","3,162","3,568","23,149",886,"1,245",822,"2,433","1,767","1,267",824,510,687,"1,087","1,531","4,173","2,068",871,"2,042",936,0
2020년12월_남_30~39세,"41,374","20,269",406,233,669,250,307,431,858,"1,206","2,590",741,"2,598",631,696,"1,089",555,539,821,"2,576","3,073","21,105",721,932,732,"2,005","1,771",549,564,461,689,"1,080",986,"4,371","1,506",929,"2,674","1,135",0
