카테고리,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2020년11월_계_총인구수,"27,424","7,447","1,308","1,620","1,462","1,686","3,750","1,314","1,521","3,372","1,541","1,180","1,223"
2020년11월_계_연령구간인구수,"27,424","7,447","1,308","1,620","1,462","1,686","3,750","1,314","1,521","3,372","1,541","1,180","1,223"
2020년11월_계_0~9세,"1,355",666,34,45,57,51,117,43,40,164,43,42,53
2020년11월_계_10~19세,"1,697",730,53,60,73,84,232,53,67,174,76,45,50
2020년11월_계_20~29세,"2,119",742,79,114,99,104,291,85,74,256,140,63,72
2020년11월_계_30~39세,"1,967",807,61,92,96,89,243,63,72,237,65,75,67
2020년11월_계_40~49세,"2,870","1,063",129,143,131,147,364,117,119,323,155,86,93
2020년11월_계_50~59세,"4,720","1,075",205,342,239,293,625,252,251,658,318,241,221
2020년11월_계_60~69세,"4,951","1,005",251,398,291,320,739,253,304,653,274,230,233
2020년11월_계_70~79세,"4,314",781,261,234,269,329,621,255,308,528,267,237,224
2020년11월_계_80~89세,"2,980",504,203,161,183,237,454,164,245,336,171,143,179
2020년11월_계_90~99세,428,71,31,31,21,30,63,28,41,40,28,13,31
2020년11월_계_100세 이상,23,3,1,0,3,2,1,1,0,3,4,5,0
2020년11월_남_총인구수,"14,024","3,817",655,837,747,868,"1,889",690,756,"1,734",822,592,617
2020년11월_남_연령구간인구수,"14,024","3,817",655,837,747,868,"1,889",690,756,"1,734",822,592,617
2020년11월_남_0~9세,716,365,15,22,27,24,70,26,18,83,21,15,30
2020년11월_남_10~19세,901,366,28,39,47,52,129,25,30,88,49,22,26
2020년11월_남_20~29세,"1,251",439,49,58,60,64,165,54,49,144,90,32,47
2020년11월_남_30~39세,"1,076",414,35,48,60,52,135,34,41,138,40,44,35
2020년11월_남_40~49세,"1,757",594,90,87,80,97,215,74,78,208,115,55,64
2020년11월_남_50~59세,"2,681",598,114,192,134,163,353,162,147,374,183,146,115
2020년11월_남_60~69세,"2,647",514,140,220,151,176,387,151,158,332,153,127,138
2020년11월_남_70~79세,"1,904",351,108,106,121,150,262,101,144,255,114,97,95
2020년11월_남_80~89세,983,165,69,54,59,83,152,56,83,99,51,53,59
2020년11월_남_90~99세,102,10,6,11,8,6,20,6,8,13,6,0,8
2020년11월_남_100세 이상,6,1,1,0,0,1,1,1,0,0,0,1,0
2020년11월_여_총인구수,"13,400","3,630",653,783,715,818,"1,861",624,765,"1,638",719,588,606
2020년11월_여_연령구간인구수,"13,400","3,630",653,783,715,818,"1,861",624,765,"1,638",719,588,606
2020년11월_여_0~9세,639,301,19,23,30,27,47,17,22,81,22,27,23
2020년11월_여_10~19세,796,364,25,21,26,32,103,28,37,86,27,23,24
2020년11월_여_20~29세,868,303,30,56,39,40,126,31,25,112,50,31,25
2020년11월_여_30~39세,891,393,26,44,36,37,108,29,31,99,25,31,32
2020년11월_여_40~49세,"1,113",469,39,56,51,50,149,43,41,115,40,31,29
2020년11월_여_50~59세,"2,039",477,91,150,105,130,272,90,104,284,135,95,106
2020년11월_여_60~69세,"2,304",491,111,178,140,144,352,102,146,321,121,103,95
2020년11월_여_70~79세,"2,410",430,153,128,148,179,359,154,164,273,153,140,129
2020년11월_여_80~89세,"1,997",339,134,107,124,154,302,108,162,237,120,90,120
2020년11월_여_90~99세,326,61,25,20,13,24,43,22,33,27,22,13,23
2020년11월_여_100세 이상,17,2,0,0,3,1,0,0,0,3,4,4,0
