카테고리,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2020년10월_계_총인구수,"326,617","25,413","29,735","14,380","27,258","25,301","21,723","27,942","21,889","19,371","16,809","19,338","29,087","20,366","28,005"
2020년10월_계_연령구간인구수,"326,617","25,413","29,735","14,380","27,258","25,301","21,723","27,942","21,889","19,371","16,809","19,338","29,087","20,366","28,005"
2020년10월_계_0~9세,"19,093","1,601","1,864",806,"1,798","1,591",888,"1,659","1,218","1,043",827,"1,240","1,571",961,"2,026"
2020년10월_계_10~19세,"25,936","2,197","2,317","1,095","2,663","1,978","1,223","1,762","1,651","1,431","1,030","2,063","2,261","1,487","2,778"
2020년10월_계_20~29세,"43,691","3,326","4,121","1,863","3,744","3,764","2,660","3,391","3,105","2,551","2,508","2,579","3,927","2,738","3,414"
2020년10월_계_30~39세,"41,286","3,473","4,181","1,704","3,420","3,560","2,400","3,687","2,617","2,645","2,388","2,361","3,371","2,232","3,247"
2020년10월_계_40~49세,"48,924","4,145","4,618","2,185","4,471","3,610","2,936","3,854","3,250","2,820","2,450","3,021","4,287","2,985","4,292"
2020년10월_계_50~59세,"57,283","4,212","5,189","2,634","4,929","4,469","3,847","4,535","3,731","3,331","2,836","3,464","5,429","3,818","4,859"
2020년10월_계_60~69세,"49,401","3,472","4,104","2,142","3,465","3,607","3,914","4,906","3,313","3,019","2,451","2,749","4,586","3,322","4,351"
2020년10월_계_70~79세,"27,686","1,987","2,307","1,375","1,745","1,780","2,714","2,813","2,052","1,661","1,638","1,183","2,585","1,954","1,892"
2020년10월_계_80~89세,"11,498",877,931,513,877,800,"1,005","1,141",829,737,596,564,912,738,978
2020년10월_계_90~99세,"1,638",115,100,53,137,129,118,166,106,114,76,107,146,113,158
