,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2021년02월_계_총인구수,"116,315","8,282","13,635","4,155","4,242","3,014","3,598","3,553","6,106","2,460","6,312","3,414","3,964","2,259","34,970","16,351"
2021년02월_계_연령구간인구수,"116,315","8,282","13,635","4,155","4,242","3,014","3,598","3,553","6,106","2,460","6,312","3,414","3,964","2,259","34,970","16,351"
2021년02월_계_0~9세,"7,140",322,870,123,106,109,72,88,193,64,387,54,104,64,"3,321","1,263"
2021년02월_계_10~19세,"9,742",644,"1,104",181,240,141,168,155,321,101,420,127,198,130,"3,949","1,863"
2021년02월_계_20~29세,"11,215",712,"1,288",279,284,191,220,252,364,122,467,215,430,149,"4,453","1,789"
2021년02월_계_30~39세,"10,639",550,"1,270",235,243,226,211,203,340,107,541,162,252,129,"4,581","1,589"
2021년02월_계_40~49세,"15,296",951,"1,685",370,407,299,387,361,556,243,649,307,439,203,"5,866","2,573"
2021년02월_계_50~59세,"19,555","1,459","2,143",676,760,486,686,651,"1,199",438,"1,068",582,707,368,"5,465","2,867"
2021년02월_계_60~69세,"20,252","1,709","2,418",954,977,651,842,845,"1,488",609,"1,169",875,829,544,"4,013","2,329"
2021년02월_계_70~79세,"13,029","1,164","1,613",719,707,503,557,561,947,440,889,608,555,365,"2,105","1,296"
2021년02월_계_80~89세,"8,140",644,"1,066",554,474,348,391,377,595,277,623,411,374,251,"1,060",695
2021년02월_계_90~99세,"1,213",110,168,62,42,55,58,56,94,54,94,69,71,52,146,82
2021년02월_계_100세 이상,94,17,10,2,2,5,6,4,9,5,5,4,5,4,11,5
2021년02월_남_총인구수,"58,131","4,037","6,796","2,103","2,158","1,524","1,791","1,806","3,166","1,245","3,213","1,729","2,090","1,082","17,454","7,937"
2021년02월_남_연령구간인구수,"58,131","4,037","6,796","2,103","2,158","1,524","1,791","1,806","3,166","1,245","3,213","1,729","2,090","1,082","17,454","7,937"
2021년02월_남_0~9세,"3,645",171,439,64,53,58,38,45,106,26,202,30,50,32,"1,698",633
2021년02월_남_10~19세,"5,040",327,570,100,119,76,93,73,179,53,241,68,89,61,"2,043",948
2021년02월_남_20~29세,"6,276",406,729,157,163,112,119,146,222,68,275,124,264,84,"2,411",996
2021년02월_남_30~39세,"5,641",286,705,151,151,127,110,119,184,69,281,103,168,73,"2,346",768
2021년02월_남_40~49세,"8,098",506,928,245,252,174,208,220,313,149,344,171,282,111,"2,923","1,272"
2021년02월_남_50~59세,"10,299",736,"1,127",355,416,286,383,362,665,246,584,318,407,201,"2,758","1,455"
2021년02월_남_60~69세,"10,204",834,"1,206",495,523,327,440,441,803,320,616,470,436,277,"1,933","1,083"
2021년02월_남_70~79세,"5,812",495,714,304,327,238,258,266,450,210,404,283,251,145,937,530
2021년02월_남_80~89세,"2,780",238,339,212,145,111,122,124,218,86,237,139,127,82,362,238
2021년02월_남_90~99세,315,31,38,20,9,14,20,10,25,17,28,22,15,15,39,12
2021년02월_남_100세 이상,21,7,1,0,0,1,0,0,1,1,1,1,1,1,4,2
2021년02월_여_총인구수,"58,184","4,245","6,839","2,052","2,084","1,490","1,807","1,747","2,940","1,215","3,099","1,685","1,874","1,177","17,516","8,414"
2021년02월_여_연령구간인구수,"58,184","4,245","6,839","2,052","2,084","1,490","1,807","1,747","2,940","1,215","3,099","1,685","1,874","1,177","17,516","8,414"
2021년02월_여_0~9세,"3,495",151,431,59,53,51,34,43,87,38,185,24,54,32,"1,623",630
2021년02월_여_10~19세,"4,702",317,534,81,121,65,75,82,142,48,179,59,109,69,"1,906",915
2021년02월_여_20~29세,"4,939",306,559,122,121,79,101,106,142,54,192,91,166,65,"2,042",793
2021년02월_여_30~39세,"4,998",264,565,84,92,99,101,84,156,38,260,59,84,56,"2,235",821
2021년02월_여_40~49세,"7,198",445,757,125,155,125,179,141,243,94,305,136,157,92,"2,943","1,301"
2021년02월_여_50~59세,"9,256",723,"1,016",321,344,200,303,289,534,192,484,264,300,167,"2,707","1,412"
2021년02월_여_60~69세,"10,048",875,"1,212",459,454,324,402,404,685,289,553,405,393,267,"2,080","1,246"
2021년02월_여_70~79세,"7,217",669,899,415,380,265,299,295,497,230,485,325,304,220,"1,168",766
2021년02월_여_80~89세,"5,360",406,727,342,329,237,269,253,377,191,386,272,247,169,698,457
2021년02월_여_90~99세,898,79,130,42,33,41,38,46,69,37,66,47,56,37,107,70
2021년02월_여_100세 이상,73,10,9,2,2,4,6,4,8,4,4,3,4,3,7,3
