,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2021년11월_계_총인구수,"281,587","2,654","4,478","17,931","33,237","12,852","2,917","1,790","3,124","1,489",848,"3,194","5,490","2,847","3,590","6,799","25,571","6,187","43,771","7,657","8,682","2,689","2,207","2,917","18,323","40,943","19,400"
2021년11월_계_연령구간인구수,"281,587","2,654","4,478","17,931","33,237","12,852","2,917","1,790","3,124","1,489",848,"3,194","5,490","2,847","3,590","6,799","25,571","6,187","43,771","7,657","8,682","2,689","2,207","2,917","18,323","40,943","19,400"
2021년11월_계_0~9세,"22,629",49,122,"1,392","5,874",827,56,39,56,10,14,79,131,59,124,428,"1,899",313,"3,122",339,322,101,45,79,"2,002","3,481","1,666"
2021년11월_계_10~19세,"29,478",110,189,"2,414","5,070","1,087",94,61,111,35,40,141,272,135,269,566,"2,584",524,"5,146",565,667,169,89,187,"1,749","4,732","2,472"
2021년11월_계_20~29세,"36,823",201,373,"3,051","3,185","1,378",152,114,178,60,46,213,419,289,336,"1,135","3,891",729,"6,441",891,"1,056",300,237,354,"2,089","6,471","3,234"
2021년11월_계_30~39세,"32,885",105,258,"2,139","6,470","1,367",118,92,140,61,25,147,255,151,268,855,"2,926",633,"4,795",720,754,239,199,267,"2,446","5,106","2,349"
2021년11월_계_40~49세,"42,475",193,418,"3,197","7,015","1,745",201,125,212,117,51,223,494,258,412,821,"3,703",828,"6,837",962,"1,015",275,264,364,"2,879","6,611","3,255"
2021년11월_계_50~59세,"49,216",493,856,"3,558","3,643","2,316",455,302,513,274,136,492,923,543,530,981,"4,482","1,127","8,571","1,292","1,643",421,411,497,"3,055","7,802","3,900"
2021년11월_계_60~69세,"36,471",601,960,"1,376","1,394","2,089",647,436,719,335,202,785,"1,174",624,754,943,"3,636","1,089","5,740","1,444","1,616",525,498,569,"2,257","4,318","1,740"
2021년11월_계_70~79세,"19,237",439,703,484,403,"1,227",639,342,622,305,159,617,920,435,582,682,"1,597",613,"2,099",966,"1,088",434,310,391,"1,125","1,541",514
2021년11월_계_80~89세,"10,651",403,515,276,155,711,477,240,494,258,144,420,786,292,272,345,722,278,878,421,458,193,125,181,610,762,235
2021년11월_계_90~99세,"1,666",59,84,40,27,102,77,38,79,33,31,74,112,55,42,42,124,50,133,56,61,32,28,28,106,118,35
2021년11월_계_100세 이상,56,1,0,4,1,3,1,1,0,1,0,3,4,6,1,1,7,3,9,1,2,0,1,0,5,1,0
2021년11월_남_총인구수,"140,550","1,316","2,317","8,839","16,944","6,438","1,473",862,"1,576",775,410,"1,554","2,736","1,457","1,746","3,362","12,555","3,117","21,845","3,819","4,394","1,313","1,157","1,481","9,249","20,256","9,559"
2021년11월_남_연령구간인구수,"140,550","1,316","2,317","8,839","16,944","6,438","1,473",862,"1,576",775,410,"1,554","2,736","1,457","1,746","3,362","12,555","3,117","21,845","3,819","4,394","1,313","1,157","1,481","9,249","20,256","9,559"
2021년11월_남_0~9세,"11,583",35,56,697,"3,051",438,27,19,31,6,8,40,67,39,61,206,968,169,"1,543",182,169,51,23,40,"1,045","1,767",845
2021년11월_남_10~19세,"15,321",51,103,"1,270","2,673",591,49,26,62,23,20,78,135,76,138,311,"1,284",280,"2,676",303,358,86,49,99,916,"2,447","1,217"
2021년11월_남_20~29세,"20,047",123,221,"1,633","1,702",705,91,52,115,37,29,113,246,180,182,580,"2,145",385,"3,582",500,612,160,113,203,"1,156","3,422","1,760"
2021년11월_남_30~39세,"16,959",56,158,"1,091","3,136",731,77,52,95,43,13,83,148,92,152,470,"1,493",346,"2,509",375,394,138,125,146,"1,244","2,591","1,201"
2021년11월_남_40~49세,"20,924",110,259,"1,424","3,467",898,140,79,146,81,34,133,314,142,218,415,"1,798",426,"3,256",537,564,144,159,191,"1,482","3,073","1,434"
2021년11월_남_50~59세,"24,848",306,529,"1,746","1,991","1,230",285,170,304,170,86,261,517,289,275,493,"2,090",591,"4,079",633,844,204,240,261,"1,528","3,821","1,905"
2021년11월_남_60~69세,"18,251",324,498,698,715,"1,071",331,242,364,199,104,407,633,337,354,442,"1,747",510,"2,872",670,746,236,239,279,"1,128","2,209",896
2021년11월_남_70~79세,"8,759",190,314,188,170,548,298,151,284,135,79,283,404,188,281,303,752,290,"1,004",427,507,188,145,182,538,687,223
2021년11월_남_80~89세,"3,520",103,167,86,35,208,157,63,157,75,34,141,246,103,76,133,251,112,301,182,187,99,56,71,192,213,72
2021년11월_남_90~99세,336,18,12,6,4,18,18,8,18,6,3,14,25,11,9,9,27,8,23,10,13,7,8,9,20,26,6
2021년11월_남_100세 이상,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"141,037","1,338","2,161","9,092","16,293","6,414","1,444",928,"1,548",714,438,"1,640","2,754","1,390","1,844","3,437","13,016","3,070","21,926","3,838","4,288","1,376","1,050","1,436","9,074","20,687","9,841"
2021년11월_여_연령구간인구수,"141,037","1,338","2,161","9,092","16,293","6,414","1,444",928,"1,548",714,438,"1,640","2,754","1,390","1,844","3,437","13,016","3,070","21,926","3,838","4,288","1,376","1,050","1,436","9,074","20,687","9,841"
2021년11월_여_0~9세,"11,046",14,66,695,"2,823",389,29,20,25,4,6,39,64,20,63,222,931,144,"1,579",157,153,50,22,39,957,"1,714",821
2021년11월_여_10~19세,"14,157",59,86,"1,144","2,397",496,45,35,49,12,20,63,137,59,131,255,"1,300",244,"2,470",262,309,83,40,88,833,"2,285","1,255"
2021년11월_여_20~29세,"16,776",78,152,"1,418","1,483",673,61,62,63,23,17,100,173,109,154,555,"1,746",344,"2,859",391,444,140,124,151,933,"3,049","1,474"
2021년11월_여_30~39세,"15,926",49,100,"1,048","3,334",636,41,40,45,18,12,64,107,59,116,385,"1,433",287,"2,286",345,360,101,74,121,"1,202","2,515","1,148"
2021년11월_여_40~49세,"21,551",83,159,"1,773","3,548",847,61,46,66,36,17,90,180,116,194,406,"1,905",402,"3,581",425,451,131,105,173,"1,397","3,538","1,821"
2021년11월_여_50~59세,"24,368",187,327,"1,812","1,652","1,086",170,132,209,104,50,231,406,254,255,488,"2,392",536,"4,492",659,799,217,171,236,"1,527","3,981","1,995"
2021년11월_여_60~69세,"18,220",277,462,678,679,"1,018",316,194,355,136,98,378,541,287,400,501,"1,889",579,"2,868",774,870,289,259,290,"1,129","2,109",844
2021년11월_여_70~79세,"10,478",249,389,296,233,679,341,191,338,170,80,334,516,247,301,379,845,323,"1,095",539,581,246,165,209,587,854,291
2021년11월_여_80~89세,"7,131",300,348,190,120,503,320,177,337,183,110,279,540,189,196,212,471,166,577,239,271,94,69,110,418,549,163
2021년11월_여_90~99세,"1,330",41,72,34,23,84,59,30,61,27,28,60,87,44,33,33,97,42,110,46,48,25,20,19,86,92,29
2021년11월_여_100세 이상,54,1,0,4,1,3,1,1,0,1,0,2,3,6,1,1,7,3,9,1,2,0,1,0,5,1,0
