,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2020년10월_계_총인구수,"118,609","30,568","10,364","4,661","13,592","7,919","9,683","3,841","3,757","4,581","6,837","17,741","5,065"
2020년10월_계_연령구간인구수,"118,609","30,568","10,364","4,661","13,592","7,919","9,683","3,841","3,757","4,581","6,837","17,741","5,065"
2020년10월_계_0~9세,"7,367","2,232",943,175,730,495,640,126,118,143,240,"1,291",234
2020년10월_계_10~19세,"9,860","3,302",935,232,"1,085",553,833,220,157,195,383,"1,651",314
2020년10월_계_20~29세,"10,542","3,491",829,328,"1,241",733,597,255,231,270,477,"1,700",390
2020년10월_계_30~39세,"10,837","3,208","1,222",367,"1,200",771,832,286,207,299,417,"1,662",366
2020년10월_계_40~49세,"16,315","4,825","1,656",503,"1,827","1,059","1,514",427,361,388,676,"2,485",594
2020년10월_계_50~59세,"20,939","5,398","1,674",893,"2,439","1,397","1,735",689,689,905,"1,286","2,945",889
2020년10월_계_60~69세,"22,453","4,359","1,723","1,192","2,672","1,614","2,014",941,961,"1,156","1,654","2,993","1,174"
2020년10월_계_70~79세,"13,045","2,419",916,696,"1,600",876,"1,032",561,606,702,"1,013","1,908",716
2020년10월_계_80~89세,"6,192","1,166",403,225,680,358,400,298,379,435,579,925,344
2020년10월_계_90~99세,993,153,59,49,108,59,81,38,42,80,109,173,42
2020년10월_계_100세 이상,66,15,4,1,10,4,5,0,6,8,3,8,2
2020년10월_남_총인구수,"59,533","15,298","5,121","2,354","6,822","3,997","4,808","1,959","1,909","2,274","3,485","8,939","2,567"
2020년10월_남_연령구간인구수,"59,533","15,298","5,121","2,354","6,822","3,997","4,808","1,959","1,909","2,274","3,485","8,939","2,567"
2020년10월_남_0~9세,"3,782","1,159",482,98,367,240,304,60,64,82,143,667,116
2020년10월_남_10~19세,"5,237","1,701",478,136,603,295,449,121,90,103,220,872,169
2020년10월_남_20~29세,"5,819","1,908",435,185,671,430,326,141,120,154,276,955,218
2020년10월_남_30~39세,"5,496","1,614",590,195,614,398,399,171,115,165,212,833,190
2020년10월_남_40~49세,"8,308","2,329",824,257,937,569,752,228,212,211,377,"1,289",323
2020년10월_남_50~59세,"10,742","2,797",831,439,"1,239",700,859,362,359,479,669,"1,541",467
2020년10월_남_60~69세,"11,129","2,179",840,575,"1,281",788,986,484,489,565,881,"1,480",581
2020년10월_남_70~79세,"6,402","1,154",469,369,788,430,555,275,292,331,476,902,361
2020년10월_남_80~89세,"2,369",417,153,92,295,130,158,111,160,165,198,359,131
2020년10월_남_90~99세,235,37,19,7,22,17,19,6,7,18,33,40,10
2020년10월_남_100세 이상,14,3,0,1,5,0,1,0,1,1,0,1,1
2020년10월_여_총인구수,"59,076","15,270","5,243","2,307","6,770","3,922","4,875","1,882","1,848","2,307","3,352","8,802","2,498"
2020년10월_여_연령구간인구수,"59,076","15,270","5,243","2,307","6,770","3,922","4,875","1,882","1,848","2,307","3,352","8,802","2,498"
2020년10월_여_0~9세,"3,585","1,073",461,77,363,255,336,66,54,61,97,624,118
2020년10월_여_10~19세,"4,623","1,601",457,96,482,258,384,99,67,92,163,779,145
2020년10월_여_20~29세,"4,723","1,583",394,143,570,303,271,114,111,116,201,745,172
2020년10월_여_30~39세,"5,341","1,594",632,172,586,373,433,115,92,134,205,829,176
2020년10월_여_40~49세,"8,007","2,496",832,246,890,490,762,199,149,177,299,"1,196",271
2020년10월_여_50~59세,"10,197","2,601",843,454,"1,200",697,876,327,330,426,617,"1,404",422
2020년10월_여_60~69세,"11,324","2,180",883,617,"1,391",826,"1,028",457,472,591,773,"1,513",593
2020년10월_여_70~79세,"6,643","1,265",447,327,812,446,477,286,314,371,537,"1,006",355
2020년10월_여_80~89세,"3,823",749,250,133,385,228,242,187,219,270,381,566,213
2020년10월_여_90~99세,758,116,40,42,86,42,62,32,35,62,76,133,32
2020년10월_여_100세 이상,52,12,4,0,5,4,4,0,5,7,3,7,1
