카테고리,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2021년02월_계_총인구수,"16,623","7,251","2,139","1,734","1,757","1,708","2,034"
2021년02월_계_연령구간인구수,"16,623","7,251","2,139","1,734","1,757","1,708","2,034"
2021년02월_계_0~9세,739,450,73,55,41,59,61
2021년02월_계_10~19세,916,535,78,54,76,99,74
2021년02월_계_20~29세,"1,137",647,98,80,110,89,113
2021년02월_계_30~39세,"1,019",625,113,60,68,69,84
2021년02월_계_40~49세,"1,699",929,174,126,131,168,171
2021년02월_계_50~59세,"2,955","1,247",376,290,340,317,385
2021년02월_계_60~69세,"3,478","1,290",511,422,390,381,484
2021년02월_계_70~79세,"2,667",900,411,375,304,291,386
2021년02월_계_80~89세,"1,726",519,264,236,264,200,243
2021년02월_계_90~99세,260,102,38,32,31,29,28
2021년02월_계_100세 이상,27,7,3,4,2,6,5
2021년02월_남_총인구수,"8,231","3,573","1,033",880,868,854,"1,023"
2021년02월_남_연령구간인구수,"8,231","3,573","1,033",880,868,854,"1,023"
2021년02월_남_0~9세,390,247,34,29,20,35,25
2021년02월_남_10~19세,468,267,46,26,39,47,43
2021년02월_남_20~29세,667,374,56,45,66,56,70
2021년02월_남_30~39세,551,329,61,38,40,37,46
2021년02월_남_40~49세,"1,000",515,118,87,70,105,105
2021년02월_남_50~59세,"1,618",646,204,180,194,176,218
2021년02월_남_60~69세,"1,752",641,247,205,203,195,261
2021년02월_남_70~79세,"1,148",371,169,187,134,120,167
2021년02월_남_80~89세,568,162,87,75,93,70,81
2021년02월_남_90~99세,61,19,8,7,9,12,6
2021년02월_남_100세 이상,8,2,3,1,0,1,1
2021년02월_여_총인구수,"8,392","3,678","1,106",854,889,854,"1,011"
2021년02월_여_연령구간인구수,"8,392","3,678","1,106",854,889,854,"1,011"
2021년02월_여_0~9세,349,203,39,26,21,24,36
2021년02월_여_10~19세,448,268,32,28,37,52,31
2021년02월_여_20~29세,470,273,42,35,44,33,43
2021년02월_여_30~39세,468,296,52,22,28,32,38
2021년02월_여_40~49세,699,414,56,39,61,63,66
2021년02월_여_50~59세,"1,337",601,172,110,146,141,167
2021년02월_여_60~69세,"1,726",649,264,217,187,186,223
2021년02월_여_70~79세,"1,519",529,242,188,170,171,219
2021년02월_여_80~89세,"1,158",357,177,161,171,130,162
2021년02월_여_90~99세,199,83,30,25,22,17,22
2021년02월_여_100세 이상,19,5,0,3,2,5,4
