,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2020년09월_계_총인구수,"53,998","8,321","14,979","6,607","1,869","2,074","3,818","3,596","2,284","3,211","1,948","3,003","2,288"
2020년09월_계_연령구간인구수,"53,998","8,321","14,979","6,607","1,869","2,074","3,818","3,596","2,284","3,211","1,948","3,003","2,288"
2020년09월_계_0~9세,"3,680",626,"1,617",622,72,51,122,112,72,101,78,138,69
2020년09월_계_10~19세,"4,532",817,"1,803",727,99,79,190,138,108,170,84,207,110
2020년09월_계_20~29세,"5,026",867,"1,574",890,120,113,278,248,179,245,121,243,148
2020년09월_계_30~39세,"4,946",751,"1,937",900,107,98,246,183,134,167,111,165,147
2020년09월_계_40~49세,"7,553","1,072","2,891","1,297",177,203,398,339,189,301,156,306,224
2020년09월_계_50~59세,"9,399","1,486","2,468","1,307",305,376,680,605,427,549,303,497,396
2020년09월_계_60~69세,"7,958","1,165","1,446",489,342,438,781,805,460,599,379,568,486
2020년09월_계_70~79세,"6,338",922,828,233,324,402,661,666,394,634,387,486,401
2020년09월_계_80~89세,"4,006",514,375,121,288,276,410,437,295,386,286,335,283
2020년09월_계_90~99세,526,97,36,20,31,38,46,60,24,57,39,55,23
2020년09월_계_100세 이상,34,4,4,1,4,0,6,3,2,2,4,3,1
2020년09월_남_총인구수,"27,750","4,124","7,966","3,785",910,"1,044","1,907","1,783","1,159","1,535",927,"1,457","1,153"
2020년09월_남_연령구간인구수,"27,750","4,124","7,966","3,785",910,"1,044","1,907","1,783","1,159","1,535",927,"1,457","1,153"
2020년09월_남_0~9세,"1,843",330,761,320,44,22,48,64,51,63,34,74,32
2020년09월_남_10~19세,"2,414",440,960,382,44,49,103,77,67,94,49,99,50
2020년09월_남_20~29세,"2,892",477,860,548,69,63,185,155,105,136,72,129,93
2020년09월_남_30~39세,"2,700",380,997,534,69,57,143,108,84,93,60,85,90
2020년09월_남_40~49세,"4,480",563,"1,711",788,110,121,236,227,116,184,104,174,146
2020년09월_남_50~59세,"5,375",773,"1,430",810,191,229,366,357,236,301,175,286,221
2020년09월_남_60~69세,"4,043",575,760,272,159,249,401,387,254,282,179,274,251
2020년09월_남_70~79세,"2,655",401,378,95,125,166,272,290,154,251,152,205,166
2020년09월_남_80~89세,"1,239",162,101,33,88,80,140,112,87,121,98,117,100
2020년09월_남_90~99세,102,22,7,3,10,8,10,6,5,10,3,14,4
2020년09월_남_100세 이상,7,1,1,0,1,0,3,0,0,0,1,0,0
2020년09월_여_총인구수,"26,248","4,197","7,013","2,822",959,"1,030","1,911","1,813","1,125","1,676","1,021","1,546","1,135"
2020년09월_여_연령구간인구수,"26,248","4,197","7,013","2,822",959,"1,030","1,911","1,813","1,125","1,676","1,021","1,546","1,135"
2020년09월_여_0~9세,"1,837",296,856,302,28,29,74,48,21,38,44,64,37
2020년09월_여_10~19세,"2,118",377,843,345,55,30,87,61,41,76,35,108,60
2020년09월_여_20~29세,"2,134",390,714,342,51,50,93,93,74,109,49,114,55
2020년09월_여_30~39세,"2,246",371,940,366,38,41,103,75,50,74,51,80,57
2020년09월_여_40~49세,"3,073",509,"1,180",509,67,82,162,112,73,117,52,132,78
2020년09월_여_50~59세,"4,024",713,"1,038",497,114,147,314,248,191,248,128,211,175
2020년09월_여_60~69세,"3,915",590,686,217,183,189,380,418,206,317,200,294,235
2020년09월_여_70~79세,"3,683",521,450,138,199,236,389,376,240,383,235,281,235
2020년09월_여_80~89세,"2,767",352,274,88,200,196,270,325,208,265,188,218,183
2020년09월_여_90~99세,424,75,29,17,21,30,36,54,19,47,36,41,19
2020년09월_여_100세 이상,27,3,3,1,3,0,3,3,2,2,3,3,1
