,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2021년07월_계_총인구수,"9,019","6,370",879,442,"1,328"
2021년07월_계_연령구간인구수,"9,019","6,370",879,442,"1,328"
2021년07월_계_0~9세,395,290,37,18,50
2021년07월_계_10~19세,452,350,39,19,44
2021년07월_계_20~29세,831,616,76,22,117
2021년07월_계_30~39세,849,645,66,36,102
2021년07월_계_40~49세,"1,261",949,96,33,183
2021년07월_계_50~59세,"1,782","1,283",179,83,237
2021년07월_계_60~69세,"1,802","1,239",185,94,284
2021년07월_계_70~79세,"1,057",680,116,86,175
2021년07월_계_80~89세,504,276,78,34,116
2021년07월_계_90~99세,83,39,7,17,20
2021년07월_계_100세 이상,3,3,0,0,0
2021년07월_남_총인구수,"4,956","3,507",482,238,729
2021년07월_남_연령구간인구수,"4,956","3,507",482,238,729
2021년07월_남_0~9세,199,147,17,9,26
2021년07월_남_10~19세,233,171,25,13,24
2021년07월_남_20~29세,516,371,61,9,75
2021년07월_남_30~39세,509,392,37,21,59
2021년07월_남_40~49세,776,569,60,26,121
2021년07월_남_50~59세,"1,061",766,105,50,140
2021년07월_남_60~69세,948,651,103,45,149
2021년07월_남_70~79세,492,315,48,48,81
2021년07월_남_80~89세,201,116,24,12,49
2021년07월_남_90~99세,21,9,2,5,5
2021년07월_남_100세 이상,0,0,0,0,0
2021년07월_여_총인구수,"4,063","2,863",397,204,599
2021년07월_여_연령구간인구수,"4,063","2,863",397,204,599
2021년07월_여_0~9세,196,143,20,9,24
2021년07월_여_10~19세,219,179,14,6,20
2021년07월_여_20~29세,315,245,15,13,42
2021년07월_여_30~39세,340,253,29,15,43
2021년07월_여_40~49세,485,380,36,7,62
2021년07월_여_50~59세,721,517,74,33,97
2021년07월_여_60~69세,854,588,82,49,135
2021년07월_여_70~79세,565,365,68,38,94
2021년07월_여_80~89세,303,160,54,22,67
2021년07월_여_90~99세,62,30,5,12,15
2021년07월_여_100세 이상,3,3,0,0,0
