카테고리,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2021년12월_계_총인구수,"71,154","5,775","1,109","3,206",883,"2,452","3,072","2,434","2,787","2,008","3,558","2,612","5,742","7,030","9,060","3,164","16,262"
2021년12월_계_연령구간인구수,"71,154","5,775","1,109","3,206",883,"2,452","3,072","2,434","2,787","2,008","3,558","2,612","5,742","7,030","9,060","3,164","16,262"
2021년12월_계_0~9세,"3,827",202,33,106,11,53,93,42,54,82,78,72,333,404,624,120,"1,520"
2021년12월_계_10~19세,"5,427",349,57,143,41,275,128,140,98,82,124,86,379,578,849,149,"1,949"
2021년12월_계_20~29세,"6,140",363,60,169,32,136,165,362,150,97,207,120,521,590,865,218,"2,085"
2021년12월_계_30~39세,"5,416",349,49,154,50,81,161,103,122,93,195,123,528,597,797,232,"1,782"
2021년12월_계_40~49세,"8,563",595,92,245,77,181,268,169,210,175,285,168,698,869,"1,319",324,"2,888"
2021년12월_계_50~59세,"11,824",972,231,509,192,329,475,377,474,351,617,488,961,"1,103","1,495",524,"2,726"
2021년12월_계_60~69세,"14,084","1,344",281,763,234,591,747,555,690,553,803,688,"1,157","1,421","1,619",703,"1,935"
2021년12월_계_70~79세,"9,183",932,169,570,141,388,538,362,510,315,686,462,756,958,945,511,940
2021년12월_계_80~89세,"5,792",582,121,464,92,354,415,286,414,226,491,331,367,452,483,344,370
2021년12월_계_90~99세,867,85,16,80,12,64,80,38,61,34,66,70,41,56,61,38,65
2021년12월_계_100세 이상,31,2,0,3,1,0,2,0,4,0,6,4,1,2,3,1,2
2021년12월_남_총인구수,"34,919","2,791",571,"1,564",473,"1,289","1,547","1,178","1,387","1,027","1,692","1,202","2,798","3,396","4,499","1,591","7,914"
2021년12월_남_연령구간인구수,"34,919","2,791",571,"1,564",473,"1,289","1,547","1,178","1,387","1,027","1,692","1,202","2,798","3,396","4,499","1,591","7,914"
2021년12월_남_0~9세,"1,954",98,18,54,3,22,44,21,31,40,31,39,193,208,325,51,776
2021년12월_남_10~19세,"2,945",178,32,87,25,180,66,83,55,42,76,47,213,301,487,85,988
2021년12월_남_20~29세,"3,456",223,41,103,16,79,113,146,98,60,122,65,300,338,515,127,"1,110"
2021년12월_남_30~39세,"2,856",198,28,86,23,52,86,64,70,48,113,69,281,312,410,125,891
2021년12월_남_40~49세,"4,574",325,57,138,39,115,179,95,132,106,182,102,386,460,696,203,"1,359"
2021년12월_남_50~59세,"6,153",501,132,273,119,189,266,214,273,184,352,246,451,566,733,307,"1,347"
2021년12월_남_60~69세,"6,883",662,145,402,151,312,372,291,367,321,401,334,508,627,745,352,893
2021년12월_남_70~79세,"4,033",384,79,250,63,197,254,162,228,140,274,195,318,425,400,235,429
2021년12월_남_80~89세,"1,887",204,37,152,34,129,153,95,118,78,127,92,138,150,168,101,111
2021년12월_남_90~99세,173,18,2,19,0,14,14,7,13,8,12,13,10,9,20,5,9
2021년12월_남_100세 이상,5,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1
2021년12월_여_총인구수,"36,235","2,984",538,"1,642",410,"1,163","1,525","1,256","1,400",981,"1,866","1,410","2,944","3,634","4,561","1,573","8,348"
2021년12월_여_연령구간인구수,"36,235","2,984",538,"1,642",410,"1,163","1,525","1,256","1,400",981,"1,866","1,410","2,944","3,634","4,561","1,573","8,348"
2021년12월_여_0~9세,"1,873",104,15,52,8,31,49,21,23,42,47,33,140,196,299,69,744
2021년12월_여_10~19세,"2,482",171,25,56,16,95,62,57,43,40,48,39,166,277,362,64,961
2021년12월_여_20~29세,"2,684",140,19,66,16,57,52,216,52,37,85,55,221,252,350,91,975
2021년12월_여_30~39세,"2,560",151,21,68,27,29,75,39,52,45,82,54,247,285,387,107,891
2021년12월_여_40~49세,"3,989",270,35,107,38,66,89,74,78,69,103,66,312,409,623,121,"1,529"
2021년12월_여_50~59세,"5,671",471,99,236,73,140,209,163,201,167,265,242,510,537,762,217,"1,379"
2021년12월_여_60~69세,"7,201",682,136,361,83,279,375,264,323,232,402,354,649,794,874,351,"1,042"
2021년12월_여_70~79세,"5,150",548,90,320,78,191,284,200,282,175,412,267,438,533,545,276,511
2021년12월_여_80~89세,"3,905",378,84,312,58,225,262,191,296,148,364,239,229,302,315,243,259
2021년12월_여_90~99세,694,67,14,61,12,50,66,31,48,26,54,57,31,47,41,33,56
2021년12월_여_100세 이상,26,2,0,3,1,0,2,0,2,0,4,4,1,2,3,1,1
