,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2020년11월_계_총인구수,"32,456","14,920","1,915","1,474","2,202","1,665","2,311","1,935",759,"1,769","1,710","1,796"
2020년11월_계_연령구간인구수,"32,456","14,920","1,915","1,474","2,202","1,665","2,311","1,935",759,"1,769","1,710","1,796"
2020년11월_계_0~9세,"1,459","1,018",33,75,50,25,59,50,23,53,34,39
2020년11월_계_10~19세,"2,119","1,333",87,78,92,56,143,92,24,68,69,77
2020년11월_계_20~29세,"2,382","1,410",113,104,86,85,155,106,27,89,106,101
2020년11월_계_30~39세,"2,216","1,298",93,142,93,71,161,104,25,60,82,87
2020년11월_계_40~49세,"3,356","1,960",168,162,156,107,193,164,57,123,113,153
2020년11월_계_50~59세,"5,940","2,680",402,256,391,271,400,341,140,340,350,369
2020년11월_계_60~69세,"6,759","2,530",478,268,561,413,516,494,227,440,398,434
2020년11월_계_70~79세,"4,591","1,552",340,207,430,349,389,302,140,313,295,274
2020년11월_계_80~89세,"3,111",985,159,154,300,255,272,231,83,240,214,218
2020년11월_계_90~99세,495,143,39,26,40,30,22,50,13,42,48,42
2020년11월_계_100세 이상,28,11,3,2,3,3,1,1,0,1,1,2
2020년11월_남_총인구수,"16,326","7,432",993,769,"1,058",809,"1,180",966,407,882,877,953
2020년11월_남_연령구간인구수,"16,326","7,432",993,769,"1,058",809,"1,180",966,407,882,877,953
2020년11월_남_0~9세,749,509,20,38,25,16,29,27,14,28,17,26
2020년11월_남_10~19세,"1,132",720,44,34,49,30,80,44,14,35,40,42
2020년11월_남_20~29세,"1,400",796,73,71,49,50,100,58,14,58,64,67
2020년11월_남_30~39세,"1,213",653,58,95,51,45,108,62,11,30,45,55
2020년11월_남_40~49세,"1,891","1,042",107,93,97,67,118,95,35,87,69,81
2020년11월_남_50~59세,"3,280","1,427",216,150,213,159,222,192,87,193,208,213
2020년11월_남_60~69세,"3,455","1,248",258,133,280,195,258,270,124,224,218,247
2020년11월_남_70~79세,"2,040",673,142,94,189,150,166,138,76,144,127,141
2020년11월_남_80~89세,"1,061",334,67,54,94,88,96,77,32,75,74,70
2020년11월_남_90~99세,104,30,7,7,11,9,3,3,0,8,15,11
2020년11월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년11월_여_총인구수,"16,130","7,488",922,705,"1,144",856,"1,131",969,352,887,833,843
2020년11월_여_연령구간인구수,"16,130","7,488",922,705,"1,144",856,"1,131",969,352,887,833,843
2020년11월_여_0~9세,710,509,13,37,25,9,30,23,9,25,17,13
2020년11월_여_10~19세,987,613,43,44,43,26,63,48,10,33,29,35
2020년11월_여_20~29세,982,614,40,33,37,35,55,48,13,31,42,34
2020년11월_여_30~39세,"1,003",645,35,47,42,26,53,42,14,30,37,32
2020년11월_여_40~49세,"1,465",918,61,69,59,40,75,69,22,36,44,72
2020년11월_여_50~59세,"2,660","1,253",186,106,178,112,178,149,53,147,142,156
2020년11월_여_60~69세,"3,304","1,282",220,135,281,218,258,224,103,216,180,187
2020년11월_여_70~79세,"2,551",879,198,113,241,199,223,164,64,169,168,133
2020년11월_여_80~89세,"2,050",651,92,100,206,167,176,154,51,165,140,148
2020년11월_여_90~99세,391,113,32,19,29,21,19,47,13,34,33,31
2020년11월_여_100세 이상,27,11,2,2,3,3,1,1,0,1,1,2
