카테고리,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2020년02월_계_총인구수,"58,253","6,758","10,929","10,763","11,842","9,856","8,105"
2020년02월_계_연령구간인구수,"58,253","6,758","10,929","10,763","11,842","9,856","8,105"
2020년02월_계_0~9세,"4,549",415,"1,243",643,938,674,636
2020년02월_계_10~19세,"6,306",673,"1,509","1,238","1,295",659,932
2020년02월_계_20~29세,"7,971","1,036","1,201","1,705","1,698","1,325","1,006"
2020년02월_계_30~39세,"7,881",762,"1,372","1,172","1,762","1,776","1,037"
2020년02월_계_40~49세,"9,164",875,"2,120","1,518","1,788","1,497","1,366"
2020년02월_계_50~59세,"10,213","1,292","1,695","2,139","2,162","1,574","1,351"
2020년02월_계_60~69세,"6,538",892,944,"1,233","1,211","1,345",913
2020년02월_계_70~79세,"3,467",450,557,618,564,703,575
2020년02월_계_80~89세,"1,747",274,239,401,355,250,228
2020년02월_계_90~99세,366,74,45,85,65,50,47
2020년02월_계_100세 이상,51,15,4,11,4,3,14
2020년02월_남_총인구수,"28,616","3,256","5,313","5,110","5,846","5,116","3,975"
2020년02월_남_연령구간인구수,"28,616","3,256","5,313","5,110","5,846","5,116","3,975"
2020년02월_남_0~9세,"2,394",231,627,318,530,336,352
2020년02월_남_10~19세,"3,271",339,769,653,673,353,484
2020년02월_남_20~29세,"4,217",547,624,873,890,736,547
2020년02월_남_30~39세,"4,002",392,604,566,909,999,532
2020년02월_남_40~49세,"4,348",380,"1,023",662,827,801,655
2020년02월_남_50~59세,"4,982",599,866,"1,035","1,029",776,677
2020년02월_남_60~69세,"3,191",450,470,586,619,660,406
2020년02월_남_70~79세,"1,497",198,230,251,237,347,234
2020년02월_남_80~89세,614,101,87,139,119,93,75
2020년02월_남_90~99세,92,17,13,24,13,15,10
2020년02월_남_100세 이상,8,2,0,3,0,0,3
2020년02월_여_총인구수,"29,637","3,502","5,616","5,653","5,996","4,740","4,130"
2020년02월_여_연령구간인구수,"29,637","3,502","5,616","5,653","5,996","4,740","4,130"
2020년02월_여_0~9세,"2,155",184,616,325,408,338,284
2020년02월_여_10~19세,"3,035",334,740,585,622,306,448
2020년02월_여_20~29세,"3,754",489,577,832,808,589,459
2020년02월_여_30~39세,"3,879",370,768,606,853,777,505
2020년02월_여_40~49세,"4,816",495,"1,097",856,961,696,711
2020년02월_여_50~59세,"5,231",693,829,"1,104","1,133",798,674
2020년02월_여_60~69세,"3,347",442,474,647,592,685,507
2020년02월_여_70~79세,"1,970",252,327,367,327,356,341
2020년02월_여_80~89세,"1,133",173,152,262,236,157,153
2020년02월_여_90~99세,274,57,32,61,52,35,37
2020년02월_여_100세 이상,43,13,4,8,4,3,11
