카테고리,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2020년03월_계_총인구수,"45,220","5,513","3,714","12,166","15,615","1,993","3,855","2,253",111,0,0,0,0
2020년03월_계_연령구간인구수,"45,220","5,513","3,714","12,166","15,615","1,993","3,855","2,253",111,0,0,0,0
2020년03월_계_0~9세,"3,391",415,391,820,"1,207",143,239,176,0,0,0,0,0
2020년03월_계_10~19세,"3,945",520,256,"1,037","1,519",101,360,148,4,0,0,0,0
2020년03월_계_20~29세,"6,046",715,616,"1,679","1,844",443,452,295,2,0,0,0,0
2020년03월_계_30~39세,"4,810",584,480,"1,248","1,642",229,379,245,3,0,0,0,0
2020년03월_계_40~49세,"5,877",710,388,"1,671","2,140",202,553,203,10,0,0,0,0
2020년03월_계_50~59세,"7,419",910,503,"2,105","2,592",253,666,375,15,0,0,0,0
2020년03월_계_60~69세,"6,389",733,475,"1,763","2,202",255,569,370,22,0,0,0,0
2020년03월_계_70~79세,"4,820",623,379,"1,224","1,627",229,397,298,43,0,0,0,0
2020년03월_계_80~89세,"2,135",268,191,517,706,113,200,128,12,0,0,0,0
2020년03월_계_90~99세,344,33,33,92,115,21,36,14,0,0,0,0,0
2020년03월_계_100세 이상,44,2,2,10,21,4,4,1,0,0,0,0,0
2020년03월_남_총인구수,"23,561","2,825","1,994","6,535","7,872","1,125","1,957","1,201",52,0,0,0,0
2020년03월_남_연령구간인구수,"23,561","2,825","1,994","6,535","7,872","1,125","1,957","1,201",52,0,0,0,0
2020년03월_남_0~9세,"1,731",193,223,407,608,69,132,99,0,0,0,0,0
2020년03월_남_10~19세,"2,045",288,128,566,746,58,184,72,3,0,0,0,0
2020년03월_남_20~29세,"3,958",442,420,"1,166","1,101",335,284,210,0,0,0,0,0
2020년03월_남_30~39세,"2,639",317,258,704,873,144,197,144,2,0,0,0,0
2020년03월_남_40~49세,"3,156",384,223,891,"1,114",117,304,116,7,0,0,0,0
2020년03월_남_50~59세,"3,947",494,280,"1,134","1,357",136,342,195,9,0,0,0,0
2020년03월_남_60~69세,"3,087",335,231,877,"1,059",124,266,188,7,0,0,0,0
2020년03월_남_70~79세,"2,143",273,151,565,733,100,169,134,18,0,0,0,0
2020년03월_남_80~89세,771,91,75,205,247,35,74,38,6,0,0,0,0
2020년03월_남_90~99세,72,8,5,16,29,5,4,5,0,0,0,0,0
2020년03월_남_100세 이상,12,0,0,4,5,2,1,0,0,0,0,0,0
2020년03월_여_총인구수,"21,659","2,688","1,720","5,631","7,743",868,"1,898","1,052",59,0,0,0,0
2020년03월_여_연령구간인구수,"21,659","2,688","1,720","5,631","7,743",868,"1,898","1,052",59,0,0,0,0
2020년03월_여_0~9세,"1,660",222,168,413,599,74,107,77,0,0,0,0,0
2020년03월_여_10~19세,"1,900",232,128,471,773,43,176,76,1,0,0,0,0
2020년03월_여_20~29세,"2,088",273,196,513,743,108,168,85,2,0,0,0,0
2020년03월_여_30~39세,"2,171",267,222,544,769,85,182,101,1,0,0,0,0
2020년03월_여_40~49세,"2,721",326,165,780,"1,026",85,249,87,3,0,0,0,0
2020년03월_여_50~59세,"3,472",416,223,971,"1,235",117,324,180,6,0,0,0,0
2020년03월_여_60~69세,"3,302",398,244,886,"1,143",131,303,182,15,0,0,0,0
2020년03월_여_70~79세,"2,677",350,228,659,894,129,228,164,25,0,0,0,0
2020년03월_여_80~89세,"1,364",177,116,312,459,78,126,90,6,0,0,0,0
2020년03월_여_90~99세,272,25,28,76,86,16,32,9,0,0,0,0,0
2020년03월_여_100세 이상,32,2,2,6,16,2,3,1,0,0,0,0,0
