,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2021년07월_계_총인구수,"321,170","6,424","80,352","4,230","22,770","20,226","22,290","5,508","6,365","3,072","4,440","19,735","9,371","10,760","36,593","18,637","21,478","28,919"
2021년07월_계_연령구간인구수,"321,170","6,424","80,352","4,230","22,770","20,226","22,290","5,508","6,365","3,072","4,440","19,735","9,371","10,760","36,593","18,637","21,478","28,919"
2021년07월_계_0~9세,"31,966",334,"9,747",183,"2,936","2,491","2,498",135,291,57,104,"1,449",882,422,"3,769","1,449","2,083","3,136"
2021년07월_계_10~19세,"35,062",482,"9,693",362,"3,188","1,808","1,487",267,383,109,173,"2,055",728,778,"4,864","2,386","2,738","3,561"
2021년07월_계_20~29세,"37,364",541,"10,146",296,"2,990","2,118","2,440",422,527,171,342,"2,395","1,075","1,688","4,482","2,131","2,716","2,884"
2021년07월_계_30~39세,"48,321",590,"14,866",273,"4,041","3,536","4,720",398,595,178,299,"2,133","1,718","1,228","4,875","2,073","2,809","3,989"
2021년07월_계_40~49세,"57,510",882,"15,349",528,"4,949","3,512","3,708",560,921,249,397,"3,430","1,507","1,448","6,992","3,414","4,044","5,620"
2021년07월_계_50~59세,"47,252","1,112","10,495",752,"2,534","2,809","3,087",965,"1,207",509,825,"3,268","1,302","1,986","5,395","3,219","3,423","4,364"
2021년07월_계_60~69세,"34,092","1,195","5,931",848,"1,161","2,308","2,454","1,276","1,188",779,"1,016","2,543","1,160","1,714","3,434","2,155","2,017","2,913"
2021년07월_계_70~79세,"18,211",712,"2,678",572,595,993,"1,154",836,675,565,720,"1,534",652,974,"1,804","1,171","1,059","1,517"
