카테고리,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2020년12월_계_총인구수,"267,731","15,988","33,062","12,602","16,877","15,608","45,020","17,318","12,595","8,752","8,158","13,850","7,037","13,273","14,053","8,835","15,912","8,791"
2020년12월_계_연령구간인구수,"267,731","15,988","33,062","12,602","16,877","15,608","45,020","17,318","12,595","8,752","8,158","13,850","7,037","13,273","14,053","8,835","15,912","8,791"
2020년12월_계_0~9세,"18,052",537,"2,818","1,047","1,080","1,797","3,502","1,447",505,537,496,710,310,635,765,356,"1,154",356
2020년12월_계_10~19세,"23,035",941,"3,128",865,"1,426","1,533","5,154","1,803",926,650,758,991,489,903,"1,226",392,"1,291",559
2020년12월_계_20~29세,"35,239","3,592","6,371","1,233","2,631","1,762","5,026","1,671","1,456",925,"1,032","1,557",679,"1,307","1,727","1,300","1,940","1,030"
2020년12월_계_30~39세,"30,186","1,857","4,294","1,783","1,963","2,226","4,218","1,840","1,170","1,060",771,"1,397",653,"1,290","1,318","1,304","2,186",856
2020년12월_계_40~49세,"41,893","2,065","5,682","1,873","2,643","2,745","7,798","2,911","1,658","1,349","1,258","2,004","1,061","1,853","2,177","1,199","2,423","1,194"
2020년12월_계_50~59세,"42,799","2,263","4,636","1,868","2,455","2,233","7,848","2,728","2,175","1,374","1,457","2,346","1,154","2,182","2,518","1,347","2,659","1,556"
2020년12월_계_60~69세,"40,918","2,375","3,392","1,991","2,451","1,829","6,339","2,792","2,532","1,620","1,340","2,622","1,338","2,697","2,287","1,398","2,287","1,628"
2020년12월_계_70~79세,"24,883","1,661","1,879","1,357","1,545","1,050","3,552","1,498","1,590",892,755,"1,573",970,"1,669","1,429","1,005","1,367","1,091"
2020년12월_계_80~89세,"9,467",622,740,528,618,374,"1,385",543,514,296,252,584,349,634,544,469,547,468
2020년12월_계_90~99세,"1,122",63,107,48,59,52,191,76,63,39,37,51,30,92,57,53,56,48
2020년12월_계_100세 이상,137,12,15,9,6,7,7,9,6,10,2,15,4,11,5,12,2,5
2020년12월_남_총인구수,"131,037","8,017","16,071","6,145","8,190","7,512","21,689","8,528","6,103","4,229","4,161","7,074","3,471","6,567","6,856","4,405","7,717","4,302"
