카테고리,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2020년02월_계_총인구수,"174,596","13,621","7,460","5,400","3,372","8,158","14,039","9,551","5,237","7,502","6,431","19,645","19,241","9,101","16,204","29,634"
2020년02월_계_연령구간인구수,"174,596","13,621","7,460","5,400","3,372","8,158","14,039","9,551","5,237","7,502","6,431","19,645","19,241","9,101","16,204","29,634"
2020년02월_계_0~9세,"15,903",757,568,129,60,693,"2,671",593,140,281,389,"1,882","1,834",638,"1,484","3,784"
2020년02월_계_10~19세,"17,561","1,146",733,230,129,723,"1,031",810,298,469,529,"2,168","2,404",931,"2,036","3,924"
2020년02월_계_20~29세,"19,116","1,795",658,311,177,691,"1,549",885,317,781,558,"2,640","2,271","1,133","1,948","3,402"
2020년02월_계_30~39세,"22,639","1,481",731,286,158,"1,026","3,654",927,283,512,616,"2,841","2,383",948,"2,057","4,736"
2020년02월_계_40~49세,"27,755","1,993","1,143",507,305,"1,250","1,981","1,431",581,890,905,"3,356","3,502","1,527","2,916","5,468"
2020년02월_계_50~59세,"28,148","3,050","1,291",908,631,"1,347","1,454","1,668",934,"1,397",854,"3,169","3,186","1,578","2,597","4,084"
2020년02월_계_60~69세,"20,684","1,732","1,024","1,287",830,"1,115",857,"1,417","1,084","1,357","1,063","1,914","1,896","1,225","1,660","2,223"
2020년02월_계_70~79세,"13,544",955,726,992,652,766,485,"1,046",924,"1,115",845,"1,042","1,120",733,929,"1,214"
2020년02월_계_80~89세,"8,031",612,512,674,372,464,321,686,598,619,581,529,559,323,503,678
2020년02월_계_90~99세,"1,150",96,70,75,54,82,33,84,75,78,84,94,78,58,72,117
2020년02월_계_100세 이상,65,4,4,1,4,1,3,4,3,3,7,10,8,7,2,4
2020년02월_남_총인구수,"90,431","7,731","3,797","2,747","1,714","4,346","7,361","4,916","2,628","3,855","3,308","10,128","10,037","4,598","8,163","15,102"
2020년02월_남_연령구간인구수,"90,431","7,731","3,797","2,747","1,714","4,346","7,361","4,916","2,628","3,855","3,308","10,128","10,037","4,598","8,163","15,102"
2020년02월_남_0~9세,"8,177",390,297,63,38,337,"1,400",312,73,147,207,995,945,325,733,"1,915"
2020년02월_남_10~19세,"9,315",596,398,125,63,384,519,454,159,266,281,"1,125","1,429",472,989,"2,055"
2020년02월_남_20~29세,"11,222","1,226",386,192,109,419,856,512,180,449,354,"1,484","1,351",659,"1,113","1,932"
2020년02월_남_30~39세,"12,382",985,363,180,92,626,"1,953",506,156,305,347,"1,570","1,267",514,"1,117","2,401"
2020년02월_남_40~49세,"14,797","1,138",609,324,190,727,"1,099",796,357,534,527,"1,732","1,733",787,"1,469","2,775"
2020년02월_남_50~59세,"14,915","1,798",715,481,348,724,764,881,501,733,461,"1,622","1,648",802,"1,335","2,102"
2020년02월_남_60~69세,"10,300",924,506,645,418,594,431,712,525,681,513,916,924,581,806,"1,124"
2020년02월_남_70~79세,"6,298",461,333,474,324,356,231,489,449,517,371,468,523,322,417,563
2020년02월_남_80~89세,"2,784",188,172,244,121,165,102,240,216,208,226,197,200,121,169,215
2020년02월_남_90~99세,232,25,18,19,8,14,5,14,11,15,20,19,15,15,15,19
2020년02월_남_100세 이상,9,0,0,0,3,0,1,0,1,0,1,0,2,0,0,1
2020년02월_여_총인구수,"84,165","5,890","3,663","2,653","1,658","3,812","6,678","4,635","2,609","3,647","3,123","9,517","9,204","4,503","8,041","14,532"
2020년02월_여_연령구간인구수,"84,165","5,890","3,663","2,653","1,658","3,812","6,678","4,635","2,609","3,647","3,123","9,517","9,204","4,503","8,041","14,532"
2020년02월_여_0~9세,"7,726",367,271,66,22,356,"1,271",281,67,134,182,887,889,313,751,"1,869"
2020년02월_여_10~19세,"8,246",550,335,105,66,339,512,356,139,203,248,"1,043",975,459,"1,047","1,869"
2020년02월_여_20~29세,"7,894",569,272,119,68,272,693,373,137,332,204,"1,156",920,474,835,"1,470"
2020년02월_여_30~39세,"10,257",496,368,106,66,400,"1,701",421,127,207,269,"1,271","1,116",434,940,"2,335"
2020년02월_여_40~49세,"12,958",855,534,183,115,523,882,635,224,356,378,"1,624","1,769",740,"1,447","2,693"
2020년02월_여_50~59세,"13,233","1,252",576,427,283,623,690,787,433,664,393,"1,547","1,538",776,"1,262","1,982"
2020년02월_여_60~69세,"10,384",808,518,642,412,521,426,705,559,676,550,998,972,644,854,"1,099"
2020년02월_여_70~79세,"7,246",494,393,518,328,410,254,557,475,598,474,574,597,411,512,651
2020년02월_여_80~89세,"5,247",424,340,430,251,299,219,446,382,411,355,332,359,202,334,463
2020년02월_여_90~99세,918,71,52,56,46,68,28,70,64,63,64,75,63,43,57,98
2020년02월_여_100세 이상,56,4,4,1,1,1,2,4,2,3,6,10,6,7,2,3
