,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2020년03월_계_총인구수,"68,630","34,695","4,604","2,369","2,372","3,792","3,906","5,926","3,794","3,930","3,242"
2020년03월_계_연령구간인구수,"68,630","34,695","4,604","2,369","2,372","3,792","3,906","5,926","3,794","3,930","3,242"
2020년03월_계_0~9세,"3,908","2,780",127,34,49,136,89,360,92,120,121
2020년03월_계_10~19세,"5,358","3,682",161,94,117,213,167,416,139,199,170
2020년03월_계_20~29세,"6,479","3,957",348,147,126,276,247,651,259,286,182
2020년03월_계_30~39세,"6,219","3,998",322,95,95,215,207,566,255,265,201
2020년03월_계_40~49세,"8,429","5,408",387,171,198,347,344,551,354,364,305
2020년03월_계_50~59세,"12,967","6,006",869,476,501,834,793,"1,042",777,870,799
2020년03월_계_60~69세,"13,088","4,792","1,178",648,657,914,"1,040","1,138","1,016",909,796
2020년03월_계_70~79세,"7,311","2,522",704,411,374,490,609,688,560,529,424
2020년03월_계_80~89세,"4,238","1,341",425,253,231,325,364,457,288,344,210
2020년03월_계_90~99세,592,193,78,40,24,39,39,56,51,39,33
2020년03월_계_100세 이상,41,16,5,0,0,3,7,1,3,5,1
2020년03월_남_총인구수,"35,140","17,455","2,402","1,176","1,242","1,931","2,012","3,145","1,991","2,061","1,725"
2020년03월_남_연령구간인구수,"35,140","17,455","2,402","1,176","1,242","1,931","2,012","3,145","1,991","2,061","1,725"
2020년03월_남_0~9세,"1,963","1,376",59,20,31,74,44,187,46,60,66
2020년03월_남_10~19세,"2,746","1,888",87,44,71,109,99,178,73,107,90
2020년03월_남_20~29세,"3,824","2,255",219,89,68,172,141,460,151,165,104
2020년03월_남_30~39세,"3,389","2,105",198,48,60,108,118,322,163,157,110
2020년03월_남_40~49세,"4,536","2,739",243,101,128,195,206,320,213,218,173
2020년03월_남_50~59세,"6,779","3,096",469,242,252,427,425,557,405,464,442
2020년03월_남_60~69세,"6,816","2,397",621,339,347,483,531,620,547,502,429
2020년03월_남_70~79세,"3,442","1,087",348,183,201,243,315,324,273,255,213
2020년03월_남_80~89세,"1,469",462,132,99,77,106,121,161,103,122,86
2020년03월_남_90~99세,168,49,23,11,7,14,11,16,17,9,11
2020년03월_남_100세 이상,8,1,3,0,0,0,1,0,0,2,1
2020년03월_여_총인구수,"33,490","17,240","2,202","1,193","1,130","1,861","1,894","2,781","1,803","1,869","1,517"
2020년03월_여_연령구간인구수,"33,490","17,240","2,202","1,193","1,130","1,861","1,894","2,781","1,803","1,869","1,517"
2020년03월_여_0~9세,"1,945","1,404",68,14,18,62,45,173,46,60,55
2020년03월_여_10~19세,"2,612","1,794",74,50,46,104,68,238,66,92,80
2020년03월_여_20~29세,"2,655","1,702",129,58,58,104,106,191,108,121,78
2020년03월_여_30~39세,"2,830","1,893",124,47,35,107,89,244,92,108,91
2020년03월_여_40~49세,"3,893","2,669",144,70,70,152,138,231,141,146,132
2020년03월_여_50~59세,"6,188","2,910",400,234,249,407,368,485,372,406,357
2020년03월_여_60~69세,"6,272","2,395",557,309,310,431,509,518,469,407,367
2020년03월_여_70~79세,"3,869","1,435",356,228,173,247,294,364,287,274,211
2020년03월_여_80~89세,"2,769",879,293,154,154,219,243,296,185,222,124
2020년03월_여_90~99세,424,144,55,29,17,25,28,40,34,30,22
2020년03월_여_100세 이상,33,15,2,0,0,3,6,1,3,3,0
