,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2020년11월_계_총인구수,"347,285","22,605","19,936","15,736","21,998","16,736","29,551","11,602","35,528","22,805","25,731","28,751","17,835","22,080","27,077","29,314"
2020년11월_계_연령구간인구수,"347,285","22,605","19,936","15,736","21,998","16,736","29,551","11,602","35,528","22,805","25,731","28,751","17,835","22,080","27,077","29,314"
2020년11월_계_0~9세,"19,699",385,899,776,"1,214",763,"1,506",583,"3,339","1,026","1,634","2,339",719,866,"1,788","1,862"
2020년11월_계_10~19세,"26,132",728,"1,068",757,"1,428",970,"1,994",556,"5,521","1,530","1,899","2,648",883,"1,196","2,386","2,568"
2020년11월_계_20~29세,"62,813","9,586","4,459","2,800","3,908","2,715","4,499","2,390","4,158","4,375","3,891","3,981","2,698","4,811","3,781","4,761"
2020년11월_계_30~39세,"56,116","4,396","3,631","2,966","3,939","2,716","4,420","2,664","3,866","3,814","3,952","4,343","2,610","4,265","3,909","4,625"
2020년11월_계_40~49세,"52,718","2,174","2,628","2,199","3,019","2,358","4,220","1,644","7,729","3,402","4,072","4,592","2,482","3,227","4,391","4,581"
2020년11월_계_50~59세,"54,742","2,089","2,919","2,540","3,589","2,955","5,351","1,427","5,462","3,631","4,287","4,687","3,141","3,219","4,543","4,902"
2020년11월_계_60~69세,"42,335","1,704","2,354","2,075","2,837","2,409","4,347","1,249","3,001","2,824","3,604","3,571","2,977","2,417","3,483","3,483"
2020년11월_계_70~79세,"22,419","1,047","1,374","1,169","1,490","1,298","2,326",741,"1,480","1,525","1,684","1,607","1,625","1,429","1,940","1,684"
2020년11월_계_80~89세,"8,825",407,530,389,494,480,750,297,811,583,599,842,608,574,741,720
2020년11월_계_90~99세,"1,266",65,64,56,71,58,111,45,151,81,96,126,75,61,90,116
2020년11월_계_100세 이상,220,24,10,9,9,14,27,6,10,14,13,15,17,15,25,12
2020년11월_남_총인구수,"167,626","10,703","9,848","7,676","10,423","8,301","14,481","5,335","17,143","10,967","12,526","13,805","8,896","10,545","13,035","13,942"
2020년11월_남_연령구간인구수,"167,626","10,703","9,848","7,676","10,423","8,301","14,481","5,335","17,143","10,967","12,526","13,805","8,896","10,545","13,035","13,942"
2020년11월_남_0~9세,"10,050",183,470,407,631,402,792,299,"1,728",502,842,"1,173",351,447,905,918
2020년11월_남_10~19세,"13,315",338,551,391,720,495,"1,073",287,"2,816",800,"1,003","1,318",435,598,"1,208","1,282"
2020년11월_남_20~29세,"29,516","4,100","2,129","1,291","1,744","1,359","2,263","1,010","2,064","2,059","1,930","1,953","1,312","2,200","1,864","2,238"
2020년11월_남_30~39세,"27,726","2,298","1,859","1,504","1,913","1,418","2,200","1,199","1,659","1,920","1,947","2,050","1,412","2,138","1,962","2,247"
2020년11월_남_40~49세,"26,015","1,216","1,372","1,137","1,500","1,208","2,139",833,"3,573","1,706","2,018","2,150","1,306","1,615","2,125","2,117"
2020년11월_남_50~59세,"26,708","1,106","1,475","1,245","1,687","1,453","2,550",654,"2,782","1,744","2,009","2,269","1,655","1,562","2,172","2,345"
2020년11월_남_60~69세,"20,138",794,"1,136",982,"1,321","1,166","2,036",573,"1,481","1,333","1,746","1,765","1,424","1,104","1,601","1,676"
2020년11월_남_70~79세,"10,284",478,631,539,692,603,"1,098",332,653,648,784,747,746,640,893,800
2020년11월_남_80~89세,"3,464",164,211,168,199,178,298,129,336,226,218,330,230,223,277,277
2020년11월_남_90~99세,356,21,13,9,13,17,24,18,48,25,26,46,20,16,23,37
2020년11월_남_100세 이상,54,5,1,3,3,2,8,1,3,4,3,4,5,2,5,5
2020년11월_여_총인구수,"179,659","11,902","10,088","8,060","11,575","8,435","15,070","6,267","18,385","11,838","13,205","14,946","8,939","11,535","14,042","15,372"
2020년11월_여_연령구간인구수,"179,659","11,902","10,088","8,060","11,575","8,435","15,070","6,267","18,385","11,838","13,205","14,946","8,939","11,535","14,042","15,372"
2020년11월_여_0~9세,"9,649",202,429,369,583,361,714,284,"1,611",524,792,"1,166",368,419,883,944
2020년11월_여_10~19세,"12,817",390,517,366,708,475,921,269,"2,705",730,896,"1,330",448,598,"1,178","1,286"
2020년11월_여_20~29세,"33,297","5,486","2,330","1,509","2,164","1,356","2,236","1,380","2,094","2,316","1,961","2,028","1,386","2,611","1,917","2,523"
2020년11월_여_30~39세,"28,390","2,098","1,772","1,462","2,026","1,298","2,220","1,465","2,207","1,894","2,005","2,293","1,198","2,127","1,947","2,378"
2020년11월_여_40~49세,"26,703",958,"1,256","1,062","1,519","1,150","2,081",811,"4,156","1,696","2,054","2,442","1,176","1,612","2,266","2,464"
2020년11월_여_50~59세,"28,034",983,"1,444","1,295","1,902","1,502","2,801",773,"2,680","1,887","2,278","2,418","1,486","1,657","2,371","2,557"
2020년11월_여_60~69세,"22,197",910,"1,218","1,093","1,516","1,243","2,311",676,"1,520","1,491","1,858","1,806","1,553","1,313","1,882","1,807"
2020년11월_여_70~79세,"12,135",569,743,630,798,695,"1,228",409,827,877,900,860,879,789,"1,047",884
2020년11월_여_80~89세,"5,361",243,319,221,295,302,452,168,475,357,381,512,378,351,464,443
2020년11월_여_90~99세,910,44,51,47,58,41,87,27,103,56,70,80,55,45,67,79
2020년11월_여_100세 이상,166,19,9,6,6,12,19,5,7,10,10,11,12,13,20,7
