,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2021년01월_계_총인구수,"132,759","6,777","1,929","1,276","2,027","2,203",713,"3,254","4,605","18,847","9,995","5,855","4,896","10,318","17,917","11,167","15,630","15,350"
2021년01월_계_연령구간인구수,"132,759","6,777","1,929","1,276","2,027","2,203",713,"3,254","4,605","18,847","9,995","5,855","4,896","10,318","17,917","11,167","15,630","15,350"
2021년01월_계_0~9세,"8,661",271,43,27,40,74,21,85,91,"1,574",813,246,184,780,"1,343",737,688,"1,644"
2021년01월_계_10~19세,"11,613",350,89,48,67,190,33,131,200,"2,373","1,119",411,309,910,"1,778","1,173","1,109","1,323"
2021년01월_계_20~29세,"14,649",474,118,69,88,74,32,162,358,"2,287","1,264",644,557,"1,055","2,594","1,366","1,905","1,602"
2021년01월_계_30~39세,"12,947",420,104,63,73,78,38,126,225,"1,981","1,043",487,393,"1,150","2,161","1,018","1,416","2,171"
2021년01월_계_40~49세,"18,363",707,133,85,131,185,68,243,413,"3,296","1,618",736,561,"1,463","2,711","1,733","1,921","2,359"
2021년01월_계_50~59세,"23,933","1,288",382,263,393,384,146,602,890,"3,428","1,801","1,012",892,"1,777","3,151","2,158","2,925","2,441"
2021년01월_계_60~69세,"22,941","1,681",536,348,593,569,190,964,"1,232","2,311","1,353","1,230","1,094","1,627","2,373","1,580","3,225","2,035"
2021년01월_계_70~79세,"12,479",947,288,221,381,395,96,547,709,"1,079",603,741,636,"1,016","1,117",909,"1,647","1,147"
2021년01월_계_80~89세,"6,264",557,200,137,235,216,71,339,419,467,321,302,245,468,610,429,687,561
2021년01월_계_90~99세,832,80,31,13,21,38,16,51,63,46,58,41,23,53,78,57,101,62
2021년01월_계_100세 이상,77,2,5,2,5,0,2,4,5,5,2,5,2,19,1,7,6,5
2021년01월_남_총인구수,"66,633","3,466","1,036",659,"1,052","1,122",361,"1,672","2,421","9,282","4,943","2,887","2,438","5,172","8,931","5,594","7,851","7,746"
2021년01월_남_연령구간인구수,"66,633","3,466","1,036",659,"1,052","1,122",361,"1,672","2,421","9,282","4,943","2,887","2,438","5,172","8,931","5,594","7,851","7,746"
2021년01월_남_0~9세,"4,440",150,28,17,21,42,10,47,46,799,432,119,97,422,665,370,347,828
2021년01월_남_10~19세,"6,002",184,55,23,35,102,16,75,115,"1,200",567,214,160,470,916,617,597,656
2021년01월_남_20~29세,"8,152",260,75,40,65,45,23,102,224,"1,236",675,331,318,587,"1,425",770,"1,091",885
2021년01월_남_30~39세,"6,788",227,62,39,48,42,20,72,149,985,506,287,216,581,"1,153",523,788,"1,090"
2021년01월_남_40~49세,"9,453",400,79,53,83,115,41,144,251,"1,573",795,375,301,783,"1,331",849,"1,004","1,276"
2021년01월_남_50~59세,"12,232",683,216,135,198,202,82,321,469,"1,723",905,502,450,903,"1,594","1,146","1,415","1,288"
2021년01월_남_60~69세,"11,417",886,296,188,317,298,94,499,652,"1,143",678,573,500,785,"1,201",788,"1,549",970
2021년01월_남_70~79세,"5,656",454,142,108,193,192,41,267,333,447,256,351,297,445,448,371,791,520
2021년01월_남_80~89세,"2,287",206,71,54,82,77,28,132,166,167,113,123,93,176,182,148,250,219
2021년01월_남_90~99세,181,16,10,1,7,7,5,12,14,9,15,10,6,13,16,10,18,12
2021년01월_남_100세 이상,25,0,2,1,3,0,1,1,2,0,1,2,0,7,0,2,1,2
2021년01월_여_총인구수,"66,126","3,311",893,617,975,"1,081",352,"1,582","2,184","9,565","5,052","2,968","2,458","5,146","8,986","5,573","7,779","7,604"
2021년01월_여_연령구간인구수,"66,126","3,311",893,617,975,"1,081",352,"1,582","2,184","9,565","5,052","2,968","2,458","5,146","8,986","5,573","7,779","7,604"
2021년01월_여_0~9세,"4,221",121,15,10,19,32,11,38,45,775,381,127,87,358,678,367,341,816
2021년01월_여_10~19세,"5,611",166,34,25,32,88,17,56,85,"1,173",552,197,149,440,862,556,512,667
2021년01월_여_20~29세,"6,497",214,43,29,23,29,9,60,134,"1,051",589,313,239,468,"1,169",596,814,717
2021년01월_여_30~39세,"6,159",193,42,24,25,36,18,54,76,996,537,200,177,569,"1,008",495,628,"1,081"
2021년01월_여_40~49세,"8,910",307,54,32,48,70,27,99,162,"1,723",823,361,260,680,"1,380",884,917,"1,083"
2021년01월_여_50~59세,"11,701",605,166,128,195,182,64,281,421,"1,705",896,510,442,874,"1,557","1,012","1,510","1,153"
2021년01월_여_60~69세,"11,524",795,240,160,276,271,96,465,580,"1,168",675,657,594,842,"1,172",792,"1,676","1,065"
2021년01월_여_70~79세,"6,823",493,146,113,188,203,55,280,376,632,347,390,339,571,669,538,856,627
2021년01월_여_80~89세,"3,977",351,129,83,153,139,43,207,253,300,208,179,152,292,428,281,437,342
2021년01월_여_90~99세,651,64,21,12,14,31,11,39,49,37,43,31,17,40,62,47,83,50
2021년01월_여_100세 이상,52,2,3,1,2,0,1,3,3,5,1,3,2,12,1,5,5,3
