카테고리,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2021년07월_계_총인구수,"353,981","120,988","35,093","3,369","12,753","8,283","11,566","33,223","22,116","9,028","28,384","20,398","30,666","18,114"
2021년07월_계_연령구간인구수,"353,981","120,988","35,093","3,369","12,753","8,283","11,566","33,223","22,116","9,028","28,384","20,398","30,666","18,114"
2021년07월_계_0~9세,"33,609","15,666","4,705",78,501,170,461,"2,425","1,322",720,"2,215","1,367","2,340","1,639"
2021년07월_계_10~19세,"34,609","12,866","2,907",114,806,591,595,"4,138","1,761","1,017","3,276","1,802","3,175","1,561"
2021년07월_계_20~29세,"40,020","14,012","3,162",155,"1,256",815,"1,423","4,504","3,118","1,017","3,172","2,192","3,185","2,009"
2021년07월_계_30~39세,"48,100","20,693","6,171",198,"1,067",560,"1,286","3,256","2,986","1,065","3,147","2,241","3,012","2,418"
2021년07월_계_40~49세,"61,283","22,510","6,519",277,"1,573",899,"1,466","5,953","3,416","1,633","5,372","3,394","5,373","2,898"
2021년07월_계_50~59세,"58,772","17,046","4,717",587,"2,665","1,807","2,398","6,264","4,539","1,528","4,945","3,870","5,168","3,238"
2021년07월_계_60~69세,"45,542","11,547","4,273",974,"2,743","1,949","2,402","3,638","3,198","1,233","3,745","3,101","4,268","2,471"
2021년07월_계_70~79세,"21,619","4,599","1,886",626,"1,391",919,"1,039","2,083","1,180",543,"1,758","1,583","2,766","1,246"
2021년07월_계_80~89세,"9,223","1,804",655,314,649,475,436,872,516,243,668,773,"1,258",560
2021년07월_계_90~99세,"1,169",241,97,45,98,89,60,88,77,29,82,73,118,72
2021년07월_계_100세 이상,35,4,1,1,4,9,0,2,3,0,4,2,3,2
2021년07월_남_총인구수,"177,443","59,772","17,791","1,738","6,507","4,334","6,161","16,064","11,626","4,521","14,820","10,206","14,933","8,970"
2021년07월_남_연령구간인구수,"177,443","59,772","17,791","1,738","6,507","4,334","6,161","16,064","11,626","4,521","14,820","10,206","14,933","8,970"
2021년07월_남_0~9세,"17,158","7,960","2,437",44,254,90,236,"1,230",683,349,"1,126",708,"1,202",839
2021년07월_남_10~19세,"17,746","6,564","1,478",59,403,318,343,"2,163",916,466,"1,693",914,"1,624",805
2021년07월_남_20~29세,"21,472","6,967","1,691",95,742,497,846,"2,379","1,855",544,"1,825","1,220","1,726","1,085"
2021년07월_남_30~39세,"24,728","10,238","3,115",124,619,330,763,"1,600","1,741",582,"1,690","1,173","1,494","1,259"
2021년07월_남_40~49세,"31,163","11,284","3,510",164,835,476,824,"2,707","1,816",831,"2,849","1,705","2,733","1,429"
2021년07월_남_50~59세,"29,644","8,387","2,346",319,"1,392",944,"1,278","3,051","2,225",795,"2,690","2,018","2,603","1,596"
2021년07월_남_60~69세,"22,294","5,614","2,027",502,"1,413","1,055","1,205","1,702","1,690",623,"1,873","1,510","1,889","1,191"
2021년07월_남_70~79세,"9,783","2,138",938,312,600,450,486,871,533,255,815,681,"1,154",550
2021년07월_남_80~89세,"3,194",577,230,109,225,152,160,341,151,73,244,258,475,199
2021년07월_남_90~99세,258,43,19,10,24,22,20,19,16,3,14,19,32,17
2021년07월_남_100세 이상,3,0,0,0,0,0,0,1,0,0,1,0,1,0
2021년07월_여_총인구수,"176,538","61,216","17,302","1,631","6,246","3,949","5,405","17,159","10,490","4,507","13,564","10,192","15,733","9,144"
2021년07월_여_연령구간인구수,"176,538","61,216","17,302","1,631","6,246","3,949","5,405","17,159","10,490","4,507","13,564","10,192","15,733","9,144"
2021년07월_여_0~9세,"16,451","7,706","2,268",34,247,80,225,"1,195",639,371,"1,089",659,"1,138",800
2021년07월_여_10~19세,"16,863","6,302","1,429",55,403,273,252,"1,975",845,551,"1,583",888,"1,551",756
2021년07월_여_20~29세,"18,548","7,045","1,471",60,514,318,577,"2,125","1,263",473,"1,347",972,"1,459",924
2021년07월_여_30~39세,"23,372","10,455","3,056",74,448,230,523,"1,656","1,245",483,"1,457","1,068","1,518","1,159"
2021년07월_여_40~49세,"30,120","11,226","3,009",113,738,423,642,"3,246","1,600",802,"2,523","1,689","2,640","1,469"
2021년07월_여_50~59세,"29,128","8,659","2,371",268,"1,273",863,"1,120","3,213","2,314",733,"2,255","1,852","2,565","1,642"
2021년07월_여_60~69세,"23,248","5,933","2,246",472,"1,330",894,"1,197","1,936","1,508",610,"1,872","1,591","2,379","1,280"
2021년07월_여_70~79세,"11,836","2,461",948,314,791,469,553,"1,212",647,288,943,902,"1,612",696
2021년07월_여_80~89세,"6,029","1,227",425,205,424,323,276,531,365,170,424,515,783,361
2021년07월_여_90~99세,911,198,78,35,74,67,40,69,61,26,68,54,86,55
2021년07월_여_100세 이상,32,4,1,1,4,9,0,1,3,0,3,2,2,2
