카테고리,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2020년02월_계_총인구수,"218,190","37,772","40,068","39,511","16,130","30,143","33,950","10,241","10,375"
2020년02월_계_연령구간인구수,"218,190","37,772","40,068","39,511","16,130","30,143","33,950","10,241","10,375"
2020년02월_계_0~9세,"26,135","4,866","5,643","4,139","2,693","2,797","4,346",792,859
2020년02월_계_10~19세,"23,720","3,968","4,569","6,375","1,200","2,454","3,558",785,811
2020년02월_계_20~29세,"28,170","4,429","4,631","4,976","1,291","4,821","4,867","1,786","1,369"
2020년02월_계_30~39세,"35,371","6,161","6,939","4,379","3,610","4,996","6,041","1,676","1,569"
2020년02월_계_40~49세,"38,250","6,635","7,312","8,724","2,501","4,546","5,498","1,486","1,548"
2020년02월_계_50~59세,"38,312","6,346","6,306","6,798","2,176","6,410","6,147","2,116","2,013"
2020년02월_계_60~69세,"17,851","3,365","2,937","2,359","1,592","2,798","2,274","1,069","1,457"
2020년02월_계_70~79세,"7,031","1,401","1,143","1,210",658,902,789,372,556
2020년02월_계_80~89세,"2,899",517,506,480,344,369,376,137,170
2020년02월_계_90~99세,435,80,81,70,60,49,54,21,20
2020년02월_계_100세 이상,16,4,1,1,5,1,0,1,3
2020년02월_남_총인구수,"112,835","19,299","20,513","20,063","8,277","16,040","17,318","5,807","5,518"
2020년02월_남_연령구간인구수,"112,835","19,299","20,513","20,063","8,277","16,040","17,318","5,807","5,518"
2020년02월_남_0~9세,"13,421","2,505","2,924","2,144","1,356","1,468","2,215",380,429
2020년02월_남_10~19세,"12,431","2,042","2,400","3,368",602,"1,295","1,857",429,438
2020년02월_남_20~29세,"15,752","2,442","2,516","2,719",694,"2,717","2,657","1,183",824
2020년02월_남_30~39세,"18,280","3,100","3,477","2,056","1,850","2,846","3,052","1,011",888
2020년02월_남_40~49세,"19,500","3,440","3,786","4,113","1,412","2,378","2,655",850,866
2020년02월_남_50~59세,"20,020","3,235","3,225","3,778","1,098","3,303","3,190","1,179","1,012"
2020년02월_남_60~69세,"9,332","1,752","1,503","1,214",847,"1,498","1,212",557,749
2020년02월_남_70~79세,"3,196",619,527,518,309,418,375,182,248
2020년02월_남_80~89세,836,149,148,138,99,109,99,34,60
2020년02월_남_90~99세,64,14,7,15,10,7,6,2,3
2020년02월_남_100세 이상,3,1,0,0,0,1,0,0,1
2020년02월_여_총인구수,"105,355","18,473","19,555","19,448","7,853","14,103","16,632","4,434","4,857"
2020년02월_여_연령구간인구수,"105,355","18,473","19,555","19,448","7,853","14,103","16,632","4,434","4,857"
2020년02월_여_0~9세,"12,714","2,361","2,719","1,995","1,337","1,329","2,131",412,430
2020년02월_여_10~19세,"11,289","1,926","2,169","3,007",598,"1,159","1,701",356,373
2020년02월_여_20~29세,"12,418","1,987","2,115","2,257",597,"2,104","2,210",603,545
2020년02월_여_30~39세,"17,091","3,061","3,462","2,323","1,760","2,150","2,989",665,681
2020년02월_여_40~49세,"18,750","3,195","3,526","4,611","1,089","2,168","2,843",636,682
2020년02월_여_50~59세,"18,292","3,111","3,081","3,020","1,078","3,107","2,957",937,"1,001"
2020년02월_여_60~69세,"8,519","1,613","1,434","1,145",745,"1,300","1,062",512,708
2020년02월_여_70~79세,"3,835",782,616,692,349,484,414,190,308
2020년02월_여_80~89세,"2,063",368,358,342,245,260,277,103,110
2020년02월_여_90~99세,371,66,74,55,50,42,48,19,17
2020년02월_여_100세 이상,13,3,1,1,5,0,0,1,2
