,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2020년08월_계_총인구수,"26,883","9,503","1,714","1,181","1,044","1,544","1,580","1,460","1,853",754,"2,870","1,017","1,171","1,192"
2020년08월_계_연령구간인구수,"26,883","9,503","1,714","1,181","1,044","1,544","1,580","1,460","1,853",754,"2,870","1,017","1,171","1,192"
2020년08월_계_0~9세,"1,121",718,35,27,31,29,36,38,41,20,88,24,15,19
2020년08월_계_10~19세,"1,550",895,60,39,26,64,63,45,64,26,167,40,33,28
2020년08월_계_20~29세,"2,050",972,104,74,74,133,96,85,122,32,213,45,42,58
2020년08월_계_30~39세,"1,794",969,94,59,51,68,100,52,91,28,137,54,45,46
2020년08월_계_40~49세,"2,935","1,515",138,86,74,134,141,120,156,51,304,77,60,79
2020년08월_계_50~59세,"4,640","1,576",322,223,177,273,291,270,317,124,517,139,200,211
2020년08월_계_60~69세,"5,298","1,391",402,283,230,340,360,330,448,196,549,238,261,270
2020년08월_계_70~79세,"4,049",885,285,203,197,261,254,276,359,145,524,200,237,223
2020년08월_계_80~89세,"3,002",513,234,160,160,217,208,214,223,117,318,174,244,220
2020년08월_계_90~99세,436,66,39,27,24,25,31,30,31,14,53,26,34,36
2020년08월_계_100세 이상,8,3,1,0,0,0,0,0,1,1,0,0,0,2
2020년08월_남_총인구수,"13,153","4,681",853,582,500,753,770,711,939,354,"1,370",524,551,565
2020년08월_남_연령구간인구수,"13,153","4,681",853,582,500,753,770,711,939,354,"1,370",524,551,565
2020년08월_남_0~9세,574,375,18,15,11,16,15,18,21,13,41,16,8,7
2020년08월_남_10~19세,832,472,35,23,18,33,30,21,32,17,88,28,20,15
2020년08월_남_20~29세,"1,158",523,58,44,45,83,48,45,72,19,133,23,34,31
2020년08월_남_30~39세,954,457,54,38,32,32,64,34,49,16,85,38,22,33
2020년08월_남_40~49세,"1,700",809,89,56,46,77,83,75,100,37,183,58,37,50
2020년08월_남_50~59세,"2,545",842,180,114,98,154,161,158,169,65,282,79,112,131
2020년08월_남_60~69세,"2,777",667,233,152,123,184,206,178,251,100,259,144,144,136
2020년08월_남_70~79세,"1,649",379,113,83,80,100,103,110,165,50,210,77,94,85
2020년08월_남_80~89세,873,140,63,50,42,70,54,62,72,35,84,57,77,67
2020년08월_남_90~99세,89,17,10,7,5,4,6,10,7,2,5,4,3,9
2020년08월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년08월_여_총인구수,"13,730","4,822",861,599,544,791,810,749,914,400,"1,500",493,620,627
2020년08월_여_연령구간인구수,"13,730","4,822",861,599,544,791,810,749,914,400,"1,500",493,620,627
2020년08월_여_0~9세,547,343,17,12,20,13,21,20,20,7,47,8,7,12
2020년08월_여_10~19세,718,423,25,16,8,31,33,24,32,9,79,12,13,13
2020년08월_여_20~29세,892,449,46,30,29,50,48,40,50,13,80,22,8,27
2020년08월_여_30~39세,840,512,40,21,19,36,36,18,42,12,52,16,23,13
2020년08월_여_40~49세,"1,235",706,49,30,28,57,58,45,56,14,121,19,23,29
2020년08월_여_50~59세,"2,095",734,142,109,79,119,130,112,148,59,235,60,88,80
2020년08월_여_60~69세,"2,521",724,169,131,107,156,154,152,197,96,290,94,117,134
2020년08월_여_70~79세,"2,400",506,172,120,117,161,151,166,194,95,314,123,143,138
2020년08월_여_80~89세,"2,129",373,171,110,118,147,154,152,151,82,234,117,167,153
2020년08월_여_90~99세,347,49,29,20,19,21,25,20,24,12,48,22,31,27
2020년08월_여_100세 이상,6,3,1,0,0,0,0,0,0,1,0,0,0,1
