,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2020년10월_계_총인구수,"225,278","10,880","5,307","4,744","8,762","9,791","13,409","5,255","7,988","5,618","6,229","3,034","4,484","3,272","9,507","17,629","10,917","20,152","11,964","16,926","4,958","11,569","9,209","23,674"
2020년10월_계_연령구간인구수,"225,278","10,880","5,307","4,744","8,762","9,791","13,409","5,255","7,988","5,618","6,229","3,034","4,484","3,272","9,507","17,629","10,917","20,152","11,964","16,926","4,958","11,569","9,209","23,674"
2020년10월_계_0~9세,"18,668",491,232,166,631,"1,394","1,010",510,249,208,437,63,149,144,727,"1,908","1,001","1,784",849,"1,365",443,"1,177",803,"2,927"
2020년10월_계_10~19세,"24,721",761,331,286,944,"1,111","1,577",481,446,343,610,138,211,249,"1,008","2,494","1,440","2,289","1,159","1,896",546,"1,609",991,"3,801"
2020년10월_계_20~29세,"27,238","1,145",548,430,"1,024","1,298","1,834",530,745,546,731,207,519,313,"1,143","1,816","1,179","2,326","2,110","2,650",545,"1,527","1,264","2,808"
2020년10월_계_30~39세,"26,191","1,037",483,367,943,"1,681","1,413",765,649,465,650,221,316,251,"1,022","2,244","1,215","2,376","1,669","2,003",576,"1,482","1,200","3,163"
2020년10월_계_40~49세,"37,697","1,435",722,645,"1,351","1,713","2,293",828,"1,047",750,948,421,547,459,"1,536","3,293","1,878","3,383","2,108","2,760",836,"2,143","1,576","5,025"
2020년10월_계_50~59세,"36,382","1,810",868,840,"1,477","1,192","2,377",797,"1,402",903,952,565,745,534,"1,656","2,494","1,657","3,227","1,975","3,146",782,"1,837","1,687","3,459"
2020년10월_계_60~69세,"28,752","2,075","1,074",867,"1,240",804,"1,607",685,"1,527","1,099","1,006",684,857,576,"1,364","1,786","1,389","2,635","1,235","1,909",661,"1,055",981,"1,636"
2020년10월_계_70~79세,"17,560","1,491",773,783,780,405,883,436,"1,315",934,649,509,749,504,737,"1,058",782,"1,444",577,789,386,497,473,606
