카테고리,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2021년01월_계_총인구수,"197,217","31,443","38,139","23,531","16,387","22,314","17,877","25,671","21,855"
2021년01월_계_연령구간인구수,"197,217","31,443","38,139","23,531","16,387","22,314","17,877","25,671","21,855"
2021년01월_계_0~9세,"15,049","4,587","2,724","1,757",728,"1,599",733,"1,325","1,596"
2021년01월_계_10~19세,"18,093","2,273","3,992","2,373","1,086","2,766","1,227","2,115","2,261"
2021년01월_계_20~29세,"27,239","3,323","5,648","3,373","2,236","3,057","2,748","3,818","3,036"
2021년01월_계_30~39세,"26,228","6,021","4,585","3,044","2,027","2,517","2,114","3,199","2,721"
2021년01월_계_40~49세,"32,722","5,753","6,385","3,950","2,471","3,871","2,567","3,732","3,993"
2021년01월_계_50~59세,"35,771","4,247","7,275","4,328","3,237","3,943","3,696","5,066","3,979"
2021년01월_계_60~69세,"24,672","3,308","4,304","2,663","2,595","2,723","2,852","3,810","2,417"
2021년01월_계_70~79세,"11,757","1,441","2,094","1,367","1,333","1,219","1,328","1,742","1,233"
2021년01월_계_80~89세,"4,899",414,987,592,564,537,524,747,534
2021년01월_계_90~99세,704,73,139,76,83,76,78,102,77
2021년01월_계_100세 이상,83,3,6,8,27,6,10,15,8
2021년01월_남_총인구수,"97,836","15,601","18,830","11,508","8,344","10,829","8,900","12,784","11,040"
2021년01월_남_연령구간인구수,"97,836","15,601","18,830","11,508","8,344","10,829","8,900","12,784","11,040"
2021년01월_남_0~9세,"7,774","2,377","1,438",891,376,811,401,664,816
2021년01월_남_10~19세,"9,332","1,138","2,116","1,245",520,"1,397",637,"1,106","1,173"
2021년01월_남_20~29세,"13,978","1,648","2,919","1,687","1,160","1,579","1,357","2,011","1,617"
2021년01월_남_30~39세,"13,189","2,893","2,304","1,491","1,115","1,223","1,136","1,642","1,385"
2021년01월_남_40~49세,"16,343","3,077","3,051","1,912","1,335","1,788","1,295","1,941","1,944"
2021년01월_남_50~59세,"17,596","2,019","3,497","2,121","1,657","1,909","1,850","2,483","2,060"
2021년01월_남_60~69세,"12,331","1,586","2,191","1,307","1,319","1,331","1,446","1,895","1,256"
2021년01월_남_70~79세,"5,272",714,895,608,615,557,575,752,556
2021년01월_남_80~89세,"1,807",130,376,216,211,214,180,268,212
2021년01월_남_90~99세,187,17,41,27,25,19,20,18,20
2021년01월_남_100세 이상,27,2,2,3,11,1,3,4,1
2021년01월_여_총인구수,"99,381","15,842","19,309","12,023","8,043","11,485","8,977","12,887","10,815"
2021년01월_여_연령구간인구수,"99,381","15,842","19,309","12,023","8,043","11,485","8,977","12,887","10,815"
2021년01월_여_0~9세,"7,275","2,210","1,286",866,352,788,332,661,780
2021년01월_여_10~19세,"8,761","1,135","1,876","1,128",566,"1,369",590,"1,009","1,088"
2021년01월_여_20~29세,"13,261","1,675","2,729","1,686","1,076","1,478","1,391","1,807","1,419"
2021년01월_여_30~39세,"13,039","3,128","2,281","1,553",912,"1,294",978,"1,557","1,336"
2021년01월_여_40~49세,"16,379","2,676","3,334","2,038","1,136","2,083","1,272","1,791","2,049"
2021년01월_여_50~59세,"18,175","2,228","3,778","2,207","1,580","2,034","1,846","2,583","1,919"
2021년01월_여_60~69세,"12,341","1,722","2,113","1,356","1,276","1,392","1,406","1,915","1,161"
2021년01월_여_70~79세,"6,485",727,"1,199",759,718,662,753,990,677
2021년01월_여_80~89세,"3,092",284,611,376,353,323,344,479,322
2021년01월_여_90~99세,517,56,98,49,58,57,58,84,57
2021년01월_여_100세 이상,56,1,4,5,16,5,7,11,7
