카테고리,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2021년01월_계_총인구수,"51,742","11,119","13,694","4,938","2,268","1,674","2,529","1,489","1,286","1,260","2,125","2,041","2,930","4,389"
2021년01월_계_연령구간인구수,"51,742","11,119","13,694","4,938","2,268","1,674","2,529","1,489","1,286","1,260","2,125","2,041","2,930","4,389"
2021년01월_계_0~9세,"2,286",550,"1,001",163,49,28,63,49,28,32,38,48,50,187
2021년01월_계_10~19세,"3,464",854,"1,511",217,59,59,110,68,55,26,66,78,100,261
2021년01월_계_20~29세,"3,857","1,070","1,329",294,90,88,134,80,59,37,88,96,198,294
2021년01월_계_30~39세,"3,434",860,"1,123",302,119,58,109,76,63,56,88,104,145,331
2021년01월_계_40~49세,"5,802","1,540","1,974",483,156,141,220,100,79,93,148,153,240,475
2021년01월_계_50~59세,"8,461","1,932","2,278",803,303,253,369,215,180,188,339,307,521,773
2021년01월_계_60~69세,"10,267","1,991","2,103","1,069",523,370,527,344,299,308,535,500,709,989
2021년01월_계_70~79세,"8,029","1,476","1,401",922,471,345,509,292,250,286,423,406,569,679
2021년01월_계_80~89세,"5,267",741,817,592,431,275,418,232,239,205,344,287,333,353
2021년01월_계_90~99세,831,100,149,88,61,56,67,32,33,28,53,58,61,45
2021년01월_계_100세 이상,44,5,8,5,6,1,3,1,1,1,3,4,4,2
2021년01월_남_총인구수,"25,548","5,554","6,680","2,477","1,092",818,"1,182",711,626,644,"1,037",987,"1,443","2,297"
2021년01월_남_연령구간인구수,"25,548","5,554","6,680","2,477","1,092",818,"1,182",711,626,644,"1,037",987,"1,443","2,297"
2021년01월_남_0~9세,"1,150",274,498,85,27,10,30,24,15,22,16,27,29,93
2021년01월_남_10~19세,"1,794",447,792,110,36,28,52,31,29,16,35,36,48,134
2021년01월_남_20~29세,"2,235",604,740,169,59,53,74,52,33,25,51,61,132,182
2021년01월_남_30~39세,"1,922",451,557,181,74,37,66,46,40,33,61,66,91,219
2021년01월_남_40~49세,"3,175",812,955,302,101,94,116,60,48,64,82,85,149,307
2021년01월_남_50~59세,"4,587","1,078","1,174",462,153,139,200,112,103,111,178,178,276,423
2021년01월_남_60~69세,"5,008",950,997,538,260,183,252,175,157,146,264,248,336,502
2021년01월_남_70~79세,"3,573",628,632,401,212,159,224,132,108,141,210,185,261,280
2021년01월_남_80~89세,"1,901",285,292,211,152,101,150,72,83,83,131,87,107,147
2021년01월_남_90~99세,193,25,40,17,15,14,18,7,10,3,9,12,14,9
2021년01월_남_100세 이상,10,0,3,1,3,0,0,0,0,0,0,2,0,1
2021년01월_여_총인구수,"26,194","5,565","7,014","2,461","1,176",856,"1,347",778,660,616,"1,088","1,054","1,487","2,092"
2021년01월_여_연령구간인구수,"26,194","5,565","7,014","2,461","1,176",856,"1,347",778,660,616,"1,088","1,054","1,487","2,092"
2021년01월_여_0~9세,"1,136",276,503,78,22,18,33,25,13,10,22,21,21,94
2021년01월_여_10~19세,"1,670",407,719,107,23,31,58,37,26,10,31,42,52,127
2021년01월_여_20~29세,"1,622",466,589,125,31,35,60,28,26,12,37,35,66,112
2021년01월_여_30~39세,"1,512",409,566,121,45,21,43,30,23,23,27,38,54,112
2021년01월_여_40~49세,"2,627",728,"1,019",181,55,47,104,40,31,29,66,68,91,168
2021년01월_여_50~59세,"3,874",854,"1,104",341,150,114,169,103,77,77,161,129,245,350
2021년01월_여_60~69세,"5,259","1,041","1,106",531,263,187,275,169,142,162,271,252,373,487
2021년01월_여_70~79세,"4,456",848,769,521,259,186,285,160,142,145,213,221,308,399
2021년01월_여_80~89세,"3,366",456,525,381,279,174,268,160,156,122,213,200,226,206
2021년01월_여_90~99세,638,75,109,71,46,42,49,25,23,25,44,46,47,36
2021년01월_여_100세 이상,34,5,5,4,3,1,3,1,1,1,3,2,4,1
