,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2021년01월_계_총인구수,"579,176","41,861","24,192","20,984","31,412","52,304","18,427","21,667","21,084","34,595","24,901","25,103","34,215","14,419","15,443","37,249","43,764","26,870","44,166","23,179","23,341"
2021년01월_계_연령구간인구수,"579,176","41,861","24,192","20,984","31,412","52,304","18,427","21,667","21,084","34,595","24,901","25,103","34,215","14,419","15,443","37,249","43,764","26,870","44,166","23,179","23,341"
2021년01월_계_0~9세,"39,043","4,124","1,317","1,300","1,702","2,742","1,225","1,299","1,141","2,228","1,246","1,327","1,708",498,706,"3,398","3,776","2,570","4,220","1,155","1,361"
2021년01월_계_10~19세,"44,573","4,561","1,351","1,617","2,053","2,500","1,427","1,644","1,376","2,427","1,662","1,618","1,900",476,586,"4,987","5,495","1,719","4,235","1,445","1,494"
2021년01월_계_20~29세,"86,649","5,401","5,008","3,290","4,153","9,350","2,619","3,108","2,993","5,943","4,248","3,871","8,363","1,680","1,833","4,602","5,275","3,746","5,300","3,304","2,562"
2021년01월_계_30~39세,"98,706","7,342","6,031","3,520","4,634","10,535","2,909","3,159","3,361","6,368","4,185","4,220","8,381","2,398","3,102","4,375","5,523","5,000","6,433","3,533","3,697"
2021년01월_계_40~49세,"90,719","7,663","3,247","3,066","3,910","7,497","3,107","3,227","3,259","5,534","3,669","3,987","4,610","1,505","1,920","7,238","8,637","4,293","7,676","3,205","3,469"
2021년01월_계_50~59세,"86,029","5,968","3,055","3,425","5,346","7,463","2,865","3,309","3,424","4,888","3,963","3,749","4,256","2,176","2,278","5,704","6,570","3,804","6,526","3,696","3,564"
2021년01월_계_60~69세,"76,746","4,237","2,245","2,863","5,290","7,061","2,463","3,447","3,179","4,264","3,632","3,546","3,236","3,235","2,678","3,888","4,991","3,272","5,674","3,652","3,893"
2021년01월_계_70~79세,"39,036","1,762","1,132","1,370","2,555","3,785","1,341","1,770","1,659","2,116","1,641","2,081","1,186","1,544","1,570","2,137","2,579","1,684","2,832","2,143","2,149"
