,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2021년02월_계_총인구수,"253,579","5,510","24,864","9,552","21,057","4,298","6,282","4,711","3,280","3,221","21,830","6,300","5,714","5,268","6,538","13,932","4,722","14,788","5,876","23,131","28,587","22,604","9,741","1,773"
2021년02월_계_연령구간인구수,"253,579","5,510","24,864","9,552","21,057","4,298","6,282","4,711","3,280","3,221","21,830","6,300","5,714","5,268","6,538","13,932","4,722","14,788","5,876","23,131","28,587","22,604","9,741","1,773"
2021년02월_계_0~9세,"16,056",144,"1,163",343,"1,276",208,278,98,52,61,"2,402",192,281,202,164,437,91,"1,160",351,"2,811","2,429","1,217",647,49
2021년02월_계_10~19세,"20,826",229,"2,021",529,"1,176",192,328,197,89,129,"2,423",329,318,317,327,831,200,"1,667",335,"2,562","3,686","2,250",596,95
2021년02월_계_20~29세,"26,574",376,"2,321",717,"2,098",444,593,273,137,178,"2,309",501,534,540,629,"1,983",338,"1,884",478,"2,552","3,717","2,974",822,176
2021년02월_계_30~39세,"25,217",330,"1,783",670,"2,455",466,505,254,132,155,"2,984",370,579,501,544,"1,266",280,"1,455",511,"3,244","3,157","2,321","1,130",125
2021년02월_계_40~49세,"36,661",613,"3,320","1,060","2,882",378,703,398,192,299,"3,817",718,708,641,745,"1,802",512,"2,544",751,"4,191","5,249","3,616","1,310",212
2021년02월_계_50~59세,"46,885","1,005","5,043","1,703","4,225",665,"1,304",868,593,561,"3,609","1,272","1,046",872,"1,166","2,372",829,"2,795","1,019","3,943","5,420","4,509","1,747",319
2021년02월_계_60~69세,"41,659","1,274","4,441","2,085","3,704",841,"1,339","1,145","1,001",759,"2,421","1,351","1,092","1,064","1,447","2,690","1,073","1,796","1,146","2,349","3,044","3,439","1,762",396
2021년02월_계_70~79세,"24,632",932,"2,937","1,468","1,963",607,747,829,646,662,"1,153",908,724,750,998,"1,796",809,939,791,931,"1,181","1,547","1,056",258
2021년02월_계_80~89세,"13,198",530,"1,642",857,"1,110",427,405,581,386,370,628,573,385,339,439,664,523,482,429,476,610,649,573,120
2021년02월_계_90~99세,"1,776",74,181,113,160,66,78,65,51,45,83,84,46,35,67,89,58,65,63,68,92,80,92,21
2021년02월_계_100세 이상,95,3,12,7,8,4,2,3,1,2,1,2,1,7,12,2,9,1,2,4,2,2,6,2
2021년02월_남_총인구수,"126,929","2,761","12,323","4,848","11,129","2,252","3,337","2,364","1,628","1,602","10,778","3,196","2,981","2,611","3,166","6,905","2,337","7,411","2,887","11,425","14,016","11,297","4,790",885
2021년02월_남_연령구간인구수,"126,929","2,761","12,323","4,848","11,129","2,252","3,337","2,364","1,628","1,602","10,778","3,196","2,981","2,611","3,166","6,905","2,337","7,411","2,887","11,425","14,016","11,297","4,790",885
2021년02월_남_0~9세,"8,203",78,600,185,645,110,145,52,29,27,"1,262",87,142,101,72,243,47,589,176,"1,416","1,218",624,329,26
2021년02월_남_10~19세,"10,906",118,"1,035",298,629,122,168,103,48,88,"1,234",169,158,176,180,433,97,889,183,"1,290","1,949","1,188",307,44
2021년02월_남_20~29세,"14,984",235,"1,319",451,"1,210",280,393,162,85,107,"1,235",291,310,305,346,"1,117",206,"1,048",282,"1,419","2,014","1,653",430,86
2021년02월_남_30~39세,"13,478",194,958,390,"1,441",278,301,157,67,85,"1,487",219,320,283,313,748,165,763,250,"1,595","1,525","1,266",597,76
2021년02월_남_40~49세,"19,093",387,"1,741",621,"1,698",249,418,234,113,177,"1,866",414,409,351,416,983,287,"1,230",406,"2,074","2,412","1,794",700,113
2021년02월_남_50~59세,"24,214",557,"2,614",907,"2,305",386,741,488,310,329,"1,799",706,584,440,606,"1,169",462,"1,421",535,"1,906","2,668","2,189",920,172
2021년02월_남_60~69세,"20,532",628,"2,178","1,032","1,943",436,670,602,522,365,"1,175",707,569,483,648,"1,174",542,881,548,"1,181","1,539","1,655",846,208
2021년02월_남_70~79세,"10,986",376,"1,319",649,916,265,354,381,312,285,526,415,348,340,414,776,346,413,354,404,510,695,471,117
2021년02월_남_80~89세,"4,162",174,522,292,308,116,132,168,133,131,187,164,128,124,151,246,168,165,138,126,168,213,172,36
2021년02월_남_90~99세,348,13,35,22,30,9,15,16,9,7,6,24,13,6,17,15,14,12,15,14,13,19,18,6
2021년02월_남_100세 이상,23,1,2,1,4,1,0,1,0,1,1,0,0,2,3,1,3,0,0,0,0,1,0,1
2021년02월_여_총인구수,"126,650","2,749","12,541","4,704","9,928","2,046","2,945","2,347","1,652","1,619","11,052","3,104","2,733","2,657","3,372","7,027","2,385","7,377","2,989","11,706","14,571","11,307","4,951",888
2021년02월_여_연령구간인구수,"126,650","2,749","12,541","4,704","9,928","2,046","2,945","2,347","1,652","1,619","11,052","3,104","2,733","2,657","3,372","7,027","2,385","7,377","2,989","11,706","14,571","11,307","4,951",888
2021년02월_여_0~9세,"7,853",66,563,158,631,98,133,46,23,34,"1,140",105,139,101,92,194,44,571,175,"1,395","1,211",593,318,23
2021년02월_여_10~19세,"9,920",111,986,231,547,70,160,94,41,41,"1,189",160,160,141,147,398,103,778,152,"1,272","1,737","1,062",289,51
2021년02월_여_20~29세,"11,590",141,"1,002",266,888,164,200,111,52,71,"1,074",210,224,235,283,866,132,836,196,"1,133","1,703","1,321",392,90
2021년02월_여_30~39세,"11,739",136,825,280,"1,014",188,204,97,65,70,"1,497",151,259,218,231,518,115,692,261,"1,649","1,632","1,055",533,49
2021년02월_여_40~49세,"17,568",226,"1,579",439,"1,184",129,285,164,79,122,"1,951",304,299,290,329,819,225,"1,314",345,"2,117","2,837","1,822",610,99
2021년02월_여_50~59세,"22,671",448,"2,429",796,"1,920",279,563,380,283,232,"1,810",566,462,432,560,"1,203",367,"1,374",484,"2,037","2,752","2,320",827,147
2021년02월_여_60~69세,"21,127",646,"2,263","1,053","1,761",405,669,543,479,394,"1,246",644,523,581,799,"1,516",531,915,598,"1,168","1,505","1,784",916,188
2021년02월_여_70~79세,"13,646",556,"1,618",819,"1,047",342,393,448,334,377,627,493,376,410,584,"1,020",463,526,437,527,671,852,585,141
2021년02월_여_80~89세,"9,036",356,"1,120",565,802,311,273,413,253,239,441,409,257,215,288,418,355,317,291,350,442,436,401,84
2021년02월_여_90~99세,"1,428",61,146,91,130,57,63,49,42,38,77,60,33,29,50,74,44,53,48,54,79,61,74,15
2021년02월_여_100세 이상,72,2,10,6,4,3,2,2,1,1,0,2,1,5,9,1,6,1,2,4,2,1,6,1
