카테고리,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2020년01월_계_총인구수,"95,006","17,338","20,653","2,974","3,097","13,217","15,712","7,105","4,629","10,281"
2020년01월_계_연령구간인구수,"95,006","17,338","20,653","2,974","3,097","13,217","15,712","7,105","4,629","10,281"
2020년01월_계_0~9세,"6,555","1,010","1,502",55,76,"1,703","1,215",278,188,528
2020년01월_계_10~19세,"8,065","1,484","2,164",122,136,974,"1,644",469,238,834
2020년01월_계_20~29세,"9,931","1,831","2,357",191,203,"1,465","1,788",661,365,"1,070"
2020년01월_계_30~39세,"10,404","1,638","2,232",170,175,"2,485","1,809",625,339,931
2020년01월_계_40~49세,"14,284","2,446","3,487",248,242,"2,201","2,887",920,517,"1,336"
2020년01월_계_50~59세,"17,996","3,342","3,939",569,576,"1,809","3,126","1,609",961,"2,065"
2020년01월_계_60~69세,"14,293","2,870","2,641",670,748,"1,398","1,817","1,331",999,"1,819"
2020년01월_계_70~79세,"8,256","1,725","1,444",537,553,757,881,727,590,"1,042"
2020년01월_계_80~89세,"4,505",866,770,363,327,344,477,426,370,562
2020년01월_계_90~99세,662,120,102,47,59,65,68,55,57,89
2020년01월_계_100세 이상,55,6,15,2,2,16,0,4,5,5
2020년01월_남_총인구수,"50,268","8,835","10,963","1,532","1,606","7,080","8,571","3,913","2,520","5,248"
2020년01월_남_연령구간인구수,"50,268","8,835","10,963","1,532","1,606","7,080","8,571","3,913","2,520","5,248"
2020년01월_남_0~9세,"3,422",509,793,30,38,907,623,164,103,255
2020년01월_남_10~19세,"4,203",753,"1,179",68,84,496,854,254,114,401
2020년01월_남_20~29세,"5,751","1,028","1,405",118,111,771,"1,067",397,237,617
2020년01월_남_30~39세,"5,779",906,"1,216",105,104,"1,314","1,049",388,202,495
2020년01월_남_40~49세,"8,067","1,311","1,913",159,158,"1,253","1,596",590,330,757
2020년01월_남_50~59세,"9,956","1,782","2,192",310,319,991,"1,821",909,555,"1,077"
2020년01월_남_60~69세,"7,515","1,439","1,334",351,409,805,977,717,547,936
2020년01월_남_70~79세,"3,855",784,635,243,261,381,405,339,294,513
2020년01월_남_80~89세,"1,535",285,272,140,105,134,162,140,121,176
2020년01월_남_90~99세,160,35,21,8,16,14,17,13,15,21
2020년01월_남_100세 이상,25,3,3,0,1,14,0,2,2,0
2020년01월_여_총인구수,"44,738","8,503","9,690","1,442","1,491","6,137","7,141","3,192","2,109","5,033"
2020년01월_여_연령구간인구수,"44,738","8,503","9,690","1,442","1,491","6,137","7,141","3,192","2,109","5,033"
2020년01월_여_0~9세,"3,133",501,709,25,38,796,592,114,85,273
2020년01월_여_10~19세,"3,862",731,985,54,52,478,790,215,124,433
2020년01월_여_20~29세,"4,180",803,952,73,92,694,721,264,128,453
2020년01월_여_30~39세,"4,625",732,"1,016",65,71,"1,171",760,237,137,436
2020년01월_여_40~49세,"6,217","1,135","1,574",89,84,948,"1,291",330,187,579
2020년01월_여_50~59세,"8,040","1,560","1,747",259,257,818,"1,305",700,406,988
2020년01월_여_60~69세,"6,778","1,431","1,307",319,339,593,840,614,452,883
2020년01월_여_70~79세,"4,401",941,809,294,292,376,476,388,296,529
2020년01월_여_80~89세,"2,970",581,498,223,222,210,315,286,249,386
2020년01월_여_90~99세,502,85,81,39,43,51,51,42,42,68
2020년01월_여_100세 이상,30,3,12,2,1,2,0,2,3,5
