카테고리,전라북도 완주군,전라북도 완주군 삼례읍,전라북도 완주군 봉동읍,전라북도 완주군 용진읍,전라북도 완주군 상관면,전라북도 완주군 이서면,전라북도 완주군 소양면,전라북도 완주군 구이면,전라북도 완주군 고산면,전라북도 완주군 비봉면,전라북도 완주군 운주면,전라북도 완주군 화산면,전라북도 완주군 동상면,전라북도 완주군 경천면
2021년02월_계_총인구수,"91,422","14,337","25,955","7,117","4,406","14,268","6,190","5,801","4,703","1,895","1,942","2,765","1,073",970
2021년02월_계_연령구간인구수,"91,422","14,337","25,955","7,117","4,406","14,268","6,190","5,801","4,703","1,895","1,942","2,765","1,073",970
2021년02월_계_0~9세,"6,760",703,"2,856",374,282,"1,637",230,197,238,60,52,79,32,20
2021년02월_계_10~19세,"8,251","1,176","3,366",490,381,"1,345",353,379,283,106,58,227,40,47
2021년02월_계_20~29세,"8,895","1,753","2,663",707,394,"1,370",529,542,378,130,98,212,77,42
2021년02월_계_30~39세,"9,246","1,203","3,348",570,334,"2,230",424,376,337,100,83,139,56,46
2021년02월_계_40~49세,"13,544","2,079","4,759",922,643,"2,519",620,575,564,196,185,314,88,80
2021년02월_계_50~59세,"15,162","2,455","3,633","1,319",796,"2,127","1,219","1,188",849,326,374,459,250,167
2021년02월_계_60~69세,"14,069","2,345","2,626","1,307",762,"1,583","1,367","1,257",868,401,474,554,283,242
2021년02월_계_70~79세,"9,309","1,529","1,677",884,514,931,868,766,693,324,371,427,140,185
2021년02월_계_80~89세,"5,316",954,868,471,248,457,504,452,417,203,219,300,94,129
2021년02월_계_90~99세,824,137,152,67,46,66,69,64,75,46,27,51,13,11
2021년02월_계_100세 이상,46,3,7,6,6,3,7,5,1,3,1,3,0,1
2021년02월_남_총인구수,"46,951","7,351","13,514","3,681","2,264","7,195","3,203","2,913","2,402",961,974,"1,450",549,494
2021년02월_남_연령구간인구수,"46,951","7,351","13,514","3,681","2,264","7,195","3,203","2,913","2,402",961,974,"1,450",549,494
2021년02월_남_0~9세,"3,384",338,"1,468",174,146,812,110,91,119,32,24,41,21,8
2021년02월_남_10~19세,"4,314",588,"1,764",270,197,675,196,194,171,57,36,125,16,25
2021년02월_남_20~29세,"4,949",963,"1,523",418,228,697,299,291,219,69,51,116,45,30
2021년02월_남_30~39세,"4,777",692,"1,669",296,173,"1,105",243,186,183,49,55,75,26,25
2021년02월_남_40~49세,"7,481","1,146","2,607",515,333,"1,358",369,307,330,112,111,186,55,52
2021년02월_남_50~59세,"8,438","1,410","2,033",753,456,"1,134",651,634,467,187,206,284,130,93
2021년02월_남_60~69세,"7,305","1,174","1,354",673,386,811,718,685,451,216,248,302,160,127
2021년02월_남_70~79세,"4,319",690,774,398,247,430,427,366,308,159,163,208,68,81
2021년02월_남_80~89세,"1,798",319,287,163,92,152,178,148,135,70,74,104,25,51
2021년02월_남_90~99세,178,30,33,21,6,21,10,11,18,8,6,9,3,2
2021년02월_남_100세 이상,8,1,2,0,0,0,2,0,1,2,0,0,0,0
2021년02월_여_총인구수,"44,471","6,986","12,441","3,436","2,142","7,073","2,987","2,888","2,301",934,968,"1,315",524,476
2021년02월_여_연령구간인구수,"44,471","6,986","12,441","3,436","2,142","7,073","2,987","2,888","2,301",934,968,"1,315",524,476
2021년02월_여_0~9세,"3,376",365,"1,388",200,136,825,120,106,119,28,28,38,11,12
2021년02월_여_10~19세,"3,937",588,"1,602",220,184,670,157,185,112,49,22,102,24,22
2021년02월_여_20~29세,"3,946",790,"1,140",289,166,673,230,251,159,61,47,96,32,12
2021년02월_여_30~39세,"4,469",511,"1,679",274,161,"1,125",181,190,154,51,28,64,30,21
2021년02월_여_40~49세,"6,063",933,"2,152",407,310,"1,161",251,268,234,84,74,128,33,28
2021년02월_여_50~59세,"6,724","1,045","1,600",566,340,993,568,554,382,139,168,175,120,74
2021년02월_여_60~69세,"6,764","1,171","1,272",634,376,772,649,572,417,185,226,252,123,115
2021년02월_여_70~79세,"4,990",839,903,486,267,501,441,400,385,165,208,219,72,104
2021년02월_여_80~89세,"3,518",635,581,308,156,305,326,304,282,133,145,196,69,78
2021년02월_여_90~99세,646,107,119,46,40,45,59,53,57,38,21,42,10,9
2021년02월_여_100세 이상,38,2,5,6,6,3,5,5,0,1,1,3,0,1
