,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2020년10월_계_총인구수,"431,684","5,029","6,902","4,998","3,279","8,011","11,875","38,149","19,618","12,551","13,529","23,468","10,789","6,052","19,038","16,527","16,343","8,012","16,568","13,989","14,479","30,553","14,242","11,452","12,801","2,685","22,635","38,248","29,862"
2020년10월_계_연령구간인구수,"431,684","5,029","6,902","4,998","3,279","8,011","11,875","38,149","19,618","12,551","13,529","23,468","10,789","6,052","19,038","16,527","16,343","8,012","16,568","13,989","14,479","30,553","14,242","11,452","12,801","2,685","22,635","38,248","29,862"
2020년10월_계_0~9세,"33,910",234,276,272,87,570,449,"2,621","1,804",582,943,"2,228",410,550,"1,455","1,130","1,163",321,943,492,"1,007","2,473","1,228",682,521,71,"2,732","4,019","4,647"
2020년10월_계_10~19세,"43,277",200,476,318,120,560,718,"3,813","2,273",950,"1,450","2,357",699,532,"1,504","1,966","1,520",660,"1,416",863,"1,726","4,720","1,765","1,089",827,147,"2,563","4,208","3,837"
2020년10월_계_20~29세,"62,802",983,"1,349",908,509,946,"2,238","7,122","2,597","1,822","2,042","3,091","1,371",747,"2,353","2,488","2,631","1,132","2,372","1,673","2,376","4,799","2,027","1,886","1,955",256,"2,818","5,224","3,087"
2020년10월_계_30~39세,"55,884",959,781,722,404,"1,139","1,694","4,627","2,331","1,405","1,556","3,573","1,011",832,"2,669","1,673","2,049",816,"1,882","1,331","1,714","2,962","1,716","1,254","1,494",222,"3,623","6,038","5,407"
2020년10월_계_40~49세,"67,845",611,911,723,418,"1,176","1,607","5,626","3,135","1,711","1,939","3,825","1,321",962,"2,678","2,537","2,470","1,059","2,256","1,654","2,474","5,821","2,338","1,713","1,610",259,"4,053","6,683","6,275"
2020년10월_계_50~59세,"72,033",698,972,722,576,"1,245","1,911","6,650","3,138","2,212","2,437","3,806","1,858",919,"3,203","3,064","2,660","1,412","2,982","2,690","2,672","5,606","2,467","2,194","2,519",552,"3,346","5,873","3,649"
2020년10월_계_60~69세,"52,950",689,"1,017",653,577,"1,189","1,648","4,411","2,617","2,091","1,883","2,718","2,077",759,"2,753","2,160","2,067","1,293","2,628","2,757","1,491","2,306","1,551","1,518","2,137",557,"1,942","3,599","1,862"
2020년10월_계_70~79세,"29,217",453,742,477,385,868,"1,098","2,331","1,250","1,240",850,"1,342","1,386",513,"1,635","1,024","1,195",925,"1,479","1,638",708,"1,168",743,786,"1,101",373,989,"1,765",753
2020년10월_계_80~89세,"11,955",174,337,181,161,271,445,841,401,485,371,452,563,206,680,427,515,339,532,780,266,610,354,281,559,209,490,730,295
2020년10월_계_90~99세,"1,691",22,38,16,38,42,59,103,68,50,54,74,80,30,98,57,72,52,74,103,45,85,50,43,76,35,74,105,48
2020년10월_계_100세 이상,120,6,3,6,4,5,8,4,4,3,4,2,13,2,10,1,1,3,4,8,0,3,3,6,2,4,5,4,2
2020년10월_남_총인구수,"214,238","2,588","3,515","2,618","1,750","3,972","6,222","19,021","9,438","6,312","6,517","11,593","5,258","3,011","9,353","8,081","7,777","4,008","8,221","6,706","7,479","14,939","6,993","5,772","6,278","1,401","11,415","19,233","14,767"
