카테고리,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2021년06월_계_총인구수,"34,587","6,791","1,397","1,061","2,021","2,867","1,816","4,159","5,596","5,644","1,168","2,067"
2021년06월_계_연령구간인구수,"34,587","6,791","1,397","1,061","2,021","2,867","1,816","4,159","5,596","5,644","1,168","2,067"
2021년06월_계_0~9세,"1,250",368,41,34,51,83,31,114,156,304,35,33
2021년06월_계_10~19세,"2,049",540,39,46,86,159,71,280,199,483,43,103
2021년06월_계_20~29세,"2,349",621,59,44,99,148,99,301,348,486,55,89
2021년06월_계_30~39세,"2,049",599,57,40,84,185,64,200,275,410,57,78
2021년06월_계_40~49세,"3,393",817,105,88,129,261,146,450,515,637,80,165
2021년06월_계_50~59세,"6,344","1,129",226,167,308,521,377,885,"1,144","1,066",169,352
2021년06월_계_60~69세,"7,610","1,202",349,219,461,609,457,954,"1,387","1,159",317,496
2021년06월_계_70~79세,"5,199",856,260,201,424,485,323,569,886,579,220,396
2021년06월_계_80~89세,"3,746",552,228,190,331,348,221,350,592,460,161,313
2021년06월_계_90~99세,583,104,32,31,46,67,26,54,91,60,31,41
2021년06월_계_100세 이상,15,3,1,1,2,1,1,2,3,0,0,1
2021년06월_남_총인구수,"16,992","3,288",682,506,978,"1,407",891,"2,060","2,817","2,784",555,"1,024"
2021년06월_남_연령구간인구수,"16,992","3,288",682,506,978,"1,407",891,"2,060","2,817","2,784",555,"1,024"
2021년06월_남_0~9세,652,187,21,14,36,46,21,55,94,149,15,14
2021년06월_남_10~19세,"1,105",286,26,29,51,85,44,157,105,240,21,61
2021년06월_남_20~29세,"1,338",353,31,22,58,84,55,164,207,283,30,51
2021년06월_남_30~39세,"1,092",304,34,19,51,99,40,97,156,214,32,46
2021년06월_남_40~49세,"1,874",416,60,52,88,153,80,238,306,321,55,105
2021년06월_남_50~59세,"3,451",582,145,105,178,294,197,473,611,550,102,214
2021년06월_남_60~69세,"3,948",604,179,113,237,317,237,470,731,632,163,265
2021년06월_남_70~79세,"2,313",381,118,81,174,206,139,266,420,256,93,179
2021년06월_남_80~89세,"1,102",157,59,65,96,106,74,123,178,129,38,77
2021년06월_남_90~99세,115,18,9,6,8,17,4,16,9,10,6,12
2021년06월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2021년06월_여_총인구수,"17,595","3,503",715,555,"1,043","1,460",925,"2,099","2,779","2,860",613,"1,043"
2021년06월_여_연령구간인구수,"17,595","3,503",715,555,"1,043","1,460",925,"2,099","2,779","2,860",613,"1,043"
2021년06월_여_0~9세,598,181,20,20,15,37,10,59,62,155,20,19
2021년06월_여_10~19세,944,254,13,17,35,74,27,123,94,243,22,42
2021년06월_여_20~29세,"1,011",268,28,22,41,64,44,137,141,203,25,38
2021년06월_여_30~39세,957,295,23,21,33,86,24,103,119,196,25,32
2021년06월_여_40~49세,"1,519",401,45,36,41,108,66,212,209,316,25,60
2021년06월_여_50~59세,"2,893",547,81,62,130,227,180,412,533,516,67,138
2021년06월_여_60~69세,"3,662",598,170,106,224,292,220,484,656,527,154,231
2021년06월_여_70~79세,"2,886",475,142,120,250,279,184,303,466,323,127,217
2021년06월_여_80~89세,"2,644",395,169,125,235,242,147,227,414,331,123,236
2021년06월_여_90~99세,468,86,23,25,38,50,22,38,82,50,25,29
2021년06월_여_100세 이상,13,3,1,1,1,1,1,1,3,0,0,1
