카테고리,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2020년11월_계_총인구수,"103,272","10,646","2,365","1,456","1,966","2,208","3,056","2,759","2,035","1,909","3,132","7,979","6,154","4,093","3,573","6,715","8,241","8,044","18,944","7,997"
2020년11월_계_연령구간인구수,"103,272","10,646","2,365","1,456","1,966","2,208","3,056","2,759","2,035","1,909","3,132","7,979","6,154","4,093","3,573","6,715","8,241","8,044","18,944","7,997"
2020년11월_계_0~9세,"6,129",470,56,22,56,56,86,73,41,26,55,496,340,166,171,504,441,455,"2,066",549
2020년11월_계_10~19세,"8,911",712,102,56,87,109,128,135,85,64,126,973,594,292,255,872,620,707,"2,176",818
2020년11월_계_20~29세,"9,656",933,187,84,145,152,206,163,140,104,137,792,607,314,293,705,945,964,"1,936",849
2020년11월_계_30~39세,"8,528",728,123,48,104,117,160,122,89,86,145,592,459,296,261,538,696,631,"2,552",781
2020년11월_계_40~49세,"13,970","1,256",181,101,181,194,267,272,145,157,214,"1,313",861,496,414,"1,161","1,061","1,066","3,390","1,240"
2020년11월_계_50~59세,"17,994","1,870",481,258,336,361,515,526,374,348,599,"1,381","1,106",705,644,"1,207","1,569","1,601","2,713","1,400"
2020년11월_계_60~69세,"18,302","2,281",548,344,451,510,721,705,547,465,823,"1,159","1,032",866,735,859,"1,469","1,395","2,173","1,219"
2020년11월_계_70~79세,"11,893","1,454",354,289,313,376,534,455,341,337,593,789,729,586,524,556,941,787,"1,239",696
2020년11월_계_80~89세,"6,827",787,288,216,243,277,381,262,230,278,383,405,383,329,245,279,444,378,621,398
2020년11월_계_90~99세,"1,002",143,44,35,47,53,57,39,42,43,53,76,40,40,30,32,52,58,75,43
2020년11월_계_100세 이상,60,12,1,3,3,3,1,7,1,1,4,3,3,3,1,2,3,2,3,4
2020년11월_남_총인구수,"51,170","5,242","1,217",736,999,"1,118","1,545","1,401","1,018",955,"1,555","3,982","2,944","1,992","1,706","3,342","4,049","4,009","9,520","3,840"
2020년11월_남_연령구간인구수,"51,170","5,242","1,217",736,999,"1,118","1,545","1,401","1,018",955,"1,555","3,982","2,944","1,992","1,706","3,342","4,049","4,009","9,520","3,840"
2020년11월_남_0~9세,"3,165",245,29,15,29,32,43,36,24,14,32,258,177,99,98,250,205,226,"1,073",280
2020년11월_남_10~19세,"4,644",353,49,27,45,57,69,68,45,36,69,517,296,134,140,459,341,392,"1,121",426
2020년11월_남_20~29세,"5,674",588,122,56,90,96,130,100,94,73,73,479,343,186,158,429,533,575,"1,109",440
2020년11월_남_30~39세,"4,552",388,69,29,65,77,107,68,54,54,86,313,250,163,129,272,378,341,"1,300",409
2020년11월_남_40~49세,"7,246",669,106,67,112,112,167,173,79,98,135,635,428,263,209,556,545,511,"1,758",623
2020년11월_남_50~59세,"9,174",936,270,146,180,193,268,272,196,182,316,727,561,380,326,628,744,802,"1,389",658
2020년11월_남_60~69세,"8,767","1,118",284,174,244,268,367,355,279,252,415,546,461,388,317,382,672,650,"1,018",577
2020년11월_남_70~79세,"5,336",638,174,138,144,174,253,229,156,149,282,351,284,253,234,258,436,362,520,301
2020년11월_남_80~89세,"2,387",274,102,73,82,98,132,86,83,87,137,149,133,113,89,97,182,136,215,119
2020년11월_남_90~99세,213,29,12,11,8,11,9,12,7,9,9,7,10,13,6,11,12,14,16,7
2020년11월_남_100세 이상,12,4,0,0,0,0,0,2,1,1,1,0,1,0,0,0,1,0,1,0
2020년11월_여_총인구수,"52,102","5,404","1,148",720,967,"1,090","1,511","1,358","1,017",954,"1,577","3,997","3,210","2,101","1,867","3,373","4,192","4,035","9,424","4,157"
2020년11월_여_연령구간인구수,"52,102","5,404","1,148",720,967,"1,090","1,511","1,358","1,017",954,"1,577","3,997","3,210","2,101","1,867","3,373","4,192","4,035","9,424","4,157"
2020년11월_여_0~9세,"2,964",225,27,7,27,24,43,37,17,12,23,238,163,67,73,254,236,229,993,269
2020년11월_여_10~19세,"4,267",359,53,29,42,52,59,67,40,28,57,456,298,158,115,413,279,315,"1,055",392
2020년11월_여_20~29세,"3,982",345,65,28,55,56,76,63,46,31,64,313,264,128,135,276,412,389,827,409
2020년11월_여_30~39세,"3,976",340,54,19,39,40,53,54,35,32,59,279,209,133,132,266,318,290,"1,252",372
2020년11월_여_40~49세,"6,724",587,75,34,69,82,100,99,66,59,79,678,433,233,205,605,516,555,"1,632",617
2020년11월_여_50~59세,"8,820",934,211,112,156,168,247,254,178,166,283,654,545,325,318,579,825,799,"1,324",742
2020년11월_여_60~69세,"9,535","1,163",264,170,207,242,354,350,268,213,408,613,571,478,418,477,797,745,"1,155",642
2020년11월_여_70~79세,"6,557",816,180,151,169,202,281,226,185,188,311,438,445,333,290,298,505,425,719,395
2020년11월_여_80~89세,"4,440",513,186,143,161,179,249,176,147,191,246,256,250,216,156,182,262,242,406,279
2020년11월_여_90~99세,789,114,32,24,39,42,48,27,35,34,44,69,30,27,24,21,40,44,59,36
2020년11월_여_100세 이상,48,8,1,3,3,3,1,5,0,0,3,3,2,3,1,2,2,2,2,4
