카테고리,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2020년12월_계_총인구수,"151,769","49,131","2,212","3,126","2,877","2,867","2,831","1,840","1,648","58,469","12,593","12,344","1,831"
2020년12월_계_연령구간인구수,"151,769","49,131","2,212","3,126","2,877","2,867","2,831","1,840","1,648","58,469","12,593","12,344","1,831"
2020년12월_계_0~9세,"13,388","4,477",70,90,61,67,72,41,32,"6,529",979,915,55
2020년12월_계_10~19세,"16,046","5,159",136,144,115,135,85,92,65,"7,394","1,210","1,383",128
2020년12월_계_20~29세,"20,204","6,248",214,273,269,216,196,125,129,"8,408","1,723","2,200",203
2020년12월_계_30~39세,"18,537","5,972",148,163,172,156,166,108,129,"8,707","1,342","1,338",136
2020년12월_계_40~49세,"23,894","8,085",217,273,267,224,268,167,164,"10,646","1,978","1,403",202
2020년12월_계_50~59세,"29,079","8,508",445,675,578,553,507,348,318,"10,916","2,871","2,959",401
2020년12월_계_60~69세,"17,003","5,898",398,618,597,586,598,421,307,"3,925","1,634","1,689",332
2020년12월_계_70~79세,"8,161","2,927",312,485,459,504,533,297,272,"1,266",567,326,213
2020년12월_계_80~89세,"4,688","1,589",226,349,313,361,333,212,203,596,254,111,141
2020년12월_계_90~99세,745,257,45,54,45,62,71,28,29,79,35,20,20
2020년12월_계_100세 이상,24,11,1,2,1,3,2,1,0,3,0,0,0
2020년12월_남_총인구수,"79,144","25,139","1,149","1,549","1,478","1,435","1,398",926,915,"30,734","6,680","6,730","1,011"
2020년12월_남_연령구간인구수,"79,144","25,139","1,149","1,549","1,478","1,435","1,398",926,915,"30,734","6,680","6,730","1,011"
2020년12월_남_0~9세,"6,797","2,272",45,39,31,29,31,16,14,"3,304",512,475,29
2020년12월_남_10~19세,"8,299","2,697",84,71,63,78,46,50,38,"3,792",615,691,74
2020년12월_남_20~29세,"11,786","3,445",129,170,159,135,123,76,84,"4,847","1,030","1,452",136
2020년12월_남_30~39세,"9,935","3,066",84,87,102,88,98,64,82,"4,645",742,787,90
2020년12월_남_40~49세,"12,236","4,248",132,143,156,133,164,108,114,"5,290","1,045",569,134
2020년12월_남_50~59세,"15,929","4,521",253,395,324,322,302,192,214,"6,006","1,550","1,617",233
2020년12월_남_60~69세,"8,925","3,038",205,319,318,299,290,221,166,"2,107",862,918,182
2020년12월_남_70~79세,"3,621","1,301",135,205,202,220,225,115,126,548,259,192,93
2020년12월_남_80~89세,"1,487",501,69,109,115,121,112,80,72,184,61,25,38
2020년12월_남_90~99세,124,49,12,10,8,10,7,4,5,9,4,4,2
2020년12월_남_100세 이상,5,1,1,1,0,0,0,0,0,2,0,0,0
2020년12월_여_총인구수,"72,625","23,992","1,063","1,577","1,399","1,432","1,433",914,733,"27,735","5,913","5,614",820
2020년12월_여_연령구간인구수,"72,625","23,992","1,063","1,577","1,399","1,432","1,433",914,733,"27,735","5,913","5,614",820
2020년12월_여_0~9세,"6,591","2,205",25,51,30,38,41,25,18,"3,225",467,440,26
2020년12월_여_10~19세,"7,747","2,462",52,73,52,57,39,42,27,"3,602",595,692,54
2020년12월_여_20~29세,"8,418","2,803",85,103,110,81,73,49,45,"3,561",693,748,67
2020년12월_여_30~39세,"8,602","2,906",64,76,70,68,68,44,47,"4,062",600,551,46
2020년12월_여_40~49세,"11,658","3,837",85,130,111,91,104,59,50,"5,356",933,834,68
2020년12월_여_50~59세,"13,150","3,987",192,280,254,231,205,156,104,"4,910","1,321","1,342",168
2020년12월_여_60~69세,"8,078","2,860",193,299,279,287,308,200,141,"1,818",772,771,150
2020년12월_여_70~79세,"4,540","1,626",177,280,257,284,308,182,146,718,308,134,120
2020년12월_여_80~89세,"3,201","1,088",157,240,198,240,221,132,131,412,193,86,103
2020년12월_여_90~99세,621,208,33,44,37,52,64,24,24,70,31,16,18
2020년12월_여_100세 이상,19,10,0,1,1,3,2,1,0,1,0,0,0
