카테고리,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020년01월_계_총인구수,"240,215","17,378","15,011","13,847","14,080","4,838","16,084","5,464","6,957","10,079","10,576","13,973","26,900","6,717","13,910","23,165","13,091","28,145"
2020년01월_계_연령구간인구수,"240,215","17,378","15,011","13,847","14,080","4,838","16,084","5,464","6,957","10,079","10,576","13,973","26,900","6,717","13,910","23,165","13,091","28,145"
2020년01월_계_0~9세,"16,533",986,"1,623",849,"1,031",192,797,192,334,597,684,"1,344","2,106",351,922,"2,142",711,"1,672"
2020년01월_계_10~19세,"23,194","1,154","2,465","1,351","1,124",310,"1,231",276,503,820,841,"1,724","3,330",376,"1,039","2,994","1,177","2,479"
2020년01월_계_20~29세,"31,448","2,969","1,685","1,712","2,317",521,"1,869",923,827,"1,801","1,472","1,543","3,173",872,"1,816","2,844","1,667","3,437"
2020년01월_계_30~39세,"27,808","2,590","1,717","1,500","2,042",489,"1,707",576,691,"1,328","1,342","1,737","2,655",904,"1,636","2,671","1,325","2,898"
2020년01월_계_40~49세,"38,184","2,787","3,283","2,214","2,117",636,"2,151",673,977,"1,533","1,552","2,549","4,565",983,"1,953","4,073","1,974","4,164"
2020년01월_계_50~59세,"40,454","2,877","2,056","2,479","2,094",875,"2,998",969,"1,309","1,518","1,727","2,192","4,518","1,242","2,284","3,489","2,462","5,365"
2020년01월_계_60~69세,"32,385","2,268","1,163","1,974","1,755",837,"2,770",861,"1,142","1,170","1,386","1,488","3,355","1,099","2,190","2,463","1,904","4,560"
2020년01월_계_70~79세,"20,089","1,172",678,"1,147","1,059",646,"1,812",650,765,858,950,966,"2,093",623,"1,386","1,673","1,188","2,423"
2020년01월_계_80~89세,"8,845",487,297,543,454,291,657,300,345,397,544,380,978,239,592,723,616,"1,002"
2020년01월_계_90~99세,"1,198",83,39,74,82,38,86,37,60,50,77,50,118,26,85,89,64,140
2020년01월_계_100세 이상,77,5,5,4,5,3,6,7,4,7,1,0,9,2,7,4,3,5
2020년01월_남_총인구수,"118,757","9,006","7,215","6,709","6,928","2,516","8,127","2,706","3,475","4,826","5,006","6,817","13,001","3,558","6,855","11,236","6,395","14,381"
2020년01월_남_연령구간인구수,"118,757","9,006","7,215","6,709","6,928","2,516","8,127","2,706","3,475","4,826","5,006","6,817","13,001","3,558","6,855","11,236","6,395","14,381"
2020년01월_남_0~9세,"8,446",475,821,420,541,105,413,111,181,287,343,717,"1,076",187,469,"1,111",358,831
2020년01월_남_10~19세,"11,987",600,"1,218",715,602,174,627,153,270,367,419,850,"1,712",224,557,"1,550",632,"1,317"
2020년01월_남_20~29세,"16,236","1,427",852,923,"1,053",294,"1,025",440,430,828,743,795,"1,691",490,931,"1,443",937,"1,934"
2020년01월_남_30~39세,"14,267","1,395",762,774,"1,035",284,991,320,376,695,657,842,"1,267",504,856,"1,251",704,"1,554"
2020년01월_남_40~49세,"19,425","1,583","1,548","1,107","1,135",369,"1,155",386,525,788,738,"1,221","2,159",567,"1,012","1,923",980,"2,229"
2020년01월_남_50~59세,"20,308","1,593","1,086","1,213","1,061",492,"1,485",476,657,774,834,"1,111","2,193",642,"1,100","1,717","1,183","2,691"
2020년01월_남_60~69세,"15,393","1,179",515,872,840,417,"1,330",404,542,566,642,710,"1,524",553,"1,006","1,154",893,"2,246"
2020년01월_남_70~79세,"9,055",545,284,487,466,278,849,279,348,361,409,422,966,284,656,762,488,"1,171"
2020년01월_남_80~89세,"3,342",186,120,179,174,95,237,123,131,145,207,140,379,102,246,301,206,371
2020년01월_남_90~99세,279,21,8,19,20,7,15,10,13,11,14,9,33,5,20,23,14,37
2020년01월_남_100세 이상,19,2,1,0,1,1,0,4,2,4,0,0,1,0,2,1,0,0
2020년01월_여_총인구수,"121,458","8,372","7,796","7,138","7,152","2,322","7,957","2,758","3,482","5,253","5,570","7,156","13,899","3,159","7,055","11,929","6,696","13,764"
2020년01월_여_연령구간인구수,"121,458","8,372","7,796","7,138","7,152","2,322","7,957","2,758","3,482","5,253","5,570","7,156","13,899","3,159","7,055","11,929","6,696","13,764"
2020년01월_여_0~9세,"8,087",511,802,429,490,87,384,81,153,310,341,627,"1,030",164,453,"1,031",353,841
2020년01월_여_10~19세,"11,207",554,"1,247",636,522,136,604,123,233,453,422,874,"1,618",152,482,"1,444",545,"1,162"
