,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2021년01월_계_총인구수,"24,046","9,455","2,242","4,063","2,610","4,260","1,416"
2021년01월_계_연령구간인구수,"24,046","9,455","2,242","4,063","2,610","4,260","1,416"
2021년01월_계_0~9세,"1,199",728,59,185,65,126,36
2021년01월_계_10~19세,"1,828",994,115,295,116,252,56
2021년01월_계_20~29세,"1,771",875,116,324,146,248,62
2021년01월_계_30~39세,"1,702",880,138,258,125,235,66
2021년01월_계_40~49세,"2,871","1,462",188,501,231,382,107
2021년01월_계_50~59세,"4,180","1,468",443,796,454,772,247
2021년01월_계_60~69세,"4,421","1,296",516,764,556,928,361
2021년01월_계_70~79세,"3,392","1,001",373,540,493,710,275
2021년01월_계_80~89세,"2,325",631,256,356,376,530,176
2021년01월_계_90~99세,335,112,38,42,45,69,29
2021년01월_계_100세 이상,22,8,0,2,3,8,1
2021년01월_남_총인구수,"11,979","4,717","1,112","2,049","1,284","2,109",708
2021년01월_남_연령구간인구수,"11,979","4,717","1,112","2,049","1,284","2,109",708
2021년01월_남_0~9세,639,388,33,104,31,66,17
2021년01월_남_10~19세,936,503,68,160,55,123,27
2021년01월_남_20~29세,985,476,63,177,86,144,39
2021년01월_남_30~39세,933,453,79,150,75,137,39
2021년01월_남_40~49세,"1,598",766,110,280,137,237,68
2021년01월_남_50~59세,"2,305",821,230,442,254,421,137
2021년01월_남_60~69세,"2,280",632,269,393,301,487,198
2021년01월_남_70~79세,"1,419",430,170,210,200,294,115
2021년01월_남_80~89세,803,225,80,125,130,183,60
2021년01월_남_90~99세,76,22,10,8,14,14,8
2021년01월_남_100세 이상,5,1,0,0,1,3,0
2021년01월_여_총인구수,"12,067","4,738","1,130","2,014","1,326","2,151",708
2021년01월_여_연령구간인구수,"12,067","4,738","1,130","2,014","1,326","2,151",708
2021년01월_여_0~9세,560,340,26,81,34,60,19
2021년01월_여_10~19세,892,491,47,135,61,129,29
2021년01월_여_20~29세,786,399,53,147,60,104,23
2021년01월_여_30~39세,769,427,59,108,50,98,27
2021년01월_여_40~49세,"1,273",696,78,221,94,145,39
2021년01월_여_50~59세,"1,875",647,213,354,200,351,110
2021년01월_여_60~69세,"2,141",664,247,371,255,441,163
2021년01월_여_70~79세,"1,973",571,203,330,293,416,160
2021년01월_여_80~89세,"1,522",406,176,231,246,347,116
2021년01월_여_90~99세,259,90,28,34,31,55,21
2021년01월_여_100세 이상,17,7,0,2,2,5,1
