카테고리,경기도 의왕시,경기도 의왕시 고천동,경기도 의왕시 부곡동,경기도 의왕시 오전동,경기도 의왕시 내손1동,경기도 의왕시 내손2동,경기도 의왕시 청계동
2020년07월_계_총인구수,"163,049","12,027","29,638","38,298","21,411","24,752","36,923"
2020년07월_계_연령구간인구수,"163,049","12,027","29,638","38,298","21,411","24,752","36,923"
2020년07월_계_0~9세,"13,368",791,"2,249","2,943","1,598","2,443","3,344"
2020년07월_계_10~19세,"14,899",993,"2,497","3,988","2,098","2,162","3,161"
2020년07월_계_20~29세,"22,962","1,502","4,200","5,110","3,376","3,579","5,195"
2020년07월_계_30~39세,"22,575","1,611","4,292","4,939","2,508","3,745","5,480"
2020년07월_계_40~49세,"24,926","1,696","4,430","6,099","3,272","3,752","5,677"
2020년07월_계_50~59세,"29,638","2,058","5,135","6,833","4,276","4,484","6,852"
2020년07월_계_60~69세,"20,761","1,997","3,656","5,240","2,576","2,798","4,494"
2020년07월_계_70~79세,"9,034",927,"2,009","2,155","1,053","1,117","1,773"
2020년07월_계_80~89세,"4,136",371,"1,018",836,556,570,785
2020년07월_계_90~99세,698,77,139,149,84,97,152
2020년07월_계_100세 이상,52,4,13,6,14,5,10
2020년07월_남_총인구수,"81,175","6,092","15,084","19,080","10,491","12,171","18,257"
2020년07월_남_연령구간인구수,"81,175","6,092","15,084","19,080","10,491","12,171","18,257"
2020년07월_남_0~9세,"6,939",424,"1,185","1,482",836,"1,251","1,761"
2020년07월_남_10~19세,"7,680",511,"1,282","2,075","1,111","1,144","1,557"
2020년07월_남_20~29세,"12,132",832,"2,288","2,698","1,721","1,840","2,753"
2020년07월_남_30~39세,"11,563",858,"2,345","2,513","1,241","1,818","2,788"
2020년07월_남_40~49세,"12,253",876,"2,301","2,949","1,543","1,846","2,738"
2020년07월_남_50~59세,"14,354",981,"2,537","3,344","2,046","2,158","3,288"
2020년07월_남_60~69세,"10,434","1,003","1,847","2,634","1,317","1,417","2,216"
2020년07월_남_70~79세,"4,238",467,887,"1,055",471,487,871
2020년07월_남_80~89세,"1,410",126,368,298,185,188,245
2020년07월_남_90~99세,157,12,40,30,18,21,36
2020년07월_남_100세 이상,15,2,4,2,2,1,4
2020년07월_여_총인구수,"81,874","5,935","14,554","19,218","10,920","12,581","18,666"
2020년07월_여_연령구간인구수,"81,874","5,935","14,554","19,218","10,920","12,581","18,666"
2020년07월_여_0~9세,"6,429",367,"1,064","1,461",762,"1,192","1,583"
2020년07월_여_10~19세,"7,219",482,"1,215","1,913",987,"1,018","1,604"
2020년07월_여_20~29세,"10,830",670,"1,912","2,412","1,655","1,739","2,442"
2020년07월_여_30~39세,"11,012",753,"1,947","2,426","1,267","1,927","2,692"
2020년07월_여_40~49세,"12,673",820,"2,129","3,150","1,729","1,906","2,939"
2020년07월_여_50~59세,"15,284","1,077","2,598","3,489","2,230","2,326","3,564"
2020년07월_여_60~69세,"10,327",994,"1,809","2,606","1,259","1,381","2,278"
2020년07월_여_70~79세,"4,796",460,"1,122","1,100",582,630,902
2020년07월_여_80~89세,"2,726",245,650,538,371,382,540
2020년07월_여_90~99세,541,65,99,119,66,76,116
2020년07월_여_100세 이상,37,2,9,4,12,4,6
