,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2020년09월_계_총인구수,"82,457","4,575","3,798","6,255","9,654","21,224","29,303","4,509","3,139"
2020년09월_계_연령구간인구수,"82,457","4,575","3,798","6,255","9,654","21,224","29,303","4,509","3,139"
2020년09월_계_0~9세,"5,885",175,254,240,544,"1,371","2,990",243,68
2020년09월_계_10~19세,"7,529",262,272,457,893,"2,230","3,040",247,128
2020년09월_계_20~29세,"8,983",444,326,637,"1,062","2,397","3,486",384,247
2020년09월_계_30~39세,"9,266",415,368,472,974,"2,187","4,117",507,226
2020년09월_계_40~49세,"12,500",526,516,781,"1,405","3,410","4,983",542,337
2020년09월_계_50~59세,"15,191",931,744,"1,297","1,776","4,012","4,898",860,673
2020년09월_계_60~69세,"12,529","1,018",668,"1,196","1,673","3,091","3,286",860,737
2020년09월_계_70~79세,"6,772",523,430,728,849,"1,604","1,663",507,468
2020년09월_계_80~89세,"3,157",235,191,360,391,770,708,288,214
2020년09월_계_90~99세,612,43,27,83,83,147,125,66,38
2020년09월_계_100세 이상,33,3,2,4,4,5,7,5,3
2020년09월_남_총인구수,"40,828","2,368","1,915","3,050","4,742","10,533","14,347","2,264","1,609"
2020년09월_남_연령구간인구수,"40,828","2,368","1,915","3,050","4,742","10,533","14,347","2,264","1,609"
2020년09월_남_0~9세,"2,973",86,136,127,277,676,"1,513",128,30
2020년09월_남_10~19세,"3,895",147,141,230,472,"1,134","1,559",131,81
2020년09월_남_20~29세,"5,085",278,175,380,602,"1,364","1,922",221,143
2020년09월_남_30~39세,"4,958",234,199,274,541,"1,176","2,107",287,140
2020년09월_남_40~49세,"6,198",296,281,399,703,"1,651","2,397",290,181
2020년09월_남_50~59세,"7,498",485,387,616,848,"1,989","2,354",461,358
2020년09월_남_60~69세,"6,062",506,321,577,800,"1,549","1,516",434,359
2020년09월_남_70~79세,"2,951",242,209,305,353,708,703,210,221
2020년09월_남_80~89세,"1,070",86,60,128,127,254,242,85,88
2020년09월_남_90~99세,125,6,6,12,17,32,31,14,7
2020년09월_남_100세 이상,13,2,0,2,2,0,3,3,1
2020년09월_여_총인구수,"41,629","2,207","1,883","3,205","4,912","10,691","14,956","2,245","1,530"
2020년09월_여_연령구간인구수,"41,629","2,207","1,883","3,205","4,912","10,691","14,956","2,245","1,530"
2020년09월_여_0~9세,"2,912",89,118,113,267,695,"1,477",115,38
2020년09월_여_10~19세,"3,634",115,131,227,421,"1,096","1,481",116,47
2020년09월_여_20~29세,"3,898",166,151,257,460,"1,033","1,564",163,104
2020년09월_여_30~39세,"4,308",181,169,198,433,"1,011","2,010",220,86
2020년09월_여_40~49세,"6,302",230,235,382,702,"1,759","2,586",252,156
2020년09월_여_50~59세,"7,693",446,357,681,928,"2,023","2,544",399,315
2020년09월_여_60~69세,"6,467",512,347,619,873,"1,542","1,770",426,378
2020년09월_여_70~79세,"3,821",281,221,423,496,896,960,297,247
2020년09월_여_80~89세,"2,087",149,131,232,264,516,466,203,126
2020년09월_여_90~99세,487,37,21,71,66,115,94,52,31
2020년09월_여_100세 이상,20,1,2,2,2,5,4,2,2
