카테고리,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2021년04월_계_총인구수,"31,508","9,938",521,"3,856","8,139","4,940","2,572","1,542"
2021년04월_계_연령구간인구수,"31,508","9,938",521,"3,856","8,139","4,940","2,572","1,542"
2021년04월_계_0~9세,"2,429",930,19,299,583,362,190,46
2021년04월_계_10~19세,"2,268",846,33,240,614,314,139,82
2021년04월_계_20~29세,"4,063","1,265",29,513,"1,015",571,536,134
2021년04월_계_30~39세,"3,831","1,342",33,512,865,622,373,84
2021년04월_계_40~49세,"3,933","1,427",56,391,"1,042",614,242,161
2021년04월_계_50~59세,"5,107","1,509",120,580,"1,449",812,326,311
2021년04월_계_60~69세,"5,445","1,455",118,733,"1,425",922,396,396
2021년04월_계_70~79세,"2,635",708,75,323,672,420,232,205
2021년04월_계_80~89세,"1,541",385,34,223,413,257,124,105
2021년04월_계_90~99세,249,68,4,41,59,46,14,17
2021년04월_계_100세 이상,7,3,0,1,2,0,0,1
2021년04월_남_총인구수,"17,047","5,243",275,"2,081","4,356","2,698","1,549",845
2021년04월_남_연령구간인구수,"17,047","5,243",275,"2,081","4,356","2,698","1,549",845
2021년04월_남_0~9세,"1,228",461,10,146,292,192,104,23
2021년04월_남_10~19세,"1,195",460,16,118,322,158,73,48
2021년04월_남_20~29세,"2,706",781,16,354,653,376,434,92
2021년04월_남_30~39세,"2,205",731,21,305,474,376,242,56
2021년04월_남_40~49세,"2,186",768,34,219,581,343,149,92
2021년04월_남_50~59세,"2,725",791,66,306,781,425,188,168
2021년04월_남_60~69세,"2,927",757,58,391,781,523,198,219
2021년04월_남_70~79세,"1,261",342,40,154,306,202,114,103
2021년04월_남_80~89세,544,135,12,76,150,93,42,36
2021년04월_남_90~99세,66,15,2,12,14,10,5,8
2021년04월_남_100세 이상,4,2,0,0,2,0,0,0
2021년04월_여_총인구수,"14,461","4,695",246,"1,775","3,783","2,242","1,023",697
2021년04월_여_연령구간인구수,"14,461","4,695",246,"1,775","3,783","2,242","1,023",697
2021년04월_여_0~9세,"1,201",469,9,153,291,170,86,23
2021년04월_여_10~19세,"1,073",386,17,122,292,156,66,34
2021년04월_여_20~29세,"1,357",484,13,159,362,195,102,42
2021년04월_여_30~39세,"1,626",611,12,207,391,246,131,28
2021년04월_여_40~49세,"1,747",659,22,172,461,271,93,69
2021년04월_여_50~59세,"2,382",718,54,274,668,387,138,143
2021년04월_여_60~69세,"2,518",698,60,342,644,399,198,177
2021년04월_여_70~79세,"1,374",366,35,169,366,218,118,102
2021년04월_여_80~89세,997,250,22,147,263,164,82,69
2021년04월_여_90~99세,183,53,2,29,45,36,9,9
2021년04월_여_100세 이상,3,1,0,1,0,0,0,1
