,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2021년02월_계_총인구수,"25,505","10,822","1,281","1,502","2,524","2,660","2,281","1,470","2,965"
2021년02월_계_연령구간인구수,"25,505","10,822","1,281","1,502","2,524","2,660","2,281","1,470","2,965"
2021년02월_계_0~9세,"1,128",690,41,48,51,111,57,42,88
2021년02월_계_10~19세,"1,806","1,038",68,67,139,174,104,59,157
2021년02월_계_20~29세,"1,924","1,035",73,78,142,184,114,105,193
2021년02월_계_30~39세,"1,650",867,54,69,115,157,144,92,152
2021년02월_계_40~49세,"2,861","1,440",132,139,227,329,175,155,264
2021년02월_계_50~59세,"4,564","1,922",247,276,529,440,371,227,552
2021년02월_계_60~69세,"4,753","1,721",279,295,594,511,465,279,609
2021년02월_계_70~79세,"3,891","1,273",209,309,390,417,454,286,553
2021년02월_계_80~89세,"2,521",719,153,194,281,291,338,191,354
2021년02월_계_90~99세,383,112,23,24,53,39,57,34,41
2021년02월_계_100세 이상,24,5,2,3,3,7,2,0,2
2021년02월_남_총인구수,"12,397","5,255",644,733,"1,227","1,314","1,081",704,"1,439"
2021년02월_남_연령구간인구수,"12,397","5,255",644,733,"1,227","1,314","1,081",704,"1,439"
2021년02월_남_0~9세,558,340,23,25,25,54,25,22,44
2021년02월_남_10~19세,946,550,33,30,71,99,57,34,72
2021년02월_남_20~29세,"1,039",545,44,38,83,95,61,58,115
2021년02월_남_30~39세,880,435,26,32,70,91,87,53,86
2021년02월_남_40~49세,"1,557",720,82,89,129,183,112,86,156
2021년02월_남_50~59세,"2,537",999,144,170,293,267,215,130,319
2021년02월_남_60~69세,"2,344",851,149,146,298,247,222,133,298
2021년02월_남_70~79세,"1,630",545,85,130,156,176,191,120,227
2021년02월_남_80~89세,822,245,57,66,90,92,100,58,114
2021년02월_남_90~99세,81,25,1,7,12,8,11,10,7
2021년02월_남_100세 이상,3,0,0,0,0,2,0,0,1
2021년02월_여_총인구수,"13,108","5,567",637,769,"1,297","1,346","1,200",766,"1,526"
2021년02월_여_연령구간인구수,"13,108","5,567",637,769,"1,297","1,346","1,200",766,"1,526"
2021년02월_여_0~9세,570,350,18,23,26,57,32,20,44
2021년02월_여_10~19세,860,488,35,37,68,75,47,25,85
2021년02월_여_20~29세,885,490,29,40,59,89,53,47,78
2021년02월_여_30~39세,770,432,28,37,45,66,57,39,66
2021년02월_여_40~49세,"1,304",720,50,50,98,146,63,69,108
2021년02월_여_50~59세,"2,027",923,103,106,236,173,156,97,233
2021년02월_여_60~69세,"2,409",870,130,149,296,264,243,146,311
2021년02월_여_70~79세,"2,261",728,124,179,234,241,263,166,326
2021년02월_여_80~89세,"1,699",474,96,128,191,199,238,133,240
2021년02월_여_90~99세,302,87,22,17,41,31,46,24,34
2021년02월_여_100세 이상,21,5,2,3,3,5,2,0,1
