카테고리,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2020년07월_계_총인구수,"111,401","18,450","11,500","15,909","7,753","1,647","3,527","2,904","3,560","6,322","5,291","6,368","15,580","6,897","5,415",278
2020년07월_계_연령구간인구수,"111,401","18,450","11,500","15,909","7,753","1,647","3,527","2,904","3,560","6,322","5,291","6,368","15,580","6,897","5,415",278
2020년07월_계_0~9세,"8,441","1,498","1,184","2,089",706,46,105,86,68,182,236,455,"1,106",352,322,6
2020년07월_계_10~19세,"10,359","1,938","1,407","2,021",633,54,162,92,145,328,338,475,"1,669",662,426,9
2020년07월_계_20~29세,"10,872","2,377","1,229","1,597",537,125,289,170,272,424,493,573,"1,642",674,461,9
2020년07월_계_30~39세,"12,243","2,465","1,496","2,562",951,98,202,150,162,474,474,683,"1,462",572,473,19
2020년07월_계_40~49세,"17,854","3,306","2,139","3,079","1,220",179,360,276,336,755,726,982,"2,540","1,177",746,33
2020년07월_계_50~59세,"18,495","3,080","1,753","1,883","1,250",303,625,542,706,"1,115",994,"1,087","2,916","1,290",904,47
2020년07월_계_60~69세,"15,986","1,934","1,109","1,296","1,188",386,736,668,770,"1,429","1,010","1,062","2,230","1,111",994,63
2020년07월_계_70~79세,"10,724","1,124",717,856,777,246,616,522,643,"1,083",666,730,"1,340",672,665,67
2020년07월_계_80~89세,"5,619",626,402,464,426,188,386,355,390,463,317,282,610,326,359,25
2020년07월_계_90~99세,778,94,63,61,64,22,43,41,67,67,37,32,64,60,63,0
2020년07월_계_100세 이상,30,8,1,1,1,0,3,2,1,2,0,7,1,1,2,0
2020년07월_남_총인구수,"56,194","9,596","5,762","8,301","3,859",871,"1,805","1,432","1,760","3,082","2,626","3,138","7,599","3,563","2,657",143
2020년07월_남_연령구간인구수,"56,194","9,596","5,762","8,301","3,859",871,"1,805","1,432","1,760","3,082","2,626","3,138","7,599","3,563","2,657",143
2020년07월_남_0~9세,"4,415",778,612,"1,127",344,26,61,47,37,99,119,233,576,175,178,3
2020년07월_남_10~19세,"5,339",957,733,"1,018",332,31,95,56,74,174,191,256,857,346,214,5
2020년07월_남_20~29세,"6,498","1,391",708,"1,005",316,74,181,103,170,254,313,336,947,421,272,7
2020년07월_남_30~39세,"6,529","1,393",741,"1,348",477,59,116,81,97,291,256,361,737,312,249,11
2020년07월_남_40~49세,"9,538","1,776","1,075","1,640",686,114,215,181,215,439,401,535,"1,216",624,395,26
2020년07월_남_50~59세,"9,736","1,637",932,"1,041",633,188,355,310,398,570,495,535,"1,455",706,452,29
2020년07월_남_60~69세,"7,719",975,550,616,583,204,373,322,371,649,470,465,"1,062",565,485,29
2020년07월_남_70~79세,"4,565",476,277,366,343,108,275,219,285,451,275,317,549,301,296,27
2020년07월_남_80~89세,"1,726",196,123,131,132,61,122,105,107,147,99,94,192,104,107,6
2020년07월_남_90~99세,122,16,11,9,13,6,11,7,5,8,7,4,8,8,9,0
2020년07월_남_100세 이상,7,1,0,0,0,0,1,1,1,0,0,2,0,1,0,0
2020년07월_여_총인구수,"55,207","8,854","5,738","7,608","3,894",776,"1,722","1,472","1,800","3,240","2,665","3,230","7,981","3,334","2,758",135
2020년07월_여_연령구간인구수,"55,207","8,854","5,738","7,608","3,894",776,"1,722","1,472","1,800","3,240","2,665","3,230","7,981","3,334","2,758",135
2020년07월_여_0~9세,"4,026",720,572,962,362,20,44,39,31,83,117,222,530,177,144,3
2020년07월_여_10~19세,"5,020",981,674,"1,003",301,23,67,36,71,154,147,219,812,316,212,4
2020년07월_여_20~29세,"4,374",986,521,592,221,51,108,67,102,170,180,237,695,253,189,2
2020년07월_여_30~39세,"5,714","1,072",755,"1,214",474,39,86,69,65,183,218,322,725,260,224,8
2020년07월_여_40~49세,"8,316","1,530","1,064","1,439",534,65,145,95,121,316,325,447,"1,324",553,351,7
2020년07월_여_50~59세,"8,759","1,443",821,842,617,115,270,232,308,545,499,552,"1,461",584,452,18
2020년07월_여_60~69세,"8,267",959,559,680,605,182,363,346,399,780,540,597,"1,168",546,509,34
2020년07월_여_70~79세,"6,159",648,440,490,434,138,341,303,358,632,391,413,791,371,369,40
2020년07월_여_80~89세,"3,893",430,279,333,294,127,264,250,283,316,218,188,418,222,252,19
2020년07월_여_90~99세,656,78,52,52,51,16,32,34,62,59,30,28,56,52,54,0
2020년07월_여_100세 이상,23,7,1,1,1,0,2,1,0,2,0,5,1,0,2,0
