카테고리,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2021년09월_계_총인구수,"27,033","10,086","1,502","1,979","1,665","1,694","1,402","1,945","2,137","1,249","1,073","2,301"
2021년09월_계_연령구간인구수,"27,033","10,086","1,502","1,979","1,665","1,694","1,402","1,945","2,137","1,249","1,073","2,301"
2021년09월_계_0~9세,"1,337",800,41,56,57,37,52,58,101,35,46,54
2021년09월_계_10~19세,"2,147","1,297",85,98,80,72,72,110,138,36,43,116
2021년09월_계_20~29세,"1,914","1,021",103,95,86,78,71,101,110,72,62,115
2021년09월_계_30~39세,"1,816",923,85,100,95,107,90,91,117,62,54,92
2021년09월_계_40~49세,"3,153","1,587",126,201,187,129,118,169,186,117,114,219
2021년09월_계_50~59세,"4,387","1,544",273,318,247,300,234,367,380,195,144,385
2021년09월_계_60~69세,"4,996","1,350",308,406,318,426,289,462,470,269,211,487
2021년09월_계_70~79세,"4,051",940,255,384,323,284,240,333,370,244,211,467
2021년09월_계_80~89세,"2,809",532,197,283,242,229,211,216,223,188,170,318
2021년09월_계_90~99세,400,89,24,35,28,30,24,38,42,25,17,48
2021년09월_계_100세 이상,23,3,5,3,2,2,1,0,0,6,1,0
2021년09월_남_총인구수,"13,232","4,921",731,970,831,847,711,957,"1,033",606,510,"1,115"
2021년09월_남_연령구간인구수,"13,232","4,921",731,970,831,847,711,957,"1,033",606,510,"1,115"
2021년09월_남_0~9세,700,428,18,31,28,22,30,25,52,10,27,29
2021년09월_남_10~19세,"1,109",663,47,47,39,38,45,62,70,19,22,57
2021년09월_남_20~29세,"1,085",565,62,52,55,48,40,61,69,44,28,61
2021년09월_남_30~39세,893,420,39,57,57,65,45,42,52,36,28,52
2021년09월_남_40~49세,"1,780",807,70,133,119,89,81,101,100,69,73,138
2021년09월_남_50~59세,"2,394",822,155,174,143,153,138,180,211,120,87,211
2021년09월_남_60~69세,"2,562",648,164,234,164,236,149,253,240,131,102,241
2021년09월_남_70~79세,"1,686",374,116,146,141,122,106,143,150,101,88,199
2021년09월_남_80~89세,912,172,56,90,78,66,73,73,75,64,52,113
2021년09월_남_90~99세,108,22,4,6,7,7,4,17,14,10,3,14
2021년09월_남_100세 이상,3,0,0,0,0,1,0,0,0,2,0,0
2021년09월_여_총인구수,"13,801","5,165",771,"1,009",834,847,691,988,"1,104",643,563,"1,186"
2021년09월_여_연령구간인구수,"13,801","5,165",771,"1,009",834,847,691,988,"1,104",643,563,"1,186"
2021년09월_여_0~9세,637,372,23,25,29,15,22,33,49,25,19,25
2021년09월_여_10~19세,"1,038",634,38,51,41,34,27,48,68,17,21,59
2021년09월_여_20~29세,829,456,41,43,31,30,31,40,41,28,34,54
2021년09월_여_30~39세,923,503,46,43,38,42,45,49,65,26,26,40
2021년09월_여_40~49세,"1,373",780,56,68,68,40,37,68,86,48,41,81
2021년09월_여_50~59세,"1,993",722,118,144,104,147,96,187,169,75,57,174
2021년09월_여_60~69세,"2,434",702,144,172,154,190,140,209,230,138,109,246
2021년09월_여_70~79세,"2,365",566,139,238,182,162,134,190,220,143,123,268
2021년09월_여_80~89세,"1,897",360,141,193,164,163,138,143,148,124,118,205
2021년09월_여_90~99세,292,67,20,29,21,23,20,21,28,15,14,34
2021년09월_여_100세 이상,20,3,5,3,2,1,1,0,0,4,1,0
