,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2021년09월_계_총인구수,"268,331","27,725","35,668","20,711","5,736","5,481","3,298","3,713","2,936","9,704","6,384","19,948","35,763","35,975","16,305","38,984"
2021년09월_계_연령구간인구수,"268,331","27,725","35,668","20,711","5,736","5,481","3,298","3,713","2,936","9,704","6,384","19,948","35,763","35,975","16,305","38,984"
2021년09월_계_0~9세,"19,907","1,896","2,194","2,219",136,130,65,120,79,498,192,"1,889","2,592","3,863",958,"3,076"
2021년09월_계_10~19세,"22,961","2,899","3,307","1,182",242,252,102,156,94,568,375,"2,009","3,857","2,912",788,"4,218"
2021년09월_계_20~29세,"36,648","4,207","5,371","3,118",450,426,199,239,232,"1,483",935,"2,020","4,304","4,470","3,834","5,360"
2021년09월_계_30~39세,"33,148","2,917","3,801","3,950",447,392,192,217,184,"1,154",681,"2,505","3,769","5,387","2,782","4,770"
2021년09월_계_40~49세,"41,638","4,365","5,995","3,058",575,576,264,359,258,"1,212",755,"3,543","6,088","5,680","2,169","6,741"
2021년09월_계_50~59세,"45,732","4,526","6,967","2,793","1,135",988,571,673,566,"1,866","1,236","3,013","6,186","6,079","2,461","6,672"
2021년09월_계_60~69세,"37,161","3,496","4,356","2,418","1,394","1,354",862,917,715,"1,749","1,168","2,688","5,008","4,380","1,911","4,745"
2021년09월_계_70~79세,"20,100","2,200","2,340","1,239",827,842,614,587,508,807,651,"1,542","2,611","2,189",936,"2,207"
2021년09월_계_80~89세,"9,788","1,095","1,200",647,471,461,377,380,253,330,356,653,"1,189",910,412,"1,054"
2021년09월_계_90~99세,"1,214",119,134,84,58,57,52,62,44,37,34,85,155,102,54,137
2021년09월_계_100세 이상,34,5,3,3,1,3,0,3,3,0,1,1,4,3,0,4
2021년09월_남_총인구수,"134,945","13,943","18,621","11,021","3,068","2,794","1,734","1,928","1,519","4,695","3,161","9,818","17,001","17,274","8,906","19,462"
2021년09월_남_연령구간인구수,"134,945","13,943","18,621","11,021","3,068","2,794","1,734","1,928","1,519","4,695","3,161","9,818","17,001","17,274","8,906","19,462"
2021년09월_남_0~9세,"10,100",972,"1,136","1,161",71,70,31,59,46,262,104,947,"1,241","1,904",507,"1,589"
2021년09월_남_10~19세,"11,920","1,556","1,668",632,127,131,51,79,50,287,202,"1,106","1,889","1,454",425,"2,263"
2021년09월_남_20~29세,"19,952","2,337","3,082","1,730",275,244,126,153,145,739,512,"1,083","2,206","2,340","2,097","2,883"
2021년09월_남_30~39세,"17,860","1,605","2,166","2,247",256,235,121,130,113,613,397,"1,285","1,824","2,672","1,699","2,497"
2021년09월_남_40~49세,"21,355","2,128","3,140","1,781",362,360,169,209,151,595,387,"1,775","2,941","2,744","1,278","3,335"
2021년09월_남_50~59세,"22,904","2,299","3,718","1,432",644,509,330,375,320,871,620,"1,457","2,955","2,777","1,319","3,278"
2021년09월_남_60~69세,"18,215","1,707","2,269","1,216",743,705,476,503,355,838,563,"1,234","2,362","2,030",949,"2,265"
2021년09월_남_70~79세,"8,982",928,"1,004",584,416,387,297,290,245,377,261,669,"1,109",978,468,969
2021년09월_남_80~89세,"3,380",384,401,218,162,145,123,118,81,106,106,243,438,344,154,357
2021년09월_남_90~99세,271,26,37,20,11,8,10,12,11,7,9,19,36,30,10,25
2021년09월_남_100세 이상,6,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1
2021년09월_여_총인구수,"133,386","13,782","17,047","9,690","2,668","2,687","1,564","1,785","1,417","5,009","3,223","10,130","18,762","18,701","7,399","19,522"
2021년09월_여_연령구간인구수,"133,386","13,782","17,047","9,690","2,668","2,687","1,564","1,785","1,417","5,009","3,223","10,130","18,762","18,701","7,399","19,522"
2021년09월_여_0~9세,"9,807",924,"1,058","1,058",65,60,34,61,33,236,88,942,"1,351","1,959",451,"1,487"
2021년09월_여_10~19세,"11,041","1,343","1,639",550,115,121,51,77,44,281,173,903,"1,968","1,458",363,"1,955"
2021년09월_여_20~29세,"16,696","1,870","2,289","1,388",175,182,73,86,87,744,423,937,"2,098","2,130","1,737","2,477"
2021년09월_여_30~39세,"15,288","1,312","1,635","1,703",191,157,71,87,71,541,284,"1,220","1,945","2,715","1,083","2,273"
2021년09월_여_40~49세,"20,283","2,237","2,855","1,277",213,216,95,150,107,617,368,"1,768","3,147","2,936",891,"3,406"
2021년09월_여_50~59세,"22,828","2,227","3,249","1,361",491,479,241,298,246,995,616,"1,556","3,231","3,302","1,142","3,394"
2021년09월_여_60~69세,"18,946","1,789","2,087","1,202",651,649,386,414,360,911,605,"1,454","2,646","2,350",962,"2,480"
2021년09월_여_70~79세,"11,118","1,272","1,336",655,411,455,317,297,263,430,390,873,"1,502","1,211",468,"1,238"
2021년09월_여_80~89세,"6,408",711,799,429,309,316,254,262,172,224,250,410,751,566,258,697
2021년09월_여_90~99세,943,93,97,64,47,49,42,50,33,30,25,66,119,72,44,112
2021년09월_여_100세 이상,28,4,3,3,0,3,0,3,1,0,1,1,4,2,0,3
