,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2021년09월_계_총인구수,"428,082","4,847","6,851","4,823","3,119","9,036","12,220","38,635","19,354","12,031","12,743","23,488","10,391","5,785","20,983","16,055","15,759","7,809","16,062","13,502","14,173","29,901","13,942","10,984","12,572","2,535","22,459","37,962","30,061"
2021년09월_계_연령구간인구수,"428,082","4,847","6,851","4,823","3,119","9,036","12,220","38,635","19,354","12,031","12,743","23,488","10,391","5,785","20,983","16,055","15,759","7,809","16,062","13,502","14,173","29,901","13,942","10,984","12,572","2,535","22,459","37,962","30,061"
2021년09월_계_0~9세,"32,324",227,255,247,75,679,468,"2,579","1,680",507,894,"2,141",386,522,"1,659","1,063","1,009",263,840,430,965,"2,304","1,121",596,502,68,"2,639","3,860","4,345"
2021년09월_계_10~19세,"41,717",169,456,297,114,599,697,"3,706","2,253",870,"1,367","2,256",635,510,"1,642","1,860","1,410",613,"1,314",780,"1,642","4,444","1,722",981,764,122,"2,535","4,080","3,879"
2021년09월_계_20~29세,"61,728",899,"1,410",902,468,"1,188","2,299","7,310","2,465","1,694","1,793","3,020","1,301",709,"2,579","2,300","2,533","1,152","2,261","1,557","2,229","4,638","1,959","1,734","1,895",239,"2,742","5,169","3,283"
2021년09월_계_30~39세,"54,894",949,776,712,407,"1,401","1,909","4,763","2,232","1,304","1,435","3,498",952,760,"3,016","1,577","1,949",742,"1,695","1,275","1,676","2,890","1,646","1,234","1,448",213,"3,430","5,811","5,194"
2021년09월_계_40~49세,"66,128",625,847,715,374,"1,265","1,580","5,498","3,094","1,614","1,820","3,844","1,237",911,"2,963","2,413","2,314",977,"2,181","1,506","2,351","5,482","2,224","1,584","1,519",207,"4,023","6,536","6,424"
2021년09월_계_50~59세,"71,238",645,992,653,537,"1,334","1,913","6,657","3,069","2,070","2,236","3,861","1,755",880,"3,427","2,952","2,539","1,374","2,878","2,534","2,655","5,690","2,427","2,123","2,391",505,"3,390","5,926","3,825"
2021년09월_계_60~69세,"55,545",677,970,629,568,"1,312","1,745","4,693","2,765","2,109","1,906","2,869","2,062",759,"3,087","2,269","2,158","1,338","2,702","2,847","1,571","2,521","1,653","1,592","2,235",579,"2,087","3,873","1,969"
2021년09월_계_70~79세,"29,884",449,770,456,368,884,"1,085","2,394","1,305","1,271",853,"1,399","1,383",488,"1,735","1,101","1,200",937,"1,526","1,633",734,"1,191",760,790,"1,162",360,"1,011","1,834",805
2021년09월_계_80~89세,"12,764",187,332,191,162,322,482,914,430,530,370,519,598,216,764,460,560,361,577,824,303,650,368,301,575,213,522,745,288
2021년09월_계_90~99세,"1,796",18,42,19,41,50,39,119,60,59,69,76,81,28,104,58,84,50,87,111,47,87,61,47,81,28,78,124,48
2021년09월_계_100세 이상,64,2,1,2,5,2,3,2,1,3,0,5,1,2,7,2,3,2,1,5,0,4,1,2,0,1,2,4,1
2021년09월_남_총인구수,"212,526","2,504","3,492","2,547","1,667","4,468","6,428","19,246","9,344","6,057","6,102","11,587","5,047","2,892","10,332","7,800","7,498","3,884","7,951","6,478","7,313","14,664","6,828","5,587","6,138","1,325","11,375","19,084","14,888"
2021년09월_남_연령구간인구수,"212,526","2,504","3,492","2,547","1,667","4,468","6,428","19,246","9,344","6,057","6,102","11,587","5,047","2,892","10,332","7,800","7,498","3,884","7,951","6,478","7,313","14,664","6,828","5,587","6,138","1,325","11,375","19,084","14,888"
2021년09월_남_0~9세,"16,529",107,131,133,42,355,233,"1,282",859,235,452,"1,106",198,258,826,498,520,147,428,220,521,"1,191",582,304,226,34,"1,358","2,033","2,250"
2021년09월_남_10~19세,"21,968",94,226,161,52,317,370,"1,958","1,159",431,727,"1,211",336,253,895,967,717,321,686,413,913,"2,420",939,520,426,71,"1,311","2,064","2,010"
2021년09월_남_20~29세,"32,449",394,722,463,223,584,"1,189","3,863","1,257",892,980,"1,582",666,386,"1,362","1,241","1,294",604,"1,188",795,"1,263","2,534","1,054",916,972,142,"1,482","2,712","1,689"
2021년09월_남_30~39세,"28,602",497,461,429,245,722,"1,102","2,561","1,068",753,712,"1,766",525,390,"1,560",807,"1,036",398,917,690,876,"1,381",811,675,796,129,"1,724","3,058","2,513"
2021년09월_남_40~49세,"33,202",384,448,411,233,674,931,"2,741","1,421",837,841,"1,964",670,486,"1,562","1,111","1,142",524,"1,122",785,"1,135","2,387","1,027",827,801,118,"2,037","3,323","3,260"
2021년09월_남_50~59세,"34,974",374,525,371,316,667,"1,043","3,151","1,441","1,084",989,"1,820",895,468,"1,638","1,389","1,147",683,"1,420","1,258","1,357","2,797","1,101","1,076","1,130",283,"1,782","2,942","1,827"
2021년09월_남_60~69세,"26,458",365,475,302,303,585,865,"2,238","1,289",986,889,"1,285",940,353,"1,440","1,109",937,602,"1,226","1,394",793,"1,230",826,787,"1,097",315,"1,050","1,869",908
2021년09월_남_70~79세,"13,385",206,338,194,179,407,489,"1,085",655,601,377,648,603,221,760,507,473,441,711,661,342,485,346,373,511,154,469,815,334
2021년09월_남_80~89세,"4,582",76,150,77,64,150,196,338,181,223,122,186,201,75,267,158,209,150,237,240,104,213,132,101,171,74,154,243,90
2021년09월_남_90~99세,372,6,16,6,9,7,10,29,14,15,13,18,13,2,21,13,22,14,16,22,9,26,10,8,8,5,8,25,7
2021년09월_남_100세 이상,5,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"215,556","2,343","3,359","2,276","1,452","4,568","5,792","19,389","10,010","5,974","6,641","11,901","5,344","2,893","10,651","8,255","8,261","3,925","8,111","7,024","6,860","15,237","7,114","5,397","6,434","1,210","11,084","18,878","15,173"
2021년09월_여_연령구간인구수,"215,556","2,343","3,359","2,276","1,452","4,568","5,792","19,389","10,010","5,974","6,641","11,901","5,344","2,893","10,651","8,255","8,261","3,925","8,111","7,024","6,860","15,237","7,114","5,397","6,434","1,210","11,084","18,878","15,173"
2021년09월_여_0~9세,"15,795",120,124,114,33,324,235,"1,297",821,272,442,"1,035",188,264,833,565,489,116,412,210,444,"1,113",539,292,276,34,"1,281","1,827","2,095"
2021년09월_여_10~19세,"19,749",75,230,136,62,282,327,"1,748","1,094",439,640,"1,045",299,257,747,893,693,292,628,367,729,"2,024",783,461,338,51,"1,224","2,016","1,869"
