카테고리,서울특별시 은평구,서울특별시 은평구 녹번동,서울특별시 은평구 불광제1동,서울특별시 은평구 불광제2동,서울특별시 은평구 갈현제1동,서울특별시 은평구 갈현제2동,서울특별시 은평구 구산동,서울특별시 은평구 대조동,서울특별시 은평구 응암제1동,서울특별시 은평구 응암제2동,서울특별시 은평구 응암제3동,서울특별시 은평구 역촌동,서울특별시 은평구 신사제1동,서울특별시 은평구 신사제2동,서울특별시 은평구 증산동,서울특별시 은평구 수색동,서울특별시 은평구 진관동
2021년02월_계_총인구수,"478,336","37,346","39,485","28,275","22,990","28,739","32,627","27,250","30,975","27,526","25,196","46,454","27,475","20,767","15,334","11,259","56,638"
2021년02월_계_연령구간인구수,"478,336","37,346","39,485","28,275","22,990","28,739","32,627","27,250","30,975","27,526","25,196","46,454","27,475","20,767","15,334","11,259","56,638"
2021년02월_계_0~9세,"29,057","2,438","2,321","1,097",976,"1,531","1,761","1,151","2,242","3,219",989,"2,611","1,596","1,073",737,695,"4,620"
2021년02월_계_10~19세,"38,276","2,297","2,668","1,785","1,564","2,434","2,832","1,662","2,580","2,280","1,612","3,516","2,098","1,663","1,175",766,"7,344"
2021년02월_계_20~29세,"66,691","5,043","5,400","4,289","3,698","4,359","4,442","4,923","4,221","2,760","3,647","6,501","3,872","2,930","2,089","1,486","7,031"
2021년02월_계_30~39세,"67,853","6,045","5,374","3,825","3,014","3,851","4,067","4,171","5,160","4,949","3,354","6,598","4,078","2,777","2,037","1,743","6,810"
2021년02월_계_40~49세,"76,223","5,783","5,959","3,890","3,288","4,714","5,092","4,068","5,227","5,226","3,575","7,594","4,203","3,167","2,243","1,537","10,657"
2021년02월_계_50~59세,"77,264","5,923","6,730","4,917","3,980","4,780","5,661","4,161","4,596","3,631","4,238","7,694","4,451","3,521","2,569","1,982","8,430"
2021년02월_계_60~69세,"64,977","5,148","5,652","4,463","3,509","3,694","4,642","3,568","3,623","2,922","3,812","6,347","3,934","3,167","2,444","1,707","6,345"
2021년02월_계_70~79세,"39,268","3,166","3,550","2,768","2,101","2,314","2,778","2,396","2,279","1,722","2,623","3,882","2,255","1,665","1,423",890,"3,456"
2021년02월_계_80~89세,"16,166","1,302","1,600","1,105",735,927,"1,168","1,015",911,707,"1,177","1,498",881,697,528,391,"1,524"
2021년02월_계_90~99세,"2,132",176,197,124,110,116,165,112,126,89,147,187,98,91,79,57,258
2021년02월_계_100세 이상,429,25,34,12,15,19,19,23,10,21,22,26,9,16,10,5,163
2021년02월_남_총인구수,"229,318","17,765","18,692","13,698","11,191","13,627","16,217","12,693","14,669","13,359","12,294","21,898","13,256","10,371","7,458","5,548","26,582"
2021년02월_남_연령구간인구수,"229,318","17,765","18,692","13,698","11,191","13,627","16,217","12,693","14,669","13,359","12,294","21,898","13,256","10,371","7,458","5,548","26,582"
2021년02월_남_0~9세,"14,882","1,210","1,209",539,528,794,881,599,"1,138","1,665",530,"1,315",777,549,371,367,"2,410"
2021년02월_남_10~19세,"19,573","1,149","1,395",910,803,"1,228","1,384",772,"1,353","1,183",828,"1,772","1,100",930,601,407,"3,758"
2021년02월_남_20~29세,"32,039","2,372","2,620","2,140","1,869","2,105","2,185","2,162","1,916","1,396","1,853","3,082","1,975","1,513","1,035",760,"3,056"
2021년02월_남_30~39세,"33,517","3,007","2,640","2,000","1,601","1,882","2,089","2,066","2,524","2,347","1,767","3,187","2,046","1,469","1,041",882,"2,969"
2021년02월_남_40~49세,"37,666","2,918","2,885","2,028","1,663","2,276","2,550","1,996","2,556","2,654","1,822","3,800","2,082","1,606","1,104",775,"4,951"
2021년02월_남_50~59세,"37,186","2,836","3,154","2,276","1,828","2,233","2,849","2,021","2,237","1,774","2,124","3,587","2,088","1,699","1,256",998,"4,226"
2021년02월_남_60~69세,"29,954","2,298","2,561","2,084","1,620","1,690","2,321","1,591","1,592","1,314","1,769","2,810","1,814","1,539","1,156",824,"2,971"
2021년02월_남_70~79세,"17,328","1,390","1,529","1,235",934,986,"1,377","1,021",978,733,"1,098","1,707",993,758,644,387,"1,558"
2021년02월_남_80~89세,"6,492",536,624,450,313,393,523,425,337,261,456,590,353,270,229,133,599
2021년02월_남_90~99세,598,42,65,32,30,32,50,33,38,25,42,44,27,33,17,13,75
2021년02월_남_100세 이상,83,7,10,4,2,8,8,7,0,7,5,4,1,5,4,2,9
2021년02월_여_총인구수,"249,018","19,581","20,793","14,577","11,799","15,112","16,410","14,557","16,306","14,167","12,902","24,556","14,219","10,396","7,876","5,711","30,056"
2021년02월_여_연령구간인구수,"249,018","19,581","20,793","14,577","11,799","15,112","16,410","14,557","16,306","14,167","12,902","24,556","14,219","10,396","7,876","5,711","30,056"
2021년02월_여_0~9세,"14,175","1,228","1,112",558,448,737,880,552,"1,104","1,554",459,"1,296",819,524,366,328,"2,210"
2021년02월_여_10~19세,"18,703","1,148","1,273",875,761,"1,206","1,448",890,"1,227","1,097",784,"1,744",998,733,574,359,"3,586"
2021년02월_여_20~29세,"34,652","2,671","2,780","2,149","1,829","2,254","2,257","2,761","2,305","1,364","1,794","3,419","1,897","1,417","1,054",726,"3,975"
2021년02월_여_30~39세,"34,336","3,038","2,734","1,825","1,413","1,969","1,978","2,105","2,636","2,602","1,587","3,411","2,032","1,308",996,861,"3,841"
2021년02월_여_40~49세,"38,557","2,865","3,074","1,862","1,625","2,438","2,542","2,072","2,671","2,572","1,753","3,794","2,121","1,561","1,139",762,"5,706"
2021년02월_여_50~59세,"40,078","3,087","3,576","2,641","2,152","2,547","2,812","2,140","2,359","1,857","2,114","4,107","2,363","1,822","1,313",984,"4,204"
2021년02월_여_60~69세,"35,023","2,850","3,091","2,379","1,889","2,004","2,321","1,977","2,031","1,608","2,043","3,537","2,120","1,628","1,288",883,"3,374"
2021년02월_여_70~79세,"21,940","1,776","2,021","1,533","1,167","1,328","1,401","1,375","1,301",989,"1,525","2,175","1,262",907,779,503,"1,898"
2021년02월_여_80~89세,"9,674",766,976,655,422,534,645,590,574,446,721,908,528,427,299,258,925
2021년02월_여_90~99세,"1,534",134,132,92,80,84,115,79,88,64,105,143,71,58,62,44,183
2021년02월_여_100세 이상,346,18,24,8,13,11,11,16,10,14,17,22,8,11,6,3,154
