,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2021년10월_계_총인구수,"268,431","27,866","35,661","20,751","5,721","5,449","3,293","3,719","2,920","9,696","6,345","19,963","35,708","36,067","16,329","38,943"
2021년10월_계_연령구간인구수,"268,431","27,866","35,661","20,751","5,721","5,449","3,293","3,719","2,920","9,696","6,345","19,963","35,708","36,067","16,329","38,943"
2021년10월_계_0~9세,"19,857","1,915","2,173","2,213",132,128,65,117,78,502,188,"1,885","2,564","3,870",963,"3,064"
2021년10월_계_10~19세,"22,926","2,904","3,295","1,191",236,250,100,155,94,564,366,"2,009","3,843","2,929",780,"4,210"
2021년10월_계_20~29세,"36,554","4,225","5,348","3,105",451,419,196,246,232,"1,495",931,"2,021","4,292","4,460","3,833","5,300"
2021년10월_계_30~39세,"33,122","2,953","3,798","3,958",447,386,189,211,181,"1,148",675,"2,487","3,757","5,399","2,781","4,752"
2021년10월_계_40~49세,"41,586","4,369","5,949","3,076",568,570,262,368,255,"1,216",747,"3,552","6,062","5,678","2,173","6,741"
2021년10월_계_50~59세,"45,873","4,553","7,020","2,800","1,131",990,569,677,561,"1,853","1,224","3,018","6,210","6,107","2,468","6,692"
2021년10월_계_60~69세,"37,287","3,527","4,378","2,429","1,401","1,351",865,911,715,"1,743","1,167","2,701","5,014","4,398","1,917","4,770"
2021년10월_계_70~79세,"20,163","2,195","2,355","1,246",824,831,617,590,509,806,659,"1,552","2,612","2,205",944,"2,218"
2021년10월_계_80~89세,"9,808","1,102","1,203",646,473,464,377,382,249,333,352,655,"1,189",914,414,"1,055"
2021년10월_계_90~99세,"1,224",118,139,85,57,57,53,61,43,36,35,82,161,104,56,137
2021년10월_계_100세 이상,31,5,3,2,1,3,0,1,3,0,1,1,4,3,0,4
2021년10월_남_총인구수,"135,001","14,007","18,619","11,038","3,057","2,779","1,733","1,930","1,512","4,697","3,138","9,830","16,987","17,310","8,915","19,449"
2021년10월_남_연령구간인구수,"135,001","14,007","18,619","11,038","3,057","2,779","1,733","1,930","1,512","4,697","3,138","9,830","16,987","17,310","8,915","19,449"
2021년10월_남_0~9세,"10,081",983,"1,128","1,152",69,70,30,56,44,262,101,946,"1,233","1,909",514,"1,584"
2021년10월_남_10~19세,"11,917","1,560","1,658",639,124,131,49,80,49,287,197,"1,102","1,889","1,468",419,"2,265"
2021년10월_남_20~29세,"19,879","2,344","3,069","1,720",272,238,123,156,145,749,511,"1,087","2,198","2,330","2,092","2,845"
2021년10월_남_30~39세,"17,841","1,624","2,164","2,246",257,233,122,126,111,610,388,"1,272","1,829","2,671","1,697","2,491"
2021년10월_남_40~49세,"21,335","2,126","3,121","1,800",355,357,166,214,152,599,383,"1,786","2,913","2,748","1,279","3,336"
2021년10월_남_50~59세,"22,982","2,305","3,740","1,441",647,510,333,376,316,858,616,"1,461","2,971","2,787","1,330","3,291"
2021년10월_남_60~69세,"18,270","1,729","2,280","1,220",740,706,476,495,357,839,567,"1,234","2,368","2,036",951,"2,272"
2021년10월_남_70~79세,"9,023",925,"1,016",581,417,380,300,295,246,375,263,681,"1,108",986,468,982
2021년10월_남_80~89세,"3,394",384,406,218,164,147,124,119,80,111,103,243,443,343,153,356
2021년10월_남_90~99세,273,26,37,21,11,7,10,13,10,7,9,18,35,31,12,26
2021년10월_남_100세 이상,6,1,0,0,1,0,0,0,2,0,0,0,0,1,0,1
2021년10월_여_총인구수,"133,430","13,859","17,042","9,713","2,664","2,670","1,560","1,789","1,408","4,999","3,207","10,133","18,721","18,757","7,414","19,494"
2021년10월_여_연령구간인구수,"133,430","13,859","17,042","9,713","2,664","2,670","1,560","1,789","1,408","4,999","3,207","10,133","18,721","18,757","7,414","19,494"
2021년10월_여_0~9세,"9,776",932,"1,045","1,061",63,58,35,61,34,240,87,939,"1,331","1,961",449,"1,480"
2021년10월_여_10~19세,"11,009","1,344","1,637",552,112,119,51,75,45,277,169,907,"1,954","1,461",361,"1,945"
2021년10월_여_20~29세,"16,675","1,881","2,279","1,385",179,181,73,90,87,746,420,934,"2,094","2,130","1,741","2,455"
2021년10월_여_30~39세,"15,281","1,329","1,634","1,712",190,153,67,85,70,538,287,"1,215","1,928","2,728","1,084","2,261"
2021년10월_여_40~49세,"20,251","2,243","2,828","1,276",213,213,96,154,103,617,364,"1,766","3,149","2,930",894,"3,405"
2021년10월_여_50~59세,"22,891","2,248","3,280","1,359",484,480,236,301,245,995,608,"1,557","3,239","3,320","1,138","3,401"
2021년10월_여_60~69세,"19,017","1,798","2,098","1,209",661,645,389,416,358,904,600,"1,467","2,646","2,362",966,"2,498"
2021년10월_여_70~79세,"11,140","1,270","1,339",665,407,451,317,295,263,431,396,871,"1,504","1,219",476,"1,236"
2021년10월_여_80~89세,"6,414",718,797,428,309,317,253,263,169,222,249,412,746,571,261,699
2021년10월_여_90~99세,951,92,102,64,46,50,43,48,33,29,26,64,126,73,44,111
2021년10월_여_100세 이상,25,4,3,2,0,3,0,1,1,0,1,1,4,2,0,3
