카테고리,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2021년07월_계_총인구수,"1,793,902","657,664","337,946","319,718","266,226","279,836","107,349","80,027","81,406","91,197","25,113","23,849","21,854","26,952","27,219","53,826","51,384"
2021년07월_계_연령구간인구수,"1,793,902","657,664","337,946","319,718","266,226","279,836","107,349","80,027","81,406","91,197","25,113","23,849","21,854","26,952","27,219","53,826","51,384"
2021년07월_계_0~9세,"123,179","52,470","23,830","28,640","20,075","18,124","6,035","4,790","4,074","6,536","1,202","1,108","1,071","1,307","1,375","2,552","2,460"
2021년07월_계_10~19세,"171,743","70,526","35,204","35,322","26,364","27,366","9,424","7,164","6,072","8,177","1,634","1,793","1,651","1,632","2,170","4,152","3,618"
2021년07월_계_20~29세,"209,534","93,200","49,247","43,953","29,489","35,593","10,416","7,482","7,014","8,875","1,871","1,721","1,597","1,988","1,984","4,142","4,162"
2021년07월_계_30~39세,"184,768","81,480","39,563","41,917","29,649","27,755","8,585","6,172","6,385","9,009","1,546","1,660","1,464","1,821","1,844","3,677","3,721"
2021년07월_계_40~49세,"262,826","105,660","52,228","53,432","42,885","40,904","14,354","10,375","9,684","13,314","2,600","2,769","2,462","2,715","3,197","5,997","5,910"
2021년07월_계_50~59세,"297,818","106,698","57,143","49,555","43,946","48,408","18,153","13,539","13,340","15,158","4,406","4,130","3,638","4,550","4,383","8,809","8,660"
2021년07월_계_60~69세,"264,807","79,733","43,819","35,914","38,610","42,006","17,568","13,423","14,958","14,551","5,113","4,577","4,358","5,175","4,970","9,969","9,796"
2021년07월_계_70~79세,"170,737","44,612","24,221","20,391","23,194","24,874","13,211","9,738","11,356","9,296","3,785","3,313","3,102","4,240","4,083","8,241","7,692"
2021년07월_계_80~89세,"93,733","20,281","10,963","9,318","10,333","12,656","8,345","6,305","7,266","5,416","2,554","2,415","2,197","3,055","2,805","5,403","4,702"
2021년07월_계_90~99세,"14,225","2,910","1,669","1,241","1,627","2,076","1,195","1,007","1,214",835,385,340,302,453,387,852,642
2021년07월_계_100세 이상,532,94,59,35,54,74,63,32,43,30,17,23,12,16,21,32,21
2021년07월_남_총인구수,"892,487","323,585","164,589","158,996","134,743","139,445","53,338","39,269","40,424","46,854","12,698","11,875","10,906","13,800","13,304","26,718","25,528"
2021년07월_남_연령구간인구수,"892,487","323,585","164,589","158,996","134,743","139,445","53,338","39,269","40,424","46,854","12,698","11,875","10,906","13,800","13,304","26,718","25,528"
2021년07월_남_0~9세,"63,189","26,850","12,264","14,586","10,215","9,324","3,093","2,532","2,124","3,252",587,596,562,693,715,"1,354","1,292"
2021년07월_남_10~19세,"88,906","36,441","18,325","18,116","13,622","14,012","5,002","3,693","3,091","4,275",866,908,840,863,"1,120","2,286","1,887"
2021년07월_남_20~29세,"113,377","48,909","25,496","23,413","16,255","19,388","5,770","4,187","3,916","4,981","1,071",956,907,"1,176","1,118","2,388","2,355"
2021년07월_남_30~39세,"95,370","41,205","20,045","21,160","15,511","14,523","4,586","3,158","3,414","4,665",750,911,756,"1,004",898,"1,981","2,008"
2021년07월_남_40~49세,"135,327","51,758","25,060","26,698","22,475","20,911","7,537","5,312","5,439","7,302","1,517","1,538","1,394","1,642","1,810","3,395","3,297"
2021년07월_남_50~59세,"154,652","52,547","27,641","24,906","23,156","24,677","9,798","7,239","7,337","8,450","2,488","2,282","2,052","2,584","2,390","4,859","4,793"
2021년07월_남_60~69세,"130,943","37,898","20,622","17,276","19,071","20,775","8,762","6,701","7,564","7,581","2,737","2,369","2,232","2,832","2,548","4,979","4,894"
2021년07월_남_70~79세,"75,893","19,904","10,811","9,093","10,534","11,200","5,757","4,139","4,980","4,328","1,748","1,397","1,371","1,870","1,691","3,613","3,361"
