카테고리,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2020년12월_계_총인구수,"232,666","5,911","9,813","11,489","8,243","8,620","16,869","16,190","13,275","17,902","27,319","2,395","10,087","29,674","19,911","33,880","1,088"
2020년12월_계_연령구간인구수,"232,666","5,911","9,813","11,489","8,243","8,620","16,869","16,190","13,275","17,902","27,319","2,395","10,087","29,674","19,911","33,880","1,088"
2020년12월_계_0~9세,"13,033",108,339,354,277,302,879,"1,174",537,911,"2,646",76,520,"1,233","1,361","2,243",73
2020년12월_계_10~19세,"17,710",278,483,566,360,464,"1,435","1,354",837,"1,177","2,462",108,706,"2,119","1,925","3,321",115
2020년12월_계_20~29세,"33,309",568,"1,150","1,243",843,904,"2,530","2,297","1,593","5,658","3,446",209,"1,108","4,588","2,600","4,490",82
2020년12월_계_30~39세,"25,228",495,960,"1,122",823,815,"1,800","1,983","1,468","1,977","3,767",205,952,"3,048","2,264","3,473",76
2020년12월_계_40~49세,"32,184",757,"1,203","1,358",987,"1,125","2,410","2,298","1,784","2,210","4,700",232,"1,260","3,709","3,018","4,959",174
2020년12월_계_50~59세,"40,618","1,165","1,973","2,338","1,609","1,484","2,994","2,815","2,309","2,269","3,778",497,"1,797","5,622","3,666","6,131",171
2020년12월_계_60~69세,"38,764","1,344","2,174","2,434","1,906","1,785","2,671","2,429","2,660","1,995","3,359",537,"1,940","5,110","2,908","5,288",224
2020년12월_계_70~79세,"21,672",811,"1,089","1,456","1,054","1,224","1,440","1,174","1,519","1,145","2,033",348,"1,217","2,933","1,485","2,635",109
2020년12월_계_80~89세,"8,757",339,380,552,332,462,619,578,503,492,864,163,512,"1,159",599,"1,151",52
2020년12월_계_90~99세,"1,192",34,48,56,48,52,84,83,62,57,166,17,71,147,77,180,10
2020년12월_계_100세 이상,199,12,14,10,4,3,7,5,3,11,98,3,4,6,8,9,2
2020년12월_남_총인구수,"113,595","3,009","4,892","5,743","4,353","4,150","8,089","7,728","6,369","9,186","13,138","1,272","4,941","14,531","9,469","16,194",531
2020년12월_남_연령구간인구수,"113,595","3,009","4,892","5,743","4,353","4,150","8,089","7,728","6,369","9,186","13,138","1,272","4,941","14,531","9,469","16,194",531
2020년12월_남_0~9세,"6,663",55,169,184,154,164,475,590,269,427,"1,390",42,267,633,694,"1,116",34
2020년12월_남_10~19세,"9,137",152,242,281,195,227,753,680,458,597,"1,354",59,371,"1,069",942,"1,694",63
2020년12월_남_20~29세,"17,914",316,636,692,468,499,"1,283","1,189",840,"3,229","1,781",121,634,"2,507","1,356","2,314",49
2020년12월_남_30~39세,"13,129",306,522,634,471,443,913,"1,003",784,"1,114","1,781",126,496,"1,676","1,117","1,709",34
2020년12월_남_40~49세,"16,018",450,658,761,605,624,"1,143","1,082",908,"1,127","2,323",125,605,"1,832","1,403","2,285",87
2020년12월_남_50~59세,"19,265",619,971,"1,158",829,698,"1,391","1,300","1,059","1,084","1,738",270,854,"2,638","1,698","2,872",86
2020년12월_남_60~69세,"18,084",614,"1,031","1,172",974,799,"1,248","1,127","1,165",896,"1,501",290,881,"2,403","1,359","2,512",112
2020년12월_남_70~79세,"9,883",373,513,637,521,530,633,528,683,505,906,175,592,"1,322",683,"1,234",48
2020년12월_남_80~89세,"3,172",118,136,212,123,148,226,207,193,190,307,56,213,416,203,410,14
2020년12월_남_90~99세,287,4,10,12,12,16,23,20,10,15,34,7,28,34,13,46,3
2020년12월_남_100세 이상,43,2,4,0,1,2,1,2,0,2,23,1,0,1,1,2,1
2020년12월_여_총인구수,"119,071","2,902","4,921","5,746","3,890","4,470","8,780","8,462","6,906","8,716","14,181","1,123","5,146","15,143","10,442","17,686",557
