카테고리,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2020년08월_계_총인구수,"64,198","12,386","9,862",619,227,"3,197","2,984","4,419","3,911","4,982","1,905","2,667","3,355","2,329","3,148","2,302","3,118","1,294","1,493"
2020년08월_계_연령구간인구수,"64,198","12,386","9,862",619,227,"3,197","2,984","4,419","3,911","4,982","1,905","2,667","3,355","2,329","3,148","2,302","3,118","1,294","1,493"
2020년08월_계_0~9세,"2,640","1,028",529,25,4,71,73,133,88,121,57,45,83,60,122,65,72,27,37
2020년08월_계_10~19세,"3,953","1,465",772,20,13,100,137,202,177,230,93,100,133,106,124,67,101,47,66
2020년08월_계_20~29세,"4,238","1,226",769,14,10,150,149,238,209,266,85,114,236,132,207,125,152,68,88
2020년08월_계_30~39세,"3,767","1,178",735,25,14,143,153,194,148,220,67,98,152,124,171,107,116,48,74
2020년08월_계_40~49세,"6,436","1,875","1,228",29,35,226,231,379,335,441,164,198,266,156,278,150,216,92,137
2020년08월_계_50~59세,"10,403","1,933","1,687",36,42,505,501,702,653,831,307,437,604,368,489,410,447,199,252
2020년08월_계_60~69세,"12,556","1,741","1,854",97,29,709,619,931,840,"1,048",407,581,720,565,669,495,637,266,348
2020년08월_계_70~79세,"11,464","1,195","1,475",187,45,723,578,941,818,"1,037",414,577,620,457,582,474,739,314,288
2020년08월_계_80~89세,"7,477",615,705,159,34,479,466,627,552,685,264,415,460,310,433,356,540,196,181
2020년08월_계_90~99세,"1,216",123,104,27,1,91,76,70,84,95,45,102,77,49,69,51,94,36,22
2020년08월_계_100세 이상,48,7,4,0,0,0,1,2,7,8,2,0,4,2,4,2,4,1,0
2020년08월_남_총인구수,"31,179","6,099","4,825",312,118,"1,590","1,430","2,146","1,884","2,396",929,"1,254","1,597","1,089","1,549","1,110","1,463",624,764
2020년08월_남_연령구간인구수,"31,179","6,099","4,825",312,118,"1,590","1,430","2,146","1,884","2,396",929,"1,254","1,597","1,089","1,549","1,110","1,463",624,764
2020년08월_남_0~9세,"1,316",509,264,11,0,34,38,68,32,60,30,19,43,26,72,32,41,12,25
2020년08월_남_10~19세,"2,098",781,406,10,5,55,67,108,76,124,44,58,75,62,68,41,54,29,35
2020년08월_남_20~29세,"2,486",702,421,3,8,109,80,145,135,157,50,74,132,82,125,81,80,46,56
2020년08월_남_30~39세,"2,058",565,389,12,11,95,97,111,96,125,36,57,90,60,101,69,73,32,39
2020년08월_남_40~49세,"3,756",952,660,16,30,159,142,230,211,276,110,132,169,93,172,105,140,63,96
2020년08월_남_50~59세,"5,746","1,014",896,18,24,311,297,387,351,468,185,245,320,205,286,224,261,110,144
2020년08월_남_60~69세,"6,221",820,889,54,14,360,336,449,408,496,207,296,370,285,330,261,316,143,187
2020년08월_남_70~79세,"4,905",537,645,107,16,297,230,403,393,435,172,243,243,179,245,193,312,125,130
2020년08월_남_80~89세,"2,326",199,237,73,10,149,128,225,168,229,83,112,132,90,123,98,169,54,47
2020년08월_남_90~99세,260,18,17,8,0,21,15,19,14,25,11,18,23,7,27,5,17,10,5
2020년08월_남_100세 이상,7,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2020년08월_여_총인구수,"33,019","6,287","5,037",307,109,"1,607","1,554","2,273","2,027","2,586",976,"1,413","1,758","1,240","1,599","1,192","1,655",670,729
2020년08월_여_연령구간인구수,"33,019","6,287","5,037",307,109,"1,607","1,554","2,273","2,027","2,586",976,"1,413","1,758","1,240","1,599","1,192","1,655",670,729
2020년08월_여_0~9세,"1,324",519,265,14,4,37,35,65,56,61,27,26,40,34,50,33,31,15,12
2020년08월_여_10~19세,"1,855",684,366,10,8,45,70,94,101,106,49,42,58,44,56,26,47,18,31
2020년08월_여_20~29세,"1,752",524,348,11,2,41,69,93,74,109,35,40,104,50,82,44,72,22,32
2020년08월_여_30~39세,"1,709",613,346,13,3,48,56,83,52,95,31,41,62,64,70,38,43,16,35
2020년08월_여_40~49세,"2,680",923,568,13,5,67,89,149,124,165,54,66,97,63,106,45,76,29,41
2020년08월_여_50~59세,"4,657",919,791,18,18,194,204,315,302,363,122,192,284,163,203,186,186,89,108
2020년08월_여_60~69세,"6,335",921,965,43,15,349,283,482,432,552,200,285,350,280,339,234,321,123,161
2020년08월_여_70~79세,"6,559",658,830,80,29,426,348,538,425,602,242,334,377,278,337,281,427,189,158
2020년08월_여_80~89세,"5,151",416,468,86,24,330,338,402,384,456,181,303,328,220,310,258,371,142,134
2020년08월_여_90~99세,956,105,87,19,1,70,61,51,70,70,34,84,54,42,42,46,77,26,17
2020년08월_여_100세 이상,41,5,3,0,0,0,1,1,7,7,1,0,4,2,4,1,4,1,0
